listing_id,platform,listing_date,area,listing_type,property_type,bedrooms,bathrooms,area_sqft,price_aed,price_per_sqft,is_furnished,has_parking,view,days_on_market,num_views,num_inquiries,developer,is_verified,agent_id
PF-0000023,PropertyFinder,2024-11-16,Arabian Ranches,Sale,Apartment,4,4,1202,638174,4424.39,False,True,City,175,2560,20,Other,True,AGT-02062
PF-0000024,PropertyFinder,2024-10-14,JLT,Rent,Apartment,5,5,2832,85646,252.02,False,True,Pool,4,635,128,Independent,True,AGT-03439
PF-0000025,Bayut,2024-11-15,Dubai Creek Harbour,Rent,Apartment,4,4,5911,191707,270.27,True,True,Sea,243,2862,57,Meraas,True,AGT-03105
PF-0000026,PropertyFinder,2024-04-20,JLT,Rent,Villa,1,1,584,773843,1325.07,False,True,Sea,5,2349,83,Nakheel,True,AGT-04693
PF-0000027,PropertyFinder,2024-09-11,Sports City,Sale,Apartment,2,2,2057,116803,473.2,True,True,No View,303,4370,130,Emaar,True,AGT-04848
PF-0000028,Bayut,2024-07-14,Business Bay,Sale,Apartment,2,2,4795,1544494,322.11,False,False,City,337,4621,28,Sobha,False,AGT-02484
PF-0000029,Bayut,2024-05-15,JLT,Sale,Villa,1,1,5985,815832,136.31,True,True,Pool,92,2440,106,Nakheel,True,AGT-02171
PF-0000030,Bayut,2024-11-12,Al Barsha,Rent,Apartment,3,3,2346,275121,977.27,False,True,No View,344,3172,78,Nakheel,True,AGT-04096
PF-0000031,Dubizzle,2024-06-14,DIFC,Rent,Apartment,3,3,2143,4193129,1956.66,True,True,City,258,2750,69,Meraas,True,AGT-00082
PF-0000032,PropertyFinder,2024-08-31,Arabian Ranches,Rent,Apartment,4,4,3233,5193578,1606.43,True,True,Sea,187,4346,105,Emaar,True,AGT-04709
PF-0000033,PropertyFinder,2024-10-10,Town Square,Rent,Apartment,2,2,4773,1315089,275.53,False,True,Pool,235,1836,25,DAMAC,True,AGT-03486
PF-0000034,Bayut,2024-09-08,Town Square,Sale,Apartment,5,5,5218,130340,208.16,True,False,Garden,202,1490,94,Meraas,True,AGT-00464
PF-0000035,Bayut,2024-01-18,Mirdif,Sale,Townhouse,3,3,1292,335794,2165.86,False,True,City,132,1413,116,Emaar,True,AGT-02128
PF-0000036,Bayut,2024-08-13,DIFC,Rent,Villa,2,2,1658,5945842,3586.15,False,False,City,245,39,140,Meraas,True,AGT-01314
PF-0000037,Dubizzle,2024-09-09,Sports City,Sale,Villa,1,1,4793,777720,162.26,False,False,City,181,4447,19,Other,True,AGT-02811
PF-0000038,Bayut,2024-06-07,Dubai Creek Harbour,Sale,Villa,2,2,5507,2302175,418.05,True,True,No View,133,378,119,DAMAC,False,AGT-04821
PF-0000039,PropertyFinder,2024-08-24,Downtown Dubai,Rent,Apartment,4,4,1029,2325585,2260.04,False,True,Pool,216,212,54,Meraas,True,AGT-04411
PF-0000040,Dubizzle,2024-07-02,Town Square,Sale,Apartment,5,5,5868,1183337,201.66,False,True,City,65,576,143,DAMAC,True,AGT-00769
PF-0000041,Dubizzle,2024-09-27,Dubai Hills Estate,Sale,Apartment,3,3,3221,725526,1877.07,True,True,No View,82,3775,142,Emaar,True,AGT-01897
PF-0000042,Dubizzle,2024-10-10,DIFC,Sale,Apartment,2,2,3935,4135265,1050.89,False,True,No View,69,4817,60,Other,True,AGT-04932
PF-0000043,Dubizzle,2024-01-26,Dubai Hills Estate,Rent,Apartment,2,2,925,6519721,7048.35,False,True,City,134,4075,0,Sobha,True,AGT-04848
PF-0000044,PropertyFinder,2024-09-26,Mirdif,Rent,Villa,3,3,3319,326945,820.89,False,True,City,256,2799,71,Independent,False,AGT-01894
PF-0000045,Bayut,2024-06-20,Sports City,Sale,Townhouse,2,2,3809,116759,255.45,False,True,City,148,1922,14,Emaar,True,AGT-03073
PF-0000046,Bayut,2024-11-22,Al Barsha,Rent,Townhouse,3,3,752,4166403,5540.43,False,True,City,67,2750,27,Independent,False,AGT-00460
PF-0000047,Bayut,2024-01-20,Palm Jumeirah,Rent,Apartment,1,1,3236,10612973,3279.66,False,True,Pool,328,864,14,Sobha,True,AGT-01057
PF-0000048,Bayut,2024-09-15,Emaar Beachfront,Sale,Apartment,4,4,3319,5005695,1508.19,True,True,Pool,174,4358,125,DAMAC,True,AGT-01208
PF-0000049,PropertyFinder,2024-10-03,Dubai Hills Estate,Sale,Townhouse,3,3,2250,7025171,3122.3,True,True,City,186,4311,20,DAMAC,True,AGT-03238
PF-0000050,PropertyFinder,2024-10-30,Al Barsha,Rent,Apartment,3,3,5840,463177,660.93,False,False,Pool,321,1124,120,Other,True,AGT-04444
PF-0000051,PropertyFinder,2024-08-02,Dubai Creek Harbour,Sale,Studio,4,4,2031,2151834,1059.49,False,False,Sea,138,3642,36,Sobha,False,AGT-01299
PF-0000052,Bayut,2024-04-30,Emaar Beachfront,Rent,Apartment,2,2,923,509402,4599.16,True,False,Garden,307,4947,98,Emaar,False,AGT-02098
PF-0000053,Bayut,2024-05-02,Dubai Hills Estate,Rent,Apartment,3,3,4986,640005,1069.67,False,True,Garden,29,587,64,Independent,False,AGT-01082
PF-0000054,Dubizzle,2024-11-24,Dubai Marina,Sale,Studio,1,1,3731,2572800,689.57,True,True,Garden,228,1214,137,Meraas,True,AGT-01925
PF-0000055,Bayut,2024-04-11,JVC,Rent,Apartment,3,3,3370,783847,232.6,False,True,City,341,704,116,Emaar,True,AGT-04845
PF-0000056,Bayut,2024-03-04,Dubai Creek Harbour,Sale,Townhouse,1,1,1877,1656781,882.68,True,True,Garden,313,335,9,Nakheel,False,AGT-03472
PF-0000057,PropertyFinder,2024-12-02,Palm Jumeirah,Rent,Villa,4,4,2366,11993730,5069.2,False,False,No View,169,511,0,Meraas,False,AGT-04475
PF-0000058,Bayut,2024-08-16,Palm Jumeirah,Rent,Apartment,2,2,5165,1160364,1872.16,True,True,Pool,40,1727,129,DAMAC,False,AGT-02668
PF-0000059,Bayut,2024-03-15,Mirdif,Sale,Studio,1,1,891,2220017,2491.6,True,True,City,309,4885,66,DAMAC,False,AGT-00980
PF-0000060,Bayut,2024-04-06,Sports City,Sale,Apartment,3,3,3037,1202152,395.84,False,True,Pool,21,2329,41,Meraas,False,AGT-03883
PF-0000061,Bayut,2024-08-08,Dubai Hills Estate,Rent,Apartment,1,1,2523,536250,1771.21,True,True,City,339,1155,149,Independent,True,AGT-03146
PF-0000062,Bayut,2024-05-03,JVC,Sale,Apartment,1,1,1439,136073,788.01,False,True,Sea,112,3589,12,Nakheel,True,AGT-00530
PF-0000063,Dubizzle,2024-07-20,Emaar Beachfront,Rent,Villa,0,1,2199,3894342,1770.96,True,True,Sea,76,25,105,Other,True,AGT-01260
PF-0000064,Bayut,2024-10-30,Dubai Hills Estate,Rent,Apartment,2,2,5067,465421,765.45,True,True,Sea,362,160,100,Nakheel,True,AGT-02546
PF-0000065,Bayut,2024-03-25,Town Square,Sale,Apartment,5,5,4133,1794859,434.28,True,True,City,283,2587,112,Emaar,True,AGT-04104
PF-0000066,PropertyFinder,2024-06-01,JVC,Sale,Apartment,4,4,5086,1113419,218.92,False,True,Sea,38,2683,140,Nakheel,True,AGT-00857
PF-0000067,Dubizzle,2024-06-24,Al Barsha,Sale,Apartment,3,3,3767,267972,592.81,True,False,Garden,322,2353,5,DAMAC,True,AGT-03160
PF-0000068,Dubizzle,2024-06-20,Al Barsha,Sale,Apartment,2,2,1974,2156207,1092.3,False,False,Pool,290,4865,77,Sobha,True,AGT-04763
PF-0000069,Dubizzle,2024-10-08,Palm Jumeirah,Sale,Apartment,2,2,1540,8036393,5218.44,False,False,Garden,98,2612,21,Meraas,True,AGT-02062
PF-0000070,Bayut,2024-12-28,Al Barsha,Sale,Townhouse,0,1,2458,4024844,1637.45,False,True,Pool,252,2287,108,Nakheel,False,AGT-04770
PF-0000071,PropertyFinder,2024-02-15,Arabian Ranches,Sale,Penthouse,5,5,3345,6057360,1810.87,False,False,Sea,67,3882,70,Nakheel,True,AGT-02095
PF-0000072,Bayut,2024-07-19,Arabian Ranches,Sale,Apartment,4,4,2641,604586,1907.69,False,True,Garden,252,252,110,DAMAC,True,AGT-03452
PF-0000073,Bayut,2024-06-24,Dubai Hills Estate,Rent,Studio,3,3,550,566611,8585.02,False,True,City,253,1779,35,Independent,True,AGT-04883
PF-0000074,PropertyFinder,2024-12-09,Dubai Creek Harbour,Sale,Townhouse,1,1,1475,2519074,1707.85,True,False,No View,194,4408,4,DAMAC,True,AGT-00221
PF-0000075,PropertyFinder,2024-10-22,Palm Jumeirah,Sale,Studio,4,4,2722,1117732,3421.91,False,False,City,253,3572,51,DAMAC,True,AGT-01154
PF-0000076,Bayut,2024-12-23,DIFC,Rent,Apartment,1,1,2109,5643981,2676.14,False,True,Pool,3,526,109,Sobha,False,AGT-02427
PF-0000077,PropertyFinder,2024-11-14,Dubai Hills Estate,Rent,Apartment,1,1,4255,5750228,1351.4,False,True,No View,215,4093,116,Emaar,True,AGT-01078
PF-0000078,PropertyFinder,2024-05-16,Arabian Ranches,Sale,Villa,1,1,4712,6039948,1281.82,True,False,Garden,157,2507,116,Nakheel,False,AGT-04826
PF-0000079,Bayut,2024-01-28,Palm Jumeirah,Rent,Studio,2,2,3848,11584356,3010.49,False,True,No View,152,1249,47,DAMAC,True,AGT-00736
PF-0000080,PropertyFinder,2024-01-23,Palm Jumeirah,Sale,Villa,1,1,5592,1363923,2032.55,True,False,Garden,313,3049,64,DAMAC,True,AGT-04441
PF-0000081,PropertyFinder,2024-11-25,Business Bay,Sale,Apartment,1,1,1540,2128981,1382.46,True,False,Pool,293,2622,64,Nakheel,True,AGT-01794
PF-0000082,Bayut,2024-04-09,DIFC,Rent,Townhouse,3,3,1968,5154108,2618.96,True,True,City,79,2607,21,DAMAC,True,AGT-03319
PF-0000083,Bayut,2024-01-10,Dubai Hills Estate,Sale,Townhouse,0,1,3168,5102923,1610.77,True,True,No View,96,638,135,Meraas,False,AGT-00608
PF-0000084,PropertyFinder,2024-01-11,Emaar Beachfront,Rent,Apartment,3,3,4102,5001885,1219.38,True,True,City,343,4526,66,Meraas,True,AGT-03107
PF-0000085,PropertyFinder,2024-11-10,Sports City,Rent,Studio,2,2,1722,741039,430.34,True,True,Pool,242,2103,36,Independent,True,AGT-02873
PF-0000086,Bayut,2024-09-10,Town Square,Rent,Villa,2,2,4771,128778,224.93,True,True,No View,354,1500,65,Independent,True,AGT-04440
PF-0000087,Dubizzle,2024-04-16,Palm Jumeirah,Rent,Villa,1,1,3925,715870,1519.89,True,True,City,327,1448,120,DAMAC,True,AGT-01785
PF-0000088,PropertyFinder,2024-07-25,Palm Jumeirah,Sale,Apartment,2,2,4674,1360485,2425.63,True,True,Pool,101,864,11,Other,True,AGT-00568
PF-0000089,PropertyFinder,2024-07-30,Business Bay,Sale,Townhouse,1,1,880,1969956,2238.59,False,True,No View,334,2877,62,DAMAC,True,AGT-01872
PF-0000090,PropertyFinder,2024-10-30,Dubai Marina,Rent,Apartment,0,1,4672,1462043,312.94,False,True,Garden,290,1570,116,Other,True,AGT-03207
PF-0000091,Bayut,2024-04-22,JVC,Sale,Apartment,5,5,2886,118163,341.2,False,True,Garden,92,4017,29,Sobha,False,AGT-04505
PF-0000092,Bayut,2024-02-28,Al Barsha,Sale,Apartment,3,3,4464,374954,699.96,False,False,Pool,152,2814,146,DAMAC,True,AGT-04972
PF-0000093,PropertyFinder,2024-10-09,DIFC,Sale,Apartment,2,2,5854,5329429,910.39,True,False,City,60,35,139,Other,False,AGT-00456
PF-0000094,PropertyFinder,2024-04-24,Al Barsha,Sale,Apartment,2,2,4610,2856603,619.65,False,True,Pool,124,2627,41,Independent,True,AGT-04550
PF-0000095,PropertyFinder,2024-10-07,Al Barsha,Rent,Villa,0,1,3128,408297,1087.75,True,True,No View,15,2940,138,Independent,True,AGT-03682
PF-0000096,PropertyFinder,2024-05-13,Business Bay,Rent,Apartment,1,1,5604,1356509,242.06,False,True,No View,306,3475,16,Other,False,AGT-00907
PF-0000097,Bayut,2024-09-29,JVC,Sale,Penthouse,2,2,4950,1021891,206.44,False,True,Garden,229,4709,98,Sobha,False,AGT-02925
PF-0000098,PropertyFinder,2024-01-17,Al Barsha,Sale,Villa,0,1,1392,289907,1735.56,False,False,City,106,3460,110,Emaar,True,AGT-02360
PF-0000099,Bayut,2024-06-21,DIFC,Sale,Apartment,1,1,788,4261473,5407.96,True,True,Garden,335,205,109,Sobha,False,AGT-00518
PF-0000100,PropertyFinder,2024-04-28,Dubai Marina,Rent,Apartment,2,2,5037,2457162,487.82,True,True,Sea,256,175,135,Other,True,AGT-04202
PF-0000101,PropertyFinder,2024-06-22,Al Barsha,Sale,Villa,1,1,1571,2804110,1784.92,True,True,City,117,3853,139,DAMAC,True,AGT-01804
PF-0000102,Bayut,2024-09-17,DIFC,Rent,Apartment,2,2,4946,452045,761.63,True,True,Sea,28,4704,11,DAMAC,True,AGT-02578
PF-0000103,Bayut,2024-06-06,Dubai Marina,Rent,Townhouse,2,2,2392,1666217,696.58,True,True,City,323,4999,48,Emaar,False,AGT-04738
PF-0000104,Dubizzle,2024-01-11,Al Barsha,Rent,Apartment,0,1,4704,3453127,734.08,False,False,Pool,105,88,24,Sobha,True,AGT-00280
PF-0000105,Bayut,2024-06-01,Mirdif,Rent,Apartment,2,2,543,319517,4903.59,False,False,No View,286,1202,38,Sobha,False,AGT-02436
PF-0000106,PropertyFinder,2024-01-04,Palm Jumeirah,Sale,Apartment,4,4,5530,6248637,1129.95,True,True,No View,301,3118,4,Emaar,False,AGT-04188
PF-0000107,Bayut,2024-04-05,Sports City,Sale,Villa,1,1,540,151034,2330.77,False,True,Garden,350,3342,135,DAMAC,False,AGT-04413
PF-0000108,Dubizzle,2024-09-08,Dubai Creek Harbour,Rent,Villa,3,3,1796,1582810,881.3,False,False,City,132,3251,95,Emaar,False,AGT-00202
PF-0000109,Bayut,2024-09-20,Emaar Beachfront,Sale,Apartment,1,1,4211,590840,1169.24,False,True,City,213,3950,5,DAMAC,False,AGT-03589
PF-0000110,PropertyFinder,2024-04-12,Sports City,Sale,Townhouse,4,4,2102,140705,557.82,True,True,Garden,17,2589,100,DAMAC,True,AGT-02114
PF-0000111,Bayut,2024-02-02,Palm Jumeirah,Sale,Villa,3,3,839,1441320,14315.85,True,True,Garden,5,366,21,DAMAC,True,AGT-02653
PF-0000112,PropertyFinder,2024-06-30,Business Bay,Rent,Townhouse,3,3,3074,224240,607.89,False,True,No View,113,1102,103,DAMAC,True,AGT-01660
PF-0000113,Dubizzle,2024-05-02,Dubai Marina,Rent,Apartment,2,2,1244,1773617,1425.74,True,True,Garden,209,961,17,Other,True,AGT-01952
PF-0000114,Bayut,2024-05-31,Dubai Creek Harbour,Sale,Apartment,1,1,4101,198616,403.59,False,False,City,307,2778,61,Emaar,True,AGT-03379
PF-0000115,Dubizzle,2024-03-28,Downtown Dubai,Sale,Apartment,3,3,3029,3464876,1143.9,False,True,No View,286,3682,43,Sobha,True,AGT-01479
PF-0000116,PropertyFinder,2024-04-19,Palm Jumeirah,Rent,Villa,2,2,699,6358935,9097.19,True,True,City,238,4055,108,Nakheel,True,AGT-01956
PF-0000117,Bayut,2024-12-03,Dubai Hills Estate,Rent,Penthouse,4,4,3553,4385793,1234.39,False,True,No View,226,1476,105,Independent,True,AGT-02942
PF-0000118,PropertyFinder,2024-10-30,Dubai Creek Harbour,Sale,Apartment,3,3,1863,2399496,1287.97,True,True,Pool,268,2376,61,Meraas,True,AGT-04756
PF-0000119,PropertyFinder,2024-02-09,Downtown Dubai,Sale,Apartment,4,4,966,3761729,3894.13,False,True,Pool,63,3282,31,Emaar,True,AGT-02228
PF-0000120,PropertyFinder,2024-01-11,Downtown Dubai,Rent,Townhouse,2,2,1638,4369923,2667.84,True,False,Sea,178,339,61,DAMAC,True,AGT-02195
PF-0000121,Bayut,2024-10-12,Dubai Marina,Sale,Apartment,2,2,594,2503433,4214.53,True,False,City,206,3733,112,Other,True,AGT-04550
PF-0000122,PropertyFinder,2024-04-19,Dubai Marina,Sale,Apartment,1,1,907,1975601,2178.17,False,True,City,77,1662,66,Other,True,AGT-00696
PF-0000123,Bayut,2024-02-11,Al Barsha,Rent,Apartment,2,2,4915,3190525,649.14,False,True,Sea,110,3879,25,Independent,True,AGT-00159
PF-0000124,PropertyFinder,2024-06-26,Business Bay,Sale,Villa,4,4,4995,2262772,453.01,True,True,No View,231,496,38,Nakheel,True,AGT-00822
PF-0000125,Bayut,2024-01-13,Al Barsha,Sale,Apartment,0,1,5968,247988,346.27,False,False,No View,183,2303,127,Nakheel,True,AGT-02253
PF-0000126,Bayut,2024-04-04,Palm Jumeirah,Rent,Villa,1,1,4383,9787432,2233.04,True,False,Sea,31,402,51,Meraas,True,AGT-02070
PF-0000127,Bayut,2024-09-26,Arabian Ranches,Rent,Townhouse,2,2,4952,5216757,1053.46,True,False,Sea,57,3091,94,Other,True,AGT-00501
PF-0000128,PropertyFinder,2024-05-22,Sports City,Rent,Penthouse,1,1,4124,1035256,251.03,True,True,Garden,71,135,41,Meraas,True,AGT-00405
PF-0000129,PropertyFinder,2024-06-16,Al Barsha,Sale,Villa,3,3,1116,3486295,3123.92,False,True,Sea,332,79,8,DAMAC,True,AGT-03592
PF-0000130,Dubizzle,2024-03-12,JLT,Rent,Studio,4,4,1176,963328,819.16,True,True,Sea,47,2590,149,Emaar,True,AGT-04132
PF-0000131,PropertyFinder,2024-10-05,Town Square,Sale,Apartment,3,3,1658,177018,889.72,False,True,No View,106,1305,125,DAMAC,True,AGT-01613
PF-0000132,Bayut,2024-11-15,JVC,Rent,Apartment,2,2,794,1316918,1658.59,True,True,Sea,50,47,105,Emaar,True,AGT-03335
PF-0000133,PropertyFinder,2024-11-07,Arabian Ranches,Sale,Apartment,3,3,1021,508786,4152.68,False,True,No View,326,224,75,Nakheel,True,AGT-04681
PF-0000134,PropertyFinder,2024-04-25,Business Bay,Sale,Apartment,2,2,1805,1439191,797.34,True,True,Garden,120,4158,101,Meraas,True,AGT-02506
PF-0000135,Bayut,2024-08-06,Arabian Ranches,Rent,Apartment,2,2,4805,588022,1019.81,False,True,City,30,4972,117,Meraas,False,AGT-04709
PF-0000136,PropertyFinder,2024-10-25,Al Barsha,Sale,Villa,1,1,3744,313742,698.32,False,False,Pool,215,926,139,Sobha,True,AGT-03824
PF-0000137,PropertyFinder,2024-01-08,Downtown Dubai,Sale,Apartment,2,2,3309,325806,820.5,False,False,No View,9,1722,62,Meraas,False,AGT-02568
PF-0000138,Dubizzle,2024-06-27,Downtown Dubai,Sale,Apartment,2,2,2556,4389779,1717.44,False,True,City,151,3627,2,Independent,True,AGT-02028
PF-0000139,Bayut,2024-06-12,Dubai Creek Harbour,Sale,Villa,2,2,983,1533486,1560.01,False,False,No View,150,3209,103,Sobha,True,AGT-01354
PF-0000140,PropertyFinder,2024-01-13,Dubai Hills Estate,Rent,Apartment,1,1,5929,7395954,1247.42,True,False,No View,147,949,28,Emaar,True,AGT-00269
PF-0000141,PropertyFinder,2024-09-27,Palm Jumeirah,Sale,Apartment,2,2,4620,816018,1471.89,False,False,Pool,252,1023,123,Sobha,True,AGT-03475
PF-0000142,Bayut,2024-05-09,Downtown Dubai,Rent,Villa,2,2,462,4321072,9352.97,False,True,City,178,3669,138,Meraas,True,AGT-00639
PF-0000143,PropertyFinder,2024-10-13,Town Square,Sale,Townhouse,1,1,634,150448,1977.5,False,True,No View,333,4378,34,Independent,False,AGT-03941
PF-0000144,Bayut,2024-03-02,DIFC,Sale,Studio,4,4,3240,695895,1789.85,False,True,City,340,2798,74,Nakheel,True,AGT-00295
PF-0000145,PropertyFinder,2024-04-18,Arabian Ranches,Rent,Villa,4,4,994,480458,4027.99,True,False,Sea,215,486,129,Nakheel,True,AGT-03070
PF-0000146,PropertyFinder,2024-10-30,Town Square,Rent,Penthouse,1,1,5311,115561,181.32,False,True,City,276,4315,78,Sobha,True,AGT-02365
PF-0000147,Bayut,2024-12-10,Sports City,Sale,Apartment,3,3,721,1177181,1632.71,False,True,City,94,4853,51,DAMAC,True,AGT-03441
PF-0000148,PropertyFinder,2024-07-21,Arabian Ranches,Sale,Studio,4,4,2273,674190,2471.74,False,True,Garden,75,99,65,Emaar,True,AGT-00821
PF-0000149,PropertyFinder,2024-06-24,Downtown Dubai,Sale,Villa,3,3,1433,2908251,2029.48,False,True,City,278,4672,74,Sobha,True,AGT-01282
PF-0000150,Dubizzle,2024-06-25,Sports City,Sale,Penthouse,1,1,5862,1224279,208.85,True,False,No View,51,1310,25,Nakheel,False,AGT-00766
PF-0000151,Dubizzle,2024-07-24,Dubai Marina,Sale,Apartment,2,2,4489,2348935,523.26,False,True,City,12,4169,87,Sobha,True,AGT-03172
PF-0000152,Bayut,2024-04-13,Town Square,Sale,Studio,3,3,4019,1460401,363.37,True,True,Sea,30,1466,101,Other,True,AGT-04807
PF-0000153,Bayut,2024-01-14,DIFC,Sale,Townhouse,2,2,5536,4494488,811.87,True,True,Garden,238,2559,70,Other,False,AGT-01372
PF-0000154,Bayut,2024-12-14,JLT,Rent,Studio,2,2,3594,131287,304.41,False,True,City,97,1257,142,DAMAC,True,AGT-04801
PF-0000155,PropertyFinder,2024-04-09,Arabian Ranches,Sale,Apartment,5,5,870,584143,5595.25,True,True,Pool,73,98,108,Emaar,True,AGT-01151
PF-0000156,Bayut,2024-02-01,Al Barsha,Rent,Townhouse,2,2,4342,3291029,757.95,True,True,Pool,329,3280,19,Independent,True,AGT-00820
PF-0000157,PropertyFinder,2024-11-04,Dubai Marina,Sale,Villa,1,1,4926,2667923,541.6,True,True,Garden,285,761,45,Independent,False,AGT-02491
PF-0000158,Dubizzle,2024-05-05,Emaar Beachfront,Sale,Apartment,3,3,2409,624434,2160.08,True,False,Garden,254,719,128,Emaar,True,AGT-02524
PF-0000159,Bayut,2024-09-05,Emaar Beachfront,Sale,Apartment,1,1,3348,379678,945.04,True,False,Pool,44,3943,139,Meraas,True,AGT-03095
PF-0000160,PropertyFinder,2024-03-02,JVC,Rent,Townhouse,2,2,3667,139846,317.8,False,True,City,330,2009,141,DAMAC,True,AGT-00925
PF-0000161,PropertyFinder,2024-04-11,Dubai Hills Estate,Sale,Apartment,4,4,4979,794678,1330.05,False,True,Pool,306,1197,99,Nakheel,True,AGT-04638
PF-0000162,Bayut,2024-06-23,Sports City,Sale,Apartment,2,2,1498,1245222,831.26,False,False,Garden,24,2452,147,Independent,True,AGT-04490
PF-0000163,PropertyFinder,2024-06-17,Arabian Ranches,Rent,Apartment,0,1,3296,2998745,909.81,True,True,Sea,60,4701,46,Other,True,AGT-04483
PF-0000164,Bayut,2024-01-10,Dubai Marina,Sale,Apartment,0,1,1581,1744406,1103.36,False,True,No View,64,31,150,Sobha,False,AGT-01389
PF-0000165,Bayut,2024-07-19,Town Square,Sale,Villa,3,3,5326,1352306,253.91,False,True,Sea,203,4013,16,Other,True,AGT-03941
PF-0000166,Bayut,2024-09-02,Business Bay,Rent,Apartment,4,4,5523,155850,235.15,False,True,City,138,1500,118,Sobha,True,AGT-00381
PF-0000167,Bayut,2024-04-27,Sports City,Rent,Apartment,2,2,2521,94504,312.39,True,True,Sea,26,4818,51,DAMAC,True,AGT-04731
PF-0000168,Bayut,2024-04-25,Dubai Marina,Sale,Apartment,4,4,5954,317970,445.04,True,False,City,273,1820,50,Meraas,False,AGT-02613
PF-0000169,Dubizzle,2024-09-03,Palm Jumeirah,Sale,Villa,0,1,2574,1388725,4496.0,False,False,City,305,3645,130,Sobha,True,AGT-01065
PF-0000170,PropertyFinder,2024-08-08,JLT,Rent,Apartment,2,2,1618,97278,501.02,False,True,Sea,27,4935,44,Other,True,AGT-04512
PF-0000171,Dubizzle,2024-08-27,JLT,Rent,Apartment,0,1,4359,1122748,257.57,False,True,Garden,275,3797,66,Emaar,False,AGT-01337
PF-0000172,Dubizzle,2024-07-20,Emaar Beachfront,Sale,Apartment,0,1,4491,347196,644.24,False,False,City,263,3763,58,DAMAC,True,AGT-02917
