year,quarter,developer,market_share_pct,units_launched,units_sold,avg_price_per_sqft
2019,Q3,Select Group,7.06,161,77,2271
2019,Q3,Tiger Properties,10.63,431,565,2645
2019,Q3,Others,0.12,264,10,4498
2019,Q4,Emaar Properties,6.81,118,94,2627
2019,Q4,DAMAC Properties,12.73,385,465,2413
2019,Q4,Nakheel,4.57,306,648,4326
2019,Q4,Meraas,6.05,583,240,3976
2019,Q4,Dubai Properties,10.27,621,334,4405
2019,Q4,Sobha Realty,17.29,771,693,2810
2019,Q4,Azizi Developments,8.8,633,548,1766
2019,Q4,Danube Properties,4.6,0,525,4222
2019,Q4,Ellington Properties,1.55,326,97,3727
2019,Q4,Binghatti,3.53,292,202,2252
2019,Q4,MAG,5.61,203,449,3236
2019,Q4,Select Group,2.79,216,100,1668
2019,Q4,Tiger Properties,7.56,415,1,2735
2019,Q4,Others,7.83,267,123,4448
2020,Q1,Emaar Properties,1.43,443,251,2580
2020,Q1,DAMAC Properties,0.94,424,420,1287
2020,Q1,Nakheel,6.03,108,249,1617
2020,Q1,Meraas,12.71,576,561,3465
2020,Q1,Dubai Properties,3.19,54,258,1939
2020,Q1,Sobha Realty,7.6,538,317,3851
2020,Q1,Azizi Developments,17.3,563,408,1883
2020,Q1,Danube Properties,2.84,357,183,1275
2020,Q1,Ellington Properties,2.92,364,277,4380
2020,Q1,Binghatti,12.04,459,360,3550
2020,Q1,MAG,5.57,395,55,2199
2020,Q1,Select Group,8.01,481,53,2518
2020,Q1,Tiger Properties,15.33,17,163,2646
2020,Q1,Others,4.08,206,29,2972
2020,Q2,Emaar Properties,4.26,152,68,2291
2020,Q2,DAMAC Properties,6.32,775,498,2130
2020,Q2,Nakheel,6.66,440,290,2289
2020,Q2,Meraas,3.1,767,289,1562
2020,Q2,Dubai Properties,15.16,414,2,2809
2020,Q2,Sobha Realty,8.91,781,323,1010
2020,Q2,Azizi Developments,2.35,714,198,2787
2020,Q2,Danube Properties,7.37,434,180,1457
2020,Q2,Ellington Properties,4.51,767,428,4367
2020,Q2,Binghatti,3.41,349,504,3320
2020,Q2,MAG,9.6,650,501,1687
2020,Q2,Select Group,6.33,89,19,3691
2020,Q2,Tiger Properties,21.1,366,287,4046
2020,Q2,Others,0.92,387,12,3509
2020,Q3,Emaar Properties,18.34,691,74,3713
2020,Q3,DAMAC Properties,11.56,403,321,1684
2020,Q3,Nakheel,9.88,659,179,4465
2020,Q3,Meraas,4.48,747,571,2020
2020,Q3,Dubai Properties,7.57,259,677,1278
2020,Q3,Sobha Realty,8.41,506,208,1586
2020,Q3,Azizi Developments,7.23,321,522,1960
2020,Q3,Danube Properties,2.42,384,695,1072
2020,Q3,Ellington Properties,9.99,510,462,4440
2020,Q3,Binghatti,0.98,194,18,1519
2020,Q3,MAG,9.23,22,14,3475
2020,Q3,Select Group,1.41,729,2,1987
2020,Q3,Tiger Properties,5.16,456,28,1011
2020,Q3,Others,3.33,613,355,3999
2020,Q4,Emaar Properties,4.52,507,9,1752
2020,Q4,DAMAC Properties,13.14,700,597,2026
2020,Q4,Nakheel,11.21,174,375,2572
2020,Q4,Meraas,8.35,270,532,3150
2020,Q4,Dubai Properties,9.8,3,665,1935
2020,Q4,Sobha Realty,1.75,424,513,4273
2020,Q4,Azizi Developments,6.77,281,591,3425
2020,Q4,Danube Properties,3.4,753,464,793
2020,Q4,Ellington Properties,6.58,538,554,1119
2020,Q4,Binghatti,7.67,663,25,1013
2020,Q4,MAG,1.22,420,156,1611
2020,Q4,Select Group,6.1,572,339,1569
2020,Q4,Tiger Properties,16.86,612,50,4111
2020,Q4,Others,2.63,283,384,3031
2021,Q1,Emaar Properties,4.94,534,507,2618
2021,Q1,DAMAC Properties,16.22,204,690,4128
2021,Q1,Nakheel,3.15,191,511,3769
2021,Q1,Meraas,11.89,131,468,4426
2021,Q1,Dubai Properties,1.4,153,525,3866
2021,Q1,Sobha Realty,12.26,719,621,2963
2021,Q1,Azizi Developments,16.68,721,456,3116
2021,Q1,Danube Properties,2.13,713,132,1048
2021,Q1,Ellington Properties,5.11,450,356,2326
2021,Q1,Binghatti,7.22,433,453,1920
2021,Q1,MAG,4.19,600,269,3242
2021,Q1,Select Group,0.63,58,22,1914
2021,Q1,Tiger Properties,4.88,55,651,2002
2021,Q1,Others,9.29,739,677,1468
2021,Q2,Emaar Properties,7.56,167,394,3425
2021,Q2,DAMAC Properties,8.18,753,588,4039
2021,Q2,Nakheel,9.27,256,670,3246
2021,Q2,Meraas,18.55,794,294,2881
2021,Q2,Dubai Properties,7.04,529,278,1629
2021,Q2,Sobha Realty,9.25,600,380,1103
2021,Q2,Azizi Developments,1.85,663,447,4443
2021,Q2,Danube Properties,9.82,174,293,4146
2021,Q2,Ellington Properties,1.84,727,506,3503
2021,Q2,Binghatti,2.45,573,262,3861
2021,Q2,MAG,8.75,323,283,2951
2021,Q2,Select Group,7.45,606,98,1317
2021,Q2,Tiger Properties,3.63,338,335,3414
2021,Q2,Others,4.36,617,445,3782
2021,Q3,Emaar Properties,4.62,496,382,1492
2021,Q3,DAMAC Properties,1.31,421,8,3700
2021,Q3,Nakheel,7.61,201,153,719
2021,Q3,Meraas,7.81,509,495,2710
2021,Q3,Dubai Properties,9.93,388,645,1030
2021,Q3,Sobha Realty,7.92,321,447,2416
2021,Q3,Azizi Developments,8.03,239,178,4106
2021,Q3,Danube Properties,5.39,670,643,4108
2021,Q3,Ellington Properties,10.28,771,68,2628
2021,Q3,Binghatti,4.6,504,502,1620
2021,Q3,MAG,10.49,363,358,2013
2021,Q3,Select Group,1.5,648,320,3457
2021,Q3,Tiger Properties,0.96,454,435,3781
2021,Q3,Others,19.54,208,601,1064
2021,Q4,Emaar Properties,6.53,251,588,4096
2021,Q4,DAMAC Properties,11.45,660,555,3557
2021,Q4,Nakheel,1.94,353,270,3541
2021,Q4,Meraas,6.52,160,591,3655
2021,Q4,Dubai Properties,1.19,335,39,1150
2021,Q4,Sobha Realty,10.42,158,81,3717
2021,Q4,Azizi Developments,5.39,705,618,2360
2021,Q4,Danube Properties,8.67,289,406,2004
2021,Q4,Ellington Properties,2.28,720,56,2924
2021,Q4,Binghatti,2.45,493,610,4348
2021,Q4,MAG,6.61,797,504,971
2021,Q4,Select Group,8.81,124,320,1516
2021,Q4,Tiger Properties,21.13,541,88,2817
2021,Q4,Others,6.62,25,699,1347
2022,Q1,Emaar Properties,13.41,787,700,941
2022,Q1,DAMAC Properties,4.36,670,498,3201
2022,Q1,Nakheel,5.06,243,669,3124
2022,Q1,Meraas,9.01,190,258,1208
2022,Q1,Dubai Properties,2.62,260,27,3440
2022,Q1,Sobha Realty,9.01,635,134,2049
2022,Q1,Azizi Developments,11.65,471,679,2399
2022,Q1,Danube Properties,1.58,205,370,1654
2022,Q1,Ellington Properties,3.21,383,691,3925
2022,Q1,Binghatti,9.22,118,437,3272
2022,Q1,MAG,2.06,45,303,2058
2022,Q1,Select Group,3.69,312,69,1417
2022,Q1,Tiger Properties,14.67,517,504,1701
2022,Q1,Others,10.45,157,378,3013
2022,Q2,Emaar Properties,19.06,249,412,3087
2022,Q2,DAMAC Properties,8.76,291,315,1773
2022,Q2,Nakheel,3.26,722,386,722
2022,Q2,Meraas,5.26,351,290,2200
2022,Q2,Dubai Properties,5.87,789,76,3492
2022,Q2,Sobha Realty,4.74,319,282,2096
2022,Q2,Azizi Developments,2.32,701,636,4345
2022,Q2,Danube Properties,8.7,416,324,2397
2022,Q2,Ellington Properties,11.3,36,353,3463
2022,Q2,Binghatti,4.04,310,628,1145
2022,Q2,MAG,4.46,381,315,3459
2022,Q2,Select Group,3.68,83,592,1727
2022,Q2,Tiger Properties,13.47,510,491,4089
2022,Q2,Others,5.08,713,72,1610
2022,Q3,Emaar Properties,5.79,596,372,2275
2022,Q3,DAMAC Properties,2.26,322,9,3331
2022,Q3,Nakheel,23.05,219,27,2308
2022,Q3,Meraas,9.94,354,80,4309
2022,Q3,Dubai Properties,0.78,591,11,2221
2022,Q3,Sobha Realty,13.51,5,404,2496
2022,Q3,Azizi Developments,1.27,315,96,4303
2022,Q3,Danube Properties,7.36,322,132,3163
2022,Q3,Ellington Properties,13.75,562,585,3109
2022,Q3,Binghatti,2.6,83,536,2081
2022,Q3,MAG,4.04,239,400,3113
2022,Q3,Select Group,7.33,794,366,3252
2022,Q3,Tiger Properties,6.47,491,87,1615
2022,Q3,Others,1.85,604,385,997
2022,Q4,Emaar Properties,5.43,734,652,1307
2022,Q4,DAMAC Properties,3.32,312,37,2000
2022,Q4,Nakheel,8.64,462,591,1502
2022,Q4,Meraas,10.36,9,351,4360
2022,Q4,Dubai Properties,0.97,400,552,3343
2022,Q4,Sobha Realty,13.1,633,41,1240
2022,Q4,Azizi Developments,2.91,738,54,1773
2022,Q4,Danube Properties,2.03,612,674,2154
2022,Q4,Ellington Properties,4.98,147,421,1886
2022,Q4,Binghatti,7.2,598,434,2782
2022,Q4,MAG,14.69,155,219,2789
2022,Q4,Select Group,1.27,731,592,960
2022,Q4,Tiger Properties,16.7,575,626,2396
2022,Q4,Others,8.41,176,572,825
2023,Q1,Emaar Properties,1.41,461,10,1822
2023,Q1,DAMAC Properties,22.18,97,200,2337
2023,Q1,Nakheel,11.44,399,162,3340
2023,Q1,Meraas,4.42,633,318,865
2023,Q1,Dubai Properties,8.48,610,679,1653
2023,Q1,Sobha Realty,11.26,343,579,4304
2023,Q1,Azizi Developments,1.88,553,526,4181
2023,Q1,Danube Properties,4.95,701,12,3024
2023,Q1,Ellington Properties,4.48,105,245,4202
2023,Q1,Binghatti,2.04,205,48,797
2023,Q1,MAG,2.75,685,625,1600
2023,Q1,Select Group,10.14,750,401,1304
2023,Q1,Tiger Properties,13.43,593,620,746
2023,Q1,Others,1.14,98,513,3804
2023,Q2,Emaar Properties,6.09,286,224,3301
2023,Q2,DAMAC Properties,10.21,461,176,2285
2023,Q2,Nakheel,2.21,407,24,1188
2023,Q2,Meraas,2.09,474,469,3943
2023,Q2,Dubai Properties,8.51,437,605,1910
2023,Q2,Sobha Realty,5.17,616,320,3907
2023,Q2,Azizi Developments,3.2,552,546,4225
2023,Q2,Danube Properties,1.65,610,666,1549
2023,Q2,Ellington Properties,4.43,27,7,4392
2023,Q2,Binghatti,17.58,151,532,3802
2023,Q2,MAG,19.0,297,505,4367
2023,Q2,Select Group,3.9,780,648,971
2023,Q2,Tiger Properties,8.59,426,502,2627
2023,Q2,Others,7.39,469,263,3684
2023,Q3,Emaar Properties,6.5,185,296,1533
2023,Q3,DAMAC Properties,4.11,580,661,3656
2023,Q3,Nakheel,3.12,164,221,3409
2023,Q3,Meraas,0.88,384,145,3949
2023,Q3,Dubai Properties,8.08,132,234,2871
2023,Q3,Sobha Realty,9.3,257,667,3561
2023,Q3,Azizi Developments,2.64,800,198,995
2023,Q3,Danube Properties,17.6,184,569,4483
2023,Q3,Ellington Properties,0.12,59,692,1972
2023,Q3,Binghatti,5.87,550,181,3395
2023,Q3,MAG,13.66,194,76,4319
2023,Q3,Select Group,10.38,535,276,3981
2023,Q3,Tiger Properties,4.8,465,328,854
2023,Q3,Others,12.93,574,11,759
2023,Q4,Emaar Properties,4.98,164,589,1516
2023,Q4,DAMAC Properties,23.02,798,54,4346
2023,Q4,Nakheel,6.84,211,307,2628
2023,Q4,Meraas,6.84,620,130,989
2023,Q4,Dubai Properties,8.71,324,677,2154
2023,Q4,Sobha Realty,5.11,742,481,972
2023,Q4,Azizi Developments,4.88,1,107,2379
2023,Q4,Danube Properties,13.11,366,408,2646
2023,Q4,Ellington Properties,2.13,322,514,2886
2023,Q4,Binghatti,2.67,158,175,2118
2023,Q4,MAG,6.78,238,93,1130
2023,Q4,Select Group,4.13,579,584,881
2023,Q4,Tiger Properties,6.11,389,251,3987
2023,Q4,Others,4.69,133,144,1395
2024,Q1,Emaar Properties,6.93,335,14,4362
2024,Q1,DAMAC Properties,2.52,327,678,2605
2024,Q1,Nakheel,4.69,476,508,3281
2024,Q1,Meraas,10.04,602,251,3746
2024,Q1,Dubai Properties,2.42,334,452,3938
2024,Q1,Sobha Realty,22.16,721,619,4472
2024,Q1,Azizi Developments,9.54,278,307,1993
2024,Q1,Danube Properties,12.61,473,46,2450
2024,Q1,Ellington Properties,2.62,108,484,2268
2024,Q1,Binghatti,3.76,756,160,1082
2024,Q1,MAG,3.75,501,535,3859
2024,Q1,Select Group,2.62,459,386,2262
2024,Q1,Tiger Properties,12.36,758,658,1913
2024,Q1,Others,3.98,593,117,2630
2024,Q2,Emaar Properties,15.88,435,199,2381
2024,Q2,DAMAC Properties,1.12,687,490,3802
2024,Q2,Nakheel,11.18,733,244,1338
2024,Q2,Meraas,0.98,127,225,1252
2024,Q2,Dubai Properties,5.74,504,8,1386
2024,Q2,Sobha Realty,1.32,596,545,4023
2024,Q2,Azizi Developments,11.19,533,46,3872
2024,Q2,Danube Properties,5.07,94,64,3107
2024,Q2,Ellington Properties,5.0,114,532,3863
2024,Q2,Binghatti,10.65,663,574,3912
2024,Q2,MAG,7.58,174,279,1276
2024,Q2,Select Group,6.33,718,630,830
2024,Q2,Tiger Properties,7.42,710,88,4389
2024,Q2,Others,10.54,603,653,3345
2024,Q3,Emaar Properties,2.09,388,537,1186
2024,Q3,DAMAC Properties,3.03,502,519,4438
2024,Q3,Nakheel,17.42,589,490,1298
2024,Q3,Meraas,2.74,474,324,1972
2024,Q3,Dubai Properties,6.88,545,427,1415
2024,Q3,Sobha Realty,2.81,351,105,2108
2024,Q3,Azizi Developments,2.96,652,238,2060
2024,Q3,Danube Properties,3.65,403,316,2943
2024,Q3,Ellington Properties,5.04,143,39,2863
2024,Q3,Binghatti,14.97,740,686,4009
2024,Q3,MAG,15.77,157,244,4248
2024,Q3,Select Group,5.03,318,316,1631
2024,Q3,Tiger Properties,16.65,410,156,3363
2024,Q3,Others,0.96,338,558,1362
2024,Q4,Emaar Properties,7.86,458,487,3608
2024,Q4,DAMAC Properties,24.21,75,656,2125
2024,Q4,Nakheel,4.82,479,517,1221
2024,Q4,Meraas,6.64,277,460,1701
2024,Q4,Dubai Properties,3.69,29,276,1160
2024,Q4,Sobha Realty,1.34,675,321,1837
2024,Q4,Azizi Developments,1.79,351,113,2948
2024,Q4,Danube Properties,10.13,54,36,2679
2024,Q4,Ellington Properties,4.58,488,328,1533
2024,Q4,Binghatti,22.71,403,518,2789
2024,Q4,MAG,2.2,106,481,3290
2024,Q4,Select Group,2.26,232,423,3398
2024,Q4,Tiger Properties,2.11,498,609,2789
2024,Q4,Others,5.65,290,403,4281
