dealer_id,dealer_name,brand,region,city,established_year,years_active,synthetic_tier,google_place_id,google_name,google_rating,user_ratings_total,reviews_per_year,distance_km,match_confidence,query_used,brand_rank,brand_rank_per_year,brand_sales_weight
DLR0030,Kia UAE - Abu Dhabi,Kia,Abu Dhabi,Abu Dhabi,2010,16,Gold,,,,0,0.0,-1.0,not_found,,1,1,0.0
DLR0031,Kia UAE - Sharjah,Kia,Sharjah,Sharjah,2012,14,Silver,,,,0,0.0,-1.0,not_found,,1,1,0.0
DLR0007,Trading Enterprises - Dubai Land Rover,Land Rover,Dubai,Dubai,1993,33,Platinum,ChIJj8a2cSxqXz4R9ztOBQy773g,Land Rover Authorised Repairer Al Tayer Motors,4.0,180,5.5,1.01,medium,Trading Enterprises - Dubai Land Rover Land Rover,1,1,0.9474
DLR0008,Trading Enterprises - Abu Dhabi Land Rover,Land Rover,Abu Dhabi,Abu Dhabi,2000,26,Gold,ChIJGyC_LuppXj4RFnAmCLU4XKE,AL AIN RENT A CAR - ABUDHABI BRANCH 2,4.5,10,0.4,1.49,medium,Trading Enterprises Abu Dhabi,2,2,0.0526
DLR0041,Premier Motors - Abu Dhabi Land Rover,Land Rover,Abu Dhabi,Abu Dhabi,1991,35,Platinum,,,,0,0.0,-1.0,not_found,,3,3,0.0
DLR0009,Al-Futtaim Lexus - Dubai,Lexus,Dubai,Dubai,2002,24,Platinum,ChIJIax5GXJdXz4RuMPVsJyeq94,Lexus Showroom DFC,4.3,736,30.7,0.58,medium,Al-Futtaim Lexus - Dubai,1,1,1.0
DLR0018,Gargash Motors - Al Quoz,Mercedes-Benz,Dubai,Dubai,1958,68,Platinum,ChIJkz2CTCdrXz4RwJj5AVQNgB8,Gargash - Quoz,3.8,1530,22.5,0.58,medium,Gargash Motors - Al Quoz,1,1,0.8703
DLR0047,Gargash - Fujairah Mercedes,Mercedes-Benz,Fujairah,Fujairah,2008,18,Silver,ChIJSQlEt4X49D4R_3I6Qf7cPhE,"Gargash - Mercedes-Benz Showroom, Fujairah",4.0,162,9.0,0.19,high,Gargash - Fujairah Mercedes,2,2,0.0922
DLR0020,Gargash Motors - Sharjah,Mercedes-Benz,Sharjah,Sharjah,1998,28,Gold,ChIJ2eoBSV9ZXz4RLqocCe4vrDE,Al Fakhama Auto Maint الفخامة لصيانة السيارات,4.5,65,2.3,2.83,low,Gargash Motors - Sharjah Mercedes-Benz,3,3,0.037
DLR0019,Gargash Motors - Abu Dhabi,Mercedes-Benz,Abu Dhabi,Abu Dhabi,1985,41,Platinum,ChIJPxmFdDhnXj4RJMFpoH3K0Ag,Mercedes-Benz car charging station Musriff Mall,5.0,1,0.0,0.94,medium,Mercedes-Benz dealer Abu Dhabi UAE,4,4,0.0006
DLR0022,Ali & Sons - Al Ain Mitsubishi,Mitsubishi,Al Ain,Al Ain,1988,38,Gold,ChIJL5vkktS2ij4R6RmcFas72Ns,Kanad Hospital,4.6,1506,39.6,1.96,low,Ali & Sons Al Ain,1,1,0.8002
DLR0024,Al Habtoor Motors - Dubai,Mitsubishi,Dubai,Dubai,1983,43,Gold,ChIJpTH6cdRrXz4RS6gzl016cpA,Carology.ae,4.8,374,8.7,1.82,low,Mitsubishi dealer Dubai UAE,2,2,0.1987
DLR0043,Swaidan Trading - Dubai Mitsubishi,Mitsubishi,Dubai,Dubai,2000,26,Silver,ChIJ46nwRCloXz4RwsrlW9pVGXU,Savanna Group of Companies,4.5,2,0.1,0.5,medium,Swaidan Trading - Dubai Mitsubishi,3,3,0.0011
DLR0021,Ali & Sons - Abu Dhabi Mitsubishi,Mitsubishi,Abu Dhabi,Abu Dhabi,1979,47,Platinum,ChIJO9UnaUJpXj4RaQH41KQE58o,ISG Middle East,,0,0.0,1.22,medium,Ali & Sons Abu Dhabi,4,4,0.0
DLR0025,Al Habtoor Motors - Abu Dhabi,Mitsubishi,Abu Dhabi,Abu Dhabi,1990,36,Silver,,,,0,0.0,-1.0,not_found,,4,4,0.0
DLR0010,Arabian Automobiles - Deira,Nissan,Dubai,Dubai,1976,50,Platinum,ChIJhZ-aO9xcXz4RA0G2HJQqpIw,Nissan Showroom - Deira Dubai - AWR Automotive,4.3,2615,52.3,2.32,low,Arabian Automobiles - Deira,1,1,0.8004
DLR0046,Al Masaood - Al Ain Nissan,Nissan,Al Ain,Al Ain,2005,21,Silver,ChIJ97gkvTO3ij4RJ0t-N0QtaM0,Nissan Showroom Al Ain - Al Masaood Automobiles,4.3,566,27.0,2.96,low,Al Masaood - Al Ain Nissan,2,2,0.1732
DLR0013,Arabian Automobiles - Sharjah,Nissan,Sharjah,Sharjah,2002,24,Gold,ChIJh0dthgFZXz4RoaFufz7VjAE,"SEOUL AUTO PARTS -BR-03 (Hyundai, kia, Nissan, MG Spare parts)",4.6,53,2.2,1.36,medium,Nissan dealer Sharjah UAE,3,3,0.0162
DLR0011,Arabian Automobiles - Sheikh Zayed Road,Nissan,Dubai,Dubai,1990,36,Platinum,ChIJP5VcXGBpXz4RffEh0j2EQuc,Auto Spare Collector,4.8,33,0.9,1.99,low,Arabian Automobiles - Sheikh Zayed Road,4,4,0.0101
DLR0012,Arabian Automobiles - Abu Dhabi,Nissan,Abu Dhabi,Abu Dhabi,1995,31,Gold,,,,0,0.0,-1.0,not_found,,5,5,0.0
DLR0014,Arabian Automobiles - Ajman,Nissan,Ajman,Ajman,2010,16,Silver,,,,0,0.0,-1.0,not_found,,5,5,0.0
DLR0042,Al Masaood - Abu Dhabi Nissan,Nissan,Abu Dhabi,Abu Dhabi,1982,44,Gold,,,,0,0.0,-1.0,not_found,,5,5,0.0
DLR0038,Tesla UAE - Mall of Emirates,Tesla,Dubai,Dubai,2023,3,Gold,ChIJrZCt7XVrXz4RUbclET2I8RY,Tesla Supercharger,3.5,76,25.3,1.19,medium,Tesla UAE - Mall of Emirates,1,1,0.7677
DLR0037,Tesla UAE - Yas Mall Abu Dhabi,Tesla,Abu Dhabi,Abu Dhabi,2022,4,Gold,ChIJy_gAjn1FXj4Rx8hzoXiXStY,Tesla Destination Charger,3.7,15,3.8,0.9,medium,Tesla UAE - Yas Mall Abu Dhabi,2,2,0.1515
DLR0036,Tesla UAE - Dubai Mall,Tesla,Dubai,Dubai,2021,5,Platinum,ChIJoRf0O4JCXz4RMIJdmwBVnwg,Tesla Destination Charger,3.6,8,1.6,0.41,medium,Tesla UAE - Dubai Mall,3,3,0.0808
DLR0002,Al-Futtaim Motors - Abu Dhabi Mussafah,Toyota,Abu Dhabi,Abu Dhabi,2001,25,Platinum,ChIJK_smqIBBXj4R2P6nJiTghQA,Al Fan Emirates Abu Dhabi الفن الاماراتي أبو ظبي,4.7,10771,430.8,2.28,low,Al Abu Dhabi,1,1,0.9859
DLR0003,Al-Futtaim Motors - Sharjah,Toyota,Sharjah,Sharjah,2005,21,Gold,ChIJe6-LGmRZXz4ROgnFJFb3L04,Al-Futtaim Auto Centers - Emirates,4.4,102,4.9,1.72,low,Al-Futtaim Motors - Sharjah,2,2,0.0093
DLR0001,Al-Futtaim Motors - Dubai Festival City,Toyota,Dubai,Dubai,1997,29,Platinum,ChIJBySZqHtdXz4R8FCzHjNOwIg,Al-Futtaim Automotive,4.1,50,1.7,0.81,medium,Al-Futtaim Motors - Dubai Festival City,3,3,0.0046
DLR0045,Al-Futtaim Motors - RAK Toyota,Toyota,Ras Al Khaimah,Ras Al Khaimah,2015,11,Silver,ChIJ9VsGW_Z19j4RO5RZSDCTo8o,Ras Al Khaimah UAE,5.0,2,0.2,0.47,medium,Al Ras Al Khaimah,4,4,0.0002
DLR0004,Al-Futtaim Motors - Al Ain,Toyota,Al Ain,Al Ain,2008,18,Gold,ChIJSaDVy0Wxij4Rf5_yW-qMb_U,Al Ain,,0,0.0,2.89,low,Al Al Ain,5,5,0.0
DLR0039,Al Nabooda - Dubai Volkswagen,Volkswagen,Dubai,Dubai,1968,58,Gold,ChIJq6rqrX1CXz4RD_wLA9QqfTE,"Khalifa Juma Al Nabooda, Office 201",4.5,64,1.1,0.7,medium,Al Nabooda - Dubai Volkswagen,1,1,1.0
DLR0040,Al Nabooda - Abu Dhabi Volkswagen,Volkswagen,Abu Dhabi,Abu Dhabi,1972,54,Gold,,,,0,0.0,-1.0,not_found,,2,2,0.0
