Country Name,Country Code,Year,Value
United Arab Emirates,ARE,2024,10986400
Bahrain,BHR,1960,165477
Bahrain,BHR,1961,172346
Bahrain,BHR,1962,179349
Bahrain,BHR,1963,186501
Bahrain,BHR,1964,193816
Bahrain,BHR,1965,200866
Bahrain,BHR,1966,207543
Bahrain,BHR,1967,214189
Bahrain,BHR,1968,219337
Bahrain,BHR,1969,222469
Bahrain,BHR,1970,224809
Bahrain,BHR,1971,230733
Bahrain,BHR,1972,242113
Bahrain,BHR,1973,255320
Bahrain,BHR,1974,269038
Bahrain,BHR,1975,283243
Bahrain,BHR,1976,297863
Bahrain,BHR,1977,312823
Bahrain,BHR,1978,328046
Bahrain,BHR,1979,343457
Bahrain,BHR,1980,358978
Bahrain,BHR,1981,373524
Bahrain,BHR,1982,386983
Bahrain,BHR,1983,400707
Bahrain,BHR,1984,415154
Bahrain,BHR,1985,430358
Bahrain,BHR,1986,446286
Bahrain,BHR,1987,462854
Bahrain,BHR,1988,479929
Bahrain,BHR,1989,497327
Bahrain,BHR,1990,514797
Bahrain,BHR,1991,503052
Bahrain,BHR,1992,516458
Bahrain,BHR,1993,530225
Bahrain,BHR,1994,544366
Bahrain,BHR,1995,558879
Bahrain,BHR,1996,573792
Bahrain,BHR,1997,589115
Bahrain,BHR,1998,604842
Bahrain,BHR,1999,620989
Bahrain,BHR,2000,637582
Bahrain,BHR,2001,661316
Bahrain,BHR,2002,710553
Bahrain,BHR,2003,764517
Bahrain,BHR,2004,823741
Bahrain,BHR,2005,888822
Bahrain,BHR,2006,960424
Bahrain,BHR,2007,1039295
Bahrain,BHR,2008,1103496
Bahrain,BHR,2009,1178415
Bahrain,BHR,2010,1228543
Bahrain,BHR,2011,1195020
Bahrain,BHR,2012,1208964
Bahrain,BHR,2013,1253191
Bahrain,BHR,2014,1314562
Bahrain,BHR,2015,1370322
Bahrain,BHR,2016,1423726
Bahrain,BHR,2017,1501116
Bahrain,BHR,2018,1503091
Bahrain,BHR,2019,1483756
Bahrain,BHR,2020,1472204
Bahrain,BHR,2021,1504365
Bahrain,BHR,2022,1524693
Bahrain,BHR,2023,1577059
Bahrain,BHR,2024,1588670
Kuwait,KWT,1960,311060
Kuwait,KWT,1961,345945
Kuwait,KWT,1962,384995
Kuwait,KWT,1963,427694
Kuwait,KWT,1964,473115
Kuwait,KWT,1965,521174
Kuwait,KWT,1966,572590
Kuwait,KWT,1967,628089
Kuwait,KWT,1968,687716
Kuwait,KWT,1969,749452
Kuwait,KWT,1970,809114
Kuwait,KWT,1971,865076
Kuwait,KWT,1972,920352
Kuwait,KWT,1973,977654
Kuwait,KWT,1974,1038346
Kuwait,KWT,1975,1104863
Kuwait,KWT,1976,1178711
Kuwait,KWT,1977,1258023
Kuwait,KWT,1978,1340319
Kuwait,KWT,1979,1423514
Kuwait,KWT,1980,1504782
Kuwait,KWT,1981,1583426
Kuwait,KWT,1982,1662480
Kuwait,KWT,1983,1744295
Kuwait,KWT,1984,1820688
Kuwait,KWT,1985,1894242
Kuwait,KWT,1986,1972520
Kuwait,KWT,1987,2052994
Kuwait,KWT,1988,2134707
Kuwait,KWT,1989,2217468
Kuwait,KWT,1990,1684819
Kuwait,KWT,1991,1351399
Kuwait,KWT,1992,1634961
Kuwait,KWT,1993,1672151
Kuwait,KWT,1994,1664361
Kuwait,KWT,1995,1681513
Kuwait,KWT,1996,1730246
Kuwait,KWT,1997,1787683
Kuwait,KWT,1998,1844302
Kuwait,KWT,1999,1900030
Kuwait,KWT,2000,1954709
Kuwait,KWT,2001,2008121
Kuwait,KWT,2002,2059974
Kuwait,KWT,2003,2109881
Kuwait,KWT,2004,2157320
Kuwait,KWT,2005,2236788
Kuwait,KWT,2006,2364733
Kuwait,KWT,2007,2507887
Kuwait,KWT,2008,2651421
Kuwait,KWT,2009,2795484
Kuwait,KWT,2010,2943372
Kuwait,KWT,2011,3132814
Kuwait,KWT,2012,3337109
Kuwait,KWT,2013,3507844
Kuwait,KWT,2014,3665876
Kuwait,KWT,2015,3834574
Kuwait,KWT,2016,4004096
Kuwait,KWT,2017,4154812
Kuwait,KWT,2018,4323515
Kuwait,KWT,2019,4442316
Kuwait,KWT,2020,4400267
Kuwait,KWT,2021,4360865
Kuwait,KWT,2022,4589643
Kuwait,KWT,2023,4853420
Kuwait,KWT,2024,4897263
Oman,OMN,1960,530485
Oman,OMN,1961,539854
Oman,OMN,1962,549941
Oman,OMN,1963,560827
Oman,OMN,1964,572577
Oman,OMN,1965,585236
Oman,OMN,1966,598804
Oman,OMN,1967,613318
Oman,OMN,1968,628798
Oman,OMN,1969,645255
Oman,OMN,1970,662680
Oman,OMN,1971,681119
Oman,OMN,1972,700593
Oman,OMN,1973,721179
Oman,OMN,1974,746988
Oman,OMN,1975,778864
Oman,OMN,1976,814701
Oman,OMN,1977,855314
Oman,OMN,1978,900304
Oman,OMN,1979,949116
Oman,OMN,1980,1001248
Oman,OMN,1981,1057320
Oman,OMN,1982,1117678
Oman,OMN,1983,1181459
Oman,OMN,1984,1247716
Oman,OMN,1985,1325480
Oman,OMN,1986,1413419
Oman,OMN,1987,1500996
Oman,OMN,1988,1588568
Oman,OMN,1989,1676228
Oman,OMN,1990,1763954
Oman,OMN,1991,1851473
Oman,OMN,1992,1938238
Oman,OMN,1993,2021675
Oman,OMN,1994,2081834
Oman,OMN,1995,2120528
Oman,OMN,1996,2156926
Oman,OMN,1997,2190720
Oman,OMN,1998,2222489
Oman,OMN,1999,2252909
Oman,OMN,2000,2282131
Oman,OMN,2001,2310217
Oman,OMN,2002,2337140
Oman,OMN,2003,2363796
Oman,OMN,2004,2404821
Oman,OMN,2005,2459802
Oman,OMN,2006,2514795
Oman,OMN,2007,2570174
Oman,OMN,2008,2626529
Oman,OMN,2009,2684659
Oman,OMN,2010,2757446
Oman,OMN,2011,3076763
Oman,OMN,2012,3547106
Oman,OMN,2013,3833913
Oman,OMN,2014,4002439
Oman,OMN,2015,4184895
Oman,OMN,2016,4390877
Oman,OMN,2017,4537396
Oman,OMN,2018,4597877
Oman,OMN,2019,4591241
Oman,OMN,2020,4522497
Oman,OMN,2021,4500424
Oman,OMN,2022,4730226
Oman,OMN,2023,5049269
Oman,OMN,2024,5281538
Qatar,QAT,1960,36010
Qatar,QAT,1961,39680
Qatar,QAT,1962,44630
Qatar,QAT,1963,50380
Qatar,QAT,1964,56867
Qatar,QAT,1965,64065
Qatar,QAT,1966,72192
Qatar,QAT,1967,81439
Qatar,QAT,1968,91749
Qatar,QAT,1969,103025
Qatar,QAT,1970,116350
Qatar,QAT,1971,131346
Qatar,QAT,1972,146506
Qatar,QAT,1973,161841
Qatar,QAT,1974,177362
Qatar,QAT,1975,193087
Qatar,QAT,1976,209052
Qatar,QAT,1977,225285
Qatar,QAT,1978,241808
Qatar,QAT,1979,258670
Qatar,QAT,1980,275913
Qatar,QAT,1981,293553
Qatar,QAT,1982,311537
Qatar,QAT,1983,329709
Qatar,QAT,1984,347878
Qatar,QAT,1985,365940
Qatar,QAT,1986,382422
Qatar,QAT,1987,397005
Qatar,QAT,1988,411264
Qatar,QAT,1989,425646
Qatar,QAT,1990,440175
Qatar,QAT,1991,454853
Qatar,QAT,1992,469657
Qatar,QAT,1993,484545
Qatar,QAT,1994,499459
Qatar,QAT,1995,514325
Qatar,QAT,1996,529019
Qatar,QAT,1997,550500
Qatar,QAT,1998,580540
Qatar,QAT,1999,612500
Qatar,QAT,2000,644989
Qatar,QAT,2001,677925
Qatar,QAT,2002,711205
Qatar,QAT,2003,744682
Qatar,QAT,2004,773332
Qatar,QAT,2005,825408
Qatar,QAT,2006,972831
Qatar,QAT,2007,1208595
Qatar,QAT,2008,1426938
Qatar,QAT,2009,1608903
Qatar,QAT,2010,1616832
Qatar,QAT,2011,1624761
Qatar,QAT,2012,1722438
Qatar,QAT,2013,1916426
Qatar,QAT,2014,2151745
Qatar,QAT,2015,2344557
Qatar,QAT,2016,2477113
Qatar,QAT,2017,2545820
Qatar,QAT,2018,2580734
Qatar,QAT,2019,2638657
Qatar,QAT,2020,2794148
Qatar,QAT,2021,2504910
Qatar,QAT,2022,2657333
Qatar,QAT,2023,2656032
Qatar,QAT,2024,2857822
Saudi Arabia,SAU,1960,2435403
Saudi Arabia,SAU,1961,2526347
Saudi Arabia,SAU,1962,2620910
Saudi Arabia,SAU,1963,2719341
Saudi Arabia,SAU,1964,2821968
Saudi Arabia,SAU,1965,2928771
Saudi Arabia,SAU,1966,3039887
Saudi Arabia,SAU,1967,3157242
Saudi Arabia,SAU,1968,3282711
Saudi Arabia,SAU,1969,3417114
Saudi Arabia,SAU,1970,3562470
Saudi Arabia,SAU,1971,3724031
Saudi Arabia,SAU,1972,3905722
Saudi Arabia,SAU,1973,4106344
Saudi Arabia,SAU,1974,4323632
Saudi Arabia,SAU,1975,4556287
Saudi Arabia,SAU,1976,4807933
Saudi Arabia,SAU,1977,5083048
Saudi Arabia,SAU,1978,5381902
Saudi Arabia,SAU,1979,5703698
Saudi Arabia,SAU,1980,6047997
Saudi Arabia,SAU,1981,6420551
Saudi Arabia,SAU,1982,6824486
Saudi Arabia,SAU,1983,7252941
Saudi Arabia,SAU,1984,7697307
Saudi Arabia,SAU,1985,8151779
Saudi Arabia,SAU,1986,8628639
Saudi Arabia,SAU,1987,9130194
Saudi Arabia,SAU,1988,9629165
Saudi Arabia,SAU,1989,10128394
Saudi Arabia,SAU,1990,10640691
Saudi Arabia,SAU,1991,11160744
Saudi Arabia,SAU,1992,11686676
Saudi Arabia,SAU,1993,12215862
Saudi Arabia,SAU,1994,12750040
Saudi Arabia,SAU,1995,13289245
Saudi Arabia,SAU,1996,13831009
Saudi Arabia,SAU,1997,14374943
Saudi Arabia,SAU,1998,14922185
Saudi Arabia,SAU,1999,15472075
Saudi Arabia,SAU,2000,16177722
Saudi Arabia,SAU,2001,17041397
Saudi Arabia,SAU,2002,17910910
Saudi Arabia,SAU,2003,18786767
Saudi Arabia,SAU,2004,19669480
Saudi Arabia,SAU,2005,20559890
Saudi Arabia,SAU,2006,21459144
Saudi Arabia,SAU,2007,22368313
Saudi Arabia,SAU,2008,23287877
Saudi Arabia,SAU,2009,24217654
Saudi Arabia,SAU,2010,23978487
Saudi Arabia,SAU,2011,25091867
Saudi Arabia,SAU,2012,26168861
Saudi Arabia,SAU,2013,27624004
Saudi Arabia,SAU,2014,28309273
Saudi Arabia,SAU,2015,29816382
Saudi Arabia,SAU,2016,30954198
Saudi Arabia,SAU,2017,30977355
Saudi Arabia,SAU,2018,30196281
Saudi Arabia,SAU,2019,30063799
Saudi Arabia,SAU,2020,31552510
Saudi Arabia,SAU,2021,30784383
Saudi Arabia,SAU,2022,32175224
Saudi Arabia,SAU,2023,33702731
Saudi Arabia,SAU,2024,35300280
