year,month,date,overall_cpi,housing_cpi,food_cpi,transport_cpi,education_cpi,healthcare_cpi,yoy_inflation_pct
2012,1,2012-01-01,102.62,104.32,98.7,96.15,107.16,104.25,0.04
2012,2,2012-02-01,101.37,103.64,99.87,96.09,107.0,104.49,0.87
2012,3,2012-03-01,101.63,102.55,98.27,95.01,106.83,104.67,0.39
2012,4,2012-04-01,101.9,103.0,98.3,96.61,107.12,105.0,0.45
2012,5,2012-05-01,100.74,103.6,100.61,97.32,106.89,104.21,0.35
2012,6,2012-06-01,101.95,102.78,100.95,97.26,106.32,104.6,0.22
2012,7,2012-07-01,101.44,104.39,100.87,97.08,105.74,104.9,0.85
2012,8,2012-08-01,101.4,104.18,98.75,97.06,106.64,104.91,1.4
2012,9,2012-09-01,101.78,103.35,98.93,96.31,106.69,104.38,1.28
2012,10,2012-10-01,101.89,103.4,100.56,95.19,107.22,105.29,1.32
2012,11,2012-11-01,101.7,104.31,99.9,97.02,106.29,105.41,0.8
2012,12,2012-12-01,100.98,103.58,98.25,95.12,106.31,105.02,1.09
2013,1,2013-01-01,102.29,104.56,100.8,97.53,107.94,105.2,1.26
2013,2,2013-02-01,102.62,104.5,101.11,97.79,108.04,105.71,1.54
2013,3,2013-03-01,102.56,105.61,100.46,98.13,107.45,104.87,1.39
2013,4,2013-04-01,102.51,105.26,101.64,96.99,107.62,105.87,1.03
2013,5,2013-05-01,102.78,105.33,100.0,97.51,108.36,106.27,1.39
2013,6,2013-06-01,102.4,104.87,101.06,97.97,107.62,106.37,1.32
2013,7,2013-07-01,102.18,105.23,101.65,97.3,107.83,106.51,0.66
2013,8,2013-08-01,102.0,105.23,100.43,96.26,107.14,106.05,1.6
2013,9,2013-09-01,102.41,104.36,100.33,97.19,108.23,104.74,1.18
2013,10,2013-10-01,103.64,105.2,100.59,97.91,108.29,105.48,0.64
2013,11,2013-11-01,102.96,105.13,100.12,97.8,107.51,106.77,0.74
2013,12,2013-12-01,102.75,105.13,100.61,97.39,108.98,106.28,0.33
2014,1,2014-01-01,105.66,107.45,102.43,97.83,110.73,109.06,1.93
2014,2,2014-02-01,104.75,107.28,103.12,99.99,110.43,107.79,2.23
2014,3,2014-03-01,104.65,107.53,103.1,100.55,110.11,107.51,1.96
2014,4,2014-04-01,104.95,106.85,104.2,99.71,110.24,108.21,1.91
2014,5,2014-05-01,104.8,107.35,104.01,99.5,109.99,107.8,1.97
2014,6,2014-06-01,105.24,106.09,103.99,98.34,110.43,108.94,2.37
2014,7,2014-07-01,105.15,107.54,102.57,98.87,110.35,108.12,1.88
2014,8,2014-08-01,105.5,107.58,102.22,98.0,110.24,108.65,2.32
2014,9,2014-09-01,105.07,106.89,103.1,100.71,110.08,107.51,2.45
2014,10,2014-10-01,104.57,106.3,103.54,100.15,109.94,108.67,2.22
2014,11,2014-11-01,105.75,106.61,102.62,99.71,110.26,108.28,2.47
2014,12,2014-12-01,104.98,108.4,103.09,99.79,110.18,109.19,2.31
2015,1,2015-01-01,109.16,111.22,107.06,103.65,114.01,112.65,4.21
2015,2,2015-02-01,109.71,112.4,108.48,105.49,115.06,112.14,4.36
2015,3,2015-03-01,109.58,111.79,106.54,103.07,114.89,112.69,4.28
2015,4,2015-04-01,109.16,112.2,107.36,103.84,114.44,113.03,3.95
2015,5,2015-05-01,109.16,111.42,109.07,104.27,114.87,113.24,4.79
2015,6,2015-06-01,109.83,112.25,106.75,104.54,114.83,113.12,3.71
2015,7,2015-07-01,110.1,110.7,107.21,104.15,114.79,112.92,4.14
2015,8,2015-08-01,109.5,111.17,106.89,103.12,114.52,114.11,4.11
2015,9,2015-09-01,109.25,110.56,106.93,103.48,114.97,112.97,4.2
2015,10,2015-10-01,108.62,112.49,108.34,103.35,114.89,113.33,3.73
2015,11,2015-11-01,108.47,110.76,107.98,104.72,114.6,112.63,4.03
2015,12,2015-12-01,109.07,111.79,108.48,103.32,114.96,113.25,3.81
2016,1,2016-01-01,111.43,114.05,108.21,106.72,117.31,115.44,1.81
2016,2,2016-02-01,110.96,113.61,108.83,106.01,116.88,113.68,1.68
2016,3,2016-03-01,111.12,113.41,108.17,104.78,116.73,115.17,1.29
2016,4,2016-04-01,110.48,114.11,109.03,106.76,116.37,114.84,1.94
2016,5,2016-05-01,110.81,113.52,108.89,104.34,116.24,113.75,1.79
2016,6,2016-06-01,110.98,113.12,108.5,106.23,116.38,115.13,1.85
2016,7,2016-07-01,110.89,112.54,109.11,106.68,116.06,114.3,1.02
2016,8,2016-08-01,110.45,114.97,108.12,106.22,116.37,113.34,1.5
2016,9,2016-09-01,111.24,113.01,108.59,104.96,117.11,114.83,1.94
2016,10,2016-10-01,111.32,113.41,108.16,105.79,116.3,114.03,1.66
2016,11,2016-11-01,110.82,112.59,108.88,105.22,117.21,114.59,1.56
2016,12,2016-12-01,110.78,113.42,109.05,106.98,116.61,114.4,0.92
2017,1,2017-01-01,113.68,115.14,110.03,107.97,119.46,115.9,2.03
2017,2,2017-02-01,113.03,115.87,110.78,108.56,119.44,116.64,2.23
2017,3,2017-03-01,114.06,114.28,110.98,107.01,119.46,116.18,2.28
2017,4,2017-04-01,113.34,115.49,110.54,106.72,118.88,116.91,1.39
2017,5,2017-05-01,112.86,115.15,111.29,106.71,118.52,116.56,2.77
2017,6,2017-06-01,113.52,115.34,111.43,107.54,119.39,116.72,1.68
2017,7,2017-07-01,113.63,116.85,113.04,107.69,118.58,115.39,1.79
2017,8,2017-08-01,113.1,115.47,110.19,108.18,118.61,116.68,1.86
2017,9,2017-09-01,113.12,115.75,109.65,108.16,119.29,116.34,2.07
2017,10,2017-10-01,113.46,115.06,110.65,106.21,119.4,116.72,1.67
2017,11,2017-11-01,113.68,115.4,110.69,107.24,119.29,116.46,2.24
2017,12,2017-12-01,112.99,115.31,111.58,107.58,119.17,116.16,2.33
2018,1,2018-01-01,117.41,118.57,113.94,110.15,122.41,120.69,3.17
2018,2,2018-02-01,116.1,119.78,114.64,111.87,122.8,120.61,2.86
2018,3,2018-03-01,117.4,119.4,112.54,110.61,122.64,120.68,3.1
2018,4,2018-04-01,117.19,118.57,114.05,110.63,122.83,120.23,2.73
2018,5,2018-05-01,116.62,119.23,113.58,110.75,122.41,120.57,2.93
2018,6,2018-06-01,116.7,119.17,114.58,111.23,122.44,120.13,3.23
2018,7,2018-07-01,117.07,119.68,114.06,110.94,122.9,120.07,3.44
2018,8,2018-08-01,116.32,119.01,114.08,112.07,122.11,120.33,3.36
2018,9,2018-09-01,116.61,119.45,113.79,112.53,122.86,120.41,3.4
2018,10,2018-10-01,116.98,120.51,114.01,110.47,122.17,119.66,3.19
2018,11,2018-11-01,117.19,119.04,115.01,109.7,122.59,120.97,3.01
2018,12,2018-12-01,118.11,119.77,113.63,110.73,122.33,119.61,3.13
2019,1,2019-01-01,115.0,116.68,112.49,109.73,120.46,118.03,-1.9
2019,2,2019-02-01,114.69,117.37,112.45,110.61,120.6,117.83,-1.93
2019,3,2019-03-01,115.39,116.46,111.38,108.81,119.87,118.54,-2.18
2019,4,2019-04-01,114.61,116.78,110.91,109.89,120.41,118.01,-1.69
2019,5,2019-05-01,113.86,117.07,111.52,107.75,120.12,117.9,-1.41
2019,6,2019-06-01,114.8,116.75,112.39,110.07,120.23,117.34,-1.92
2019,7,2019-07-01,115.09,117.98,112.86,108.49,120.31,117.31,-2.22
2019,8,2019-08-01,114.97,116.42,113.44,108.39,120.1,118.09,-1.83
2019,9,2019-09-01,114.22,116.05,113.55,109.05,121.43,118.36,-1.54
2019,10,2019-10-01,114.18,116.6,112.27,108.6,120.2,117.86,-1.95
2019,11,2019-11-01,114.81,116.26,112.04,109.54,120.65,117.62,-1.47
2019,12,2019-12-01,115.21,116.69,112.96,107.97,120.51,117.29,-1.73
2020,1,2020-01-01,111.96,114.71,110.36,106.21,117.4,115.75,-2.48
2020,2,2020-02-01,112.4,114.24,109.31,105.69,117.57,115.82,-2.44
2020,3,2020-03-01,112.37,114.85,109.24,106.57,117.38,115.86,-1.95
2020,4,2020-04-01,112.13,114.76,109.38,108.04,117.8,116.31,-2.02
2020,5,2020-05-01,111.53,114.98,109.01,105.41,117.82,115.71,-1.93
2020,6,2020-06-01,112.72,114.34,109.96,105.99,118.2,116.78,-2.11
2020,7,2020-07-01,112.37,113.38,110.17,105.95,118.14,115.46,-1.55
2020,8,2020-08-01,112.55,113.95,109.78,106.15,118.4,115.89,-2.1
2020,9,2020-09-01,111.7,114.81,109.42,106.39,117.95,115.17,-1.88
2020,10,2020-10-01,112.37,114.46,109.78,105.47,117.78,114.77,-2.08
2020,11,2020-11-01,112.71,114.05,109.83,105.86,118.18,115.78,-1.51
2020,12,2020-12-01,112.2,114.51,110.36,105.17,117.42,114.46,-2.45
2021,1,2021-01-01,111.26,114.92,109.55,107.66,118.17,116.01,-0.28
2021,2,2021-02-01,112.31,113.83,109.78,107.47,118.08,115.96,0.11
2021,3,2021-03-01,111.93,113.58,110.14,106.76,117.22,115.63,-0.08
2021,4,2021-04-01,112.38,115.22,110.3,106.98,117.76,115.08,-0.31
2021,5,2021-05-01,112.06,114.9,109.23,106.53,118.08,115.48,0.36
2021,6,2021-06-01,112.53,115.01,109.94,106.67,118.05,114.93,0.41
2021,7,2021-07-01,112.6,113.4,110.39,107.62,117.4,115.57,0.15
2021,8,2021-08-01,111.97,114.1,110.21,107.74,118.14,116.35,-0.09
2021,9,2021-09-01,111.71,114.79,108.97,106.03,117.83,115.73,-0.34
2021,10,2021-10-01,111.68,114.17,110.21,106.86,117.24,116.06,0.23
2021,11,2021-11-01,111.35,115.99,109.62,107.3,117.53,115.56,0.15
2021,12,2021-12-01,112.43,114.98,109.94,107.14,118.14,115.75,0.2
2022,1,2022-01-01,118.06,119.36,115.02,112.19,123.39,120.43,4.66
2022,2,2022-02-01,117.56,120.19,114.43,112.23,123.67,121.41,4.93
2022,3,2022-03-01,118.29,119.19,114.54,111.54,122.94,120.96,5.37
2022,4,2022-04-01,118.18,118.83,115.78,111.89,123.15,121.08,5.05
2022,5,2022-05-01,117.21,120.26,115.49,110.13,122.91,120.37,4.97
2022,6,2022-06-01,117.82,120.24,115.24,111.25,123.44,120.53,4.51
2022,7,2022-07-01,117.64,119.86,114.87,112.78,123.65,121.27,4.92
2022,8,2022-08-01,117.96,119.27,115.55,111.55,123.64,122.05,4.66
2022,9,2022-09-01,118.5,120.0,115.0,110.75,122.94,120.94,4.89
2022,10,2022-10-01,117.3,119.14,115.91,112.5,123.83,121.36,4.6
2022,11,2022-11-01,117.82,119.56,115.34,111.66,123.16,120.75,5.0
2022,12,2022-12-01,116.58,120.73,115.81,112.02,123.11,120.5,4.05
2023,1,2023-01-01,121.66,123.22,120.65,116.82,128.25,124.99,2.88
2023,2,2023-02-01,121.91,123.88,118.68,114.93,127.53,125.09,3.33
2023,3,2023-03-01,121.62,124.39,119.08,115.02,127.79,125.22,3.66
2023,4,2023-04-01,121.78,124.36,119.21,115.54,127.5,125.8,3.23
2023,5,2023-05-01,121.87,122.76,118.61,116.45,127.17,125.38,2.64
2023,6,2023-06-01,121.89,124.52,117.92,115.63,127.61,125.86,3.12
2023,7,2023-07-01,121.23,123.39,120.59,114.97,127.7,125.06,3.39
2023,8,2023-08-01,121.66,123.54,118.56,115.27,128.21,125.67,3.02
2023,9,2023-09-01,121.29,124.9,120.81,114.98,127.19,125.3,3.41
2023,10,2023-10-01,121.82,124.11,119.65,115.81,127.63,125.28,3.47
2023,11,2023-11-01,121.79,124.15,119.01,116.51,127.36,125.45,3.29
2023,12,2023-12-01,121.93,124.08,118.66,114.9,127.83,125.31,3.26
2024,1,2024-01-01,123.88,125.82,121.81,118.5,130.3,128.02,2.47
2024,2,2024-02-01,124.25,128.23,120.91,118.5,131.26,127.96,2.43
2024,3,2024-03-01,124.2,127.81,121.91,120.26,130.69,127.78,2.13
2024,4,2024-04-01,124.31,125.81,121.45,118.47,130.46,127.51,2.23
2024,5,2024-05-01,124.54,126.89,121.02,118.45,129.88,129.07,1.95
2024,6,2024-06-01,124.48,126.08,121.93,118.91,130.8,128.64,2.42
2024,7,2024-07-01,124.26,127.03,121.88,120.42,130.7,128.73,1.99
2024,8,2024-08-01,124.46,127.29,122.14,116.66,130.58,128.29,2.65
2024,9,2024-09-01,124.96,126.55,121.29,119.01,129.77,128.47,1.83
2024,10,2024-10-01,124.12,126.65,122.46,117.79,130.8,128.25,2.39
2024,11,2024-11-01,124.99,127.16,121.41,117.95,130.28,127.53,2.49
2024,12,2024-12-01,124.56,127.53,123.43,117.48,130.91,127.61,2.49
