year,month,date,uae_base_rate_pct,eibor_1m_pct,eibor_3m_pct,eibor_6m_pct,eibor_12m_pct,avg_mortgage_rate_pct,fixed_mortgage_rate_pct,variable_mortgage_rate_pct,fed_funds_rate_pct
2019,5,2019-05-01,1.967,2.116,2.126,2.434,2.478,3.937,4.369,3.957,1.75
2019,6,2019-06-01,2.028,2.089,2.11,2.333,2.559,3.997,4.547,3.962,1.75
2019,7,2019-07-01,2.078,2.103,2.243,2.346,2.48,4.008,4.583,3.717,1.75
2019,8,2019-08-01,2.02,2.066,2.206,2.275,2.478,4.067,4.697,3.778,1.75
2019,9,2019-09-01,2.003,2.137,2.143,2.391,2.506,4.041,4.607,3.694,1.75
2019,10,2019-10-01,1.945,2.105,2.198,2.299,2.434,3.946,4.531,4.117,1.75
2019,11,2019-11-01,1.994,2.029,2.192,2.386,2.481,3.904,4.445,3.757,1.75
2019,12,2019-12-01,1.981,2.08,2.215,2.307,2.517,3.762,4.53,3.945,1.75
2020,1,2020-01-01,0.554,0.529,0.751,0.882,0.901,2.376,3.198,2.367,0.25
2020,2,2020-02-01,0.42,0.464,0.585,0.789,1.083,2.631,3.005,2.372,0.25
2020,3,2020-03-01,0.575,0.654,0.679,0.918,0.978,2.409,2.97,2.357,0.25
2020,4,2020-04-01,0.5,0.658,0.714,0.83,1.003,2.363,3.124,2.279,0.25
2020,5,2020-05-01,0.606,0.672,0.763,0.849,0.951,2.448,3.067,2.251,0.25
2020,6,2020-06-01,0.565,0.612,0.762,0.827,1.004,2.618,2.886,2.328,0.25
2020,7,2020-07-01,0.5,0.636,0.781,0.824,0.985,2.674,2.958,2.28,0.25
2020,8,2020-08-01,0.565,0.563,0.753,0.854,0.951,2.496,3.003,2.263,0.25
2020,9,2020-09-01,0.45,0.642,0.691,0.882,0.984,2.631,2.968,2.318,0.25
2020,10,2020-10-01,0.45,0.675,0.781,0.915,1.028,2.515,2.928,2.275,0.25
2020,11,2020-11-01,0.5,0.633,0.659,0.86,1.049,2.517,3.15,2.368,0.25
2020,12,2020-12-01,0.466,0.604,0.665,0.852,0.985,2.464,2.971,2.577,0.25
2021,1,2021-01-01,0.588,0.552,0.719,0.879,0.99,2.505,2.918,2.066,0.25
2021,2,2021-02-01,0.417,0.722,0.74,0.882,0.956,2.468,3.009,2.276,0.25
2021,3,2021-03-01,0.526,0.553,0.753,0.835,1.076,2.27,3.15,2.094,0.25
2021,4,2021-04-01,0.544,0.537,0.682,0.714,1.049,2.543,2.89,2.302,0.25
2021,5,2021-05-01,0.482,0.594,0.72,0.831,1.033,2.541,2.992,2.301,0.25
2021,6,2021-06-01,0.534,0.642,0.673,0.827,0.987,2.487,2.972,2.371,0.25
2021,7,2021-07-01,0.427,0.698,0.653,0.773,1.077,2.475,2.948,2.317,0.25
2021,8,2021-08-01,0.532,0.639,0.608,0.921,0.928,2.686,2.951,2.42,0.25
2021,9,2021-09-01,0.455,0.649,0.676,0.867,1.06,2.445,3.153,2.406,0.25
2021,10,2021-10-01,0.493,0.582,0.753,0.813,0.907,2.507,2.981,2.303,0.25
2021,11,2021-11-01,0.533,0.566,0.788,0.898,1.0,2.505,3.007,2.161,0.25
2021,12,2021-12-01,0.571,0.617,0.629,0.817,0.95,2.503,3.02,2.221,0.25
2022,1,2022-01-01,4.76,4.883,4.873,5.139,5.296,6.782,7.247,6.574,4.5
2022,2,2022-02-01,4.658,4.908,4.894,5.101,5.222,6.793,7.301,6.41,4.5
2022,3,2022-03-01,4.749,4.93,4.909,5.122,5.288,6.8,7.294,6.45,4.5
2022,4,2022-04-01,4.682,4.88,4.993,5.069,5.25,6.629,7.195,6.531,4.5
2022,5,2022-05-01,4.772,4.811,4.976,5.04,5.296,6.806,7.201,6.576,4.5
2022,6,2022-06-01,4.733,4.825,5.014,5.061,5.286,6.641,7.258,6.44,4.5
2022,7,2022-07-01,4.784,4.94,4.968,5.104,5.267,6.533,7.329,6.734,4.5
2022,8,2022-08-01,4.748,4.847,4.985,5.124,5.158,6.668,7.381,6.481,4.5
2022,9,2022-09-01,4.837,4.866,4.951,5.072,5.276,6.675,7.264,6.494,4.5
2022,10,2022-10-01,4.649,4.886,4.927,5.12,5.262,6.87,7.178,6.675,4.5
2022,11,2022-11-01,4.675,4.912,4.944,5.149,5.263,6.708,7.301,6.552,4.5
2022,12,2022-12-01,4.743,4.81,4.98,5.017,5.276,6.761,7.347,6.393,4.5
2023,1,2023-01-01,5.652,5.848,5.963,6.057,6.237,7.827,8.231,7.525,5.5
2023,2,2023-02-01,5.713,5.792,5.813,6.106,6.235,7.648,8.136,7.486,5.5
2023,3,2023-03-01,5.819,5.861,5.934,6.12,6.298,7.812,8.343,7.709,5.5
2023,4,2023-04-01,5.714,5.826,5.928,6.119,6.269,7.701,8.343,7.726,5.5
2023,5,2023-05-01,5.783,5.889,5.968,6.005,6.245,7.885,8.054,7.813,5.5
2023,6,2023-06-01,5.719,5.867,5.972,6.055,6.244,7.805,8.389,7.476,5.5
2023,7,2023-07-01,5.798,5.849,5.911,6.009,6.224,7.688,8.312,7.508,5.5
2023,8,2023-08-01,5.787,5.894,5.853,6.167,6.205,7.837,8.282,7.632,5.5
2023,9,2023-09-01,5.745,5.83,5.924,5.978,6.315,7.697,8.411,7.399,5.5
2023,10,2023-10-01,5.75,5.813,5.931,6.112,6.226,7.739,8.205,7.421,5.5
2023,11,2023-11-01,5.777,5.763,5.944,6.074,6.242,7.842,8.3,7.496,5.5
2023,12,2023-12-01,5.785,5.897,5.938,6.053,6.254,7.775,8.129,7.384,5.5
2024,1,2024-01-01,5.433,5.658,5.694,5.87,5.906,7.562,8.104,7.425,5.25
2024,2,2024-02-01,5.534,5.567,5.707,5.832,6.01,7.283,7.914,7.355,5.25
2024,3,2024-03-01,5.531,5.585,5.728,5.836,6.037,7.666,7.97,7.216,5.25
2024,4,2024-04-01,5.573,5.635,5.731,5.793,5.995,7.512,8.166,7.205,5.25
2024,5,2024-05-01,5.383,5.641,5.629,5.864,6.018,7.399,8.006,7.191,5.25
2024,6,2024-06-01,5.524,5.575,5.59,5.869,5.925,7.514,7.903,7.328,5.25
2024,7,2024-07-01,5.508,5.621,5.675,5.851,6.001,7.637,8.058,7.044,5.25
2024,8,2024-08-01,5.493,5.539,5.742,5.788,5.954,7.444,7.778,7.298,5.25
2024,9,2024-09-01,5.568,5.589,5.749,5.826,5.946,7.497,8.038,7.334,5.25
2024,10,2024-10-01,5.51,5.629,5.709,5.813,5.973,7.462,8.025,7.507,5.25
2024,11,2024-11-01,5.458,5.669,5.68,5.882,6.034,7.469,8.084,7.233,5.25
2024,12,2024-12-01,5.546,5.507,5.78,5.9,6.074,7.38,7.945,7.284,5.25
