event_id,datetime,date,year,month,theme,source_domain,source_country,headline_sentiment,tone_score,goldstein_scale,num_mentions,num_sources,avg_tone,quad_class,is_real_estate_specific
GDELT-0000011,2024-04-25 12:36:00,2024-04-25,2024,4,EXPO2020_DUBAI,propertymonitor.ae,AE,Neutral,0.84,8.8,15,9,0.95,Verbal Cooperation,0
GDELT-0000012,2021-09-27 15:03:00,2021-09-27,2021,9,SUSTAINABLE_BUILDINGS_UAE,dxbinteract.com,GLOBAL,Neutral,-0.22,-2.5,12,2,-1.34,Material Cooperation,0
GDELT-0000013,2024-05-31 03:41:00,2024-05-31,2024,5,EXPO2020_DUBAI,arabianbusiness.com,AE,Neutral,0.64,6.4,26,18,0.01,Material Cooperation,0
GDELT-0000014,2020-10-17 13:51:00,2020-10-17,2020,10,DUBAI_INFRASTRUCTURE,zawya.com,AE,Positive,4.38,3.7,11,17,1.65,Material Conflict,0
GDELT-0000015,2023-06-13 16:06:00,2023-06-13,2023,6,ARAMCO_UAE_OIL,reuters.com,GLOBAL,Positive,3.5,4.6,36,28,3.64,Material Cooperation,0
GDELT-0000016,2021-07-23 19:49:00,2021-07-23,2021,7,OFFPLAN_SALES_UAE,propertyfinder.ae,AE,Positive,2.51,-6.8,126,17,5.13,Verbal Conflict,0
GDELT-0000017,2022-03-10 13:28:00,2022-03-10,2022,3,AFFORDABLE_HOUSING_UAE,propertyfinder.ae,AE,Neutral,0.91,8.3,35,12,0.6,Verbal Cooperation,0
GDELT-0000018,2021-03-18 14:18:00,2021-03-18,2021,3,DUBAI_TOURISM,thenationalnews.com,GLOBAL,Positive,3.87,4.5,92,30,3.3,Verbal Conflict,0
GDELT-0000019,2024-05-16 15:02:00,2024-05-16,2024,5,DUBAI_TOURISM,arabianbusiness.com,AE,Positive,4.33,4.8,146,24,3.7,Verbal Cooperation,0
GDELT-0000020,2022-04-24 01:49:00,2022-04-24,2022,4,DUBAI_INFRASTRUCTURE,bayut.com,GLOBAL,Positive,3.26,6.5,83,6,5.75,Verbal Conflict,0
GDELT-0000021,2023-10-17 07:43:00,2023-10-17,2023,10,UAE_REAL_ESTATE_MARKET,propertymonitor.ae,AE,Neutral,-2.35,7.9,142,19,3.67,Verbal Cooperation,1
GDELT-0000022,2024-12-21 16:47:00,2024-12-21,2024,12,DUBAI_INFRASTRUCTURE,aljazeera.com,GLOBAL,Positive,6.64,3.2,148,11,0.49,Verbal Conflict,0
GDELT-0000023,2024-04-02 19:06:00,2024-04-02,2024,4,REITS_UAE,arabianbusiness.com,AE,Positive,2.77,-2.5,1,13,5.32,Verbal Conflict,0
GDELT-0000024,2024-03-03 06:08:00,2024-03-03,2024,3,UAE_PROPERTY_INVESTMENT,reuters.com,GLOBAL,Negative,-3.57,-6.3,47,11,-5.01,Verbal Conflict,1
GDELT-0000025,2021-06-22 12:08:00,2021-06-22,2021,6,DUBAI_PROPERTY_PRICES,dxbinteract.com,GLOBAL,Neutral,-0.14,4.2,110,6,4.98,Verbal Cooperation,1
GDELT-0000026,2024-12-19 12:37:00,2024-12-19,2024,12,UAE_PROPERTY_INVESTMENT,bayut.com,GLOBAL,Neutral,1.21,2.5,31,3,-2.54,Material Cooperation,1
GDELT-0000027,2024-03-03 19:43:00,2024-03-03,2024,3,DUBAI_INFRASTRUCTURE,propertymonitor.ae,AE,Neutral,-0.66,9.1,146,18,2.06,Verbal Cooperation,0
GDELT-0000028,2021-02-28 23:55:00,2021-02-28,2021,2,EXPO2020_DUBAI,aljazeera.com,GLOBAL,Neutral,1.46,4.9,13,12,0.26,Verbal Cooperation,0
GDELT-0000029,2024-07-25 12:57:00,2024-07-25,2024,7,UAE_MORTGAGE_MARKET,khaleejtimes.com,GLOBAL,Neutral,-0.09,1.8,39,8,-2.93,Material Cooperation,0
GDELT-0000030,2023-08-22 03:03:00,2023-08-22,2023,8,REITS_UAE,bayut.com,GLOBAL,Positive,3.91,9.1,133,12,4.18,Verbal Conflict,0
GDELT-0000031,2022-10-07 02:15:00,2022-10-07,2022,10,OFFPLAN_SALES_UAE,arabianbusiness.com,AE,Positive,1.36,3.0,76,23,6.39,Material Cooperation,0
GDELT-0000032,2020-10-07 21:28:00,2020-10-07,2020,10,UAE_MORTGAGE_MARKET,dxbinteract.com,GLOBAL,Positive,3.12,3.3,73,14,7.42,Material Cooperation,0
GDELT-0000033,2020-02-03 16:35:00,2020-02-03,2020,2,UAE_MORTGAGE_MARKET,reuters.com,GLOBAL,Positive,2.78,0.5,133,20,7.13,Verbal Conflict,0
GDELT-0000034,2020-08-01 09:35:00,2020-08-01,2020,8,UAE_CRYPTO_REGULATION,gulfnews.com,GLOBAL,Neutral,0.41,8.3,77,11,-1.29,Verbal Cooperation,0
GDELT-0000035,2021-08-05 10:18:00,2021-08-05,2021,8,DUBAI_LUXURY_REAL_ESTATE,thenationalnews.com,GLOBAL,Negative,-4.04,-6.5,119,26,-4.28,Verbal Conflict,1
GDELT-0000036,2020-05-28 04:46:00,2020-05-28,2020,5,OFFPLAN_SALES_UAE,arabianbusiness.com,AE,Positive,4.0,-7.3,45,11,6.4,Material Cooperation,0
GDELT-0000037,2021-03-05 15:00:00,2021-03-05,2021,3,UAE_FINTECH,thenationalnews.com,GLOBAL,Positive,6.7,8.7,64,3,3.04,Verbal Cooperation,0
GDELT-0000038,2023-11-23 00:12:00,2023-11-23,2023,11,ARAMCO_UAE_OIL,propertymonitor.ae,AE,Positive,0.84,-5.6,25,10,4.21,Verbal Cooperation,0
GDELT-0000039,2023-12-21 21:42:00,2023-12-21,2023,12,SUSTAINABLE_BUILDINGS_UAE,propertymonitor.ae,AE,Negative,-4.23,-6.7,95,20,-0.8,Verbal Conflict,0
GDELT-0000040,2022-11-20 00:37:00,2022-11-20,2022,11,UAE_PROPERTY_INVESTMENT,aljazeera.com,GLOBAL,Neutral,-0.18,-2.0,115,12,0.76,Verbal Cooperation,1
GDELT-0000041,2021-12-04 23:41:00,2021-12-04,2021,12,EXPO2020_DUBAI,reuters.com,GLOBAL,Positive,4.16,-2.3,104,18,3.88,Verbal Cooperation,0
GDELT-0000042,2024-09-26 13:33:00,2024-09-26,2024,9,GOLDEN_VISA_UAE,aljazeera.com,GLOBAL,Neutral,-1.89,-6.6,79,4,-2.94,Verbal Cooperation,0
GDELT-0000043,2022-11-21 23:14:00,2022-11-21,2022,11,DLD_TRANSACTIONS,bloomberg.com,GLOBAL,Neutral,0.72,9.5,29,10,-2.17,Material Conflict,1
GDELT-0000044,2022-10-17 15:48:00,2022-10-17,2022,10,DUBAI_RENTAL_MARKET,bloomberg.com,GLOBAL,Positive,4.31,9.6,66,21,4.72,Material Cooperation,1
GDELT-0000045,2022-08-12 06:55:00,2022-08-12,2022,8,ARAMCO_UAE_OIL,propertyfinder.ae,AE,Positive,4.06,8.3,59,18,2.08,Verbal Cooperation,0
GDELT-0000046,2020-06-29 08:34:00,2020-06-29,2020,6,REITS_UAE,cbre.ae,AE,Positive,-0.18,5.5,8,19,4.56,Verbal Conflict,0
GDELT-0000047,2023-12-20 17:04:00,2023-12-20,2023,12,DUBAI_RENTAL_MARKET,cnbc.com,GLOBAL,Positive,4.5,-4.6,48,6,5.66,Verbal Conflict,1
GDELT-0000048,2020-11-30 21:58:00,2020-11-30,2020,11,UAE_FINTECH,dxbinteract.com,GLOBAL,Neutral,-0.24,3.2,33,8,2.63,Verbal Cooperation,0
GDELT-0000049,2024-04-20 11:59:00,2024-04-20,2024,4,UAE_REAL_ESTATE_MARKET,propertyfinder.ae,AE,Negative,-3.3,6.4,27,16,-4.16,Verbal Cooperation,1
GDELT-0000050,2022-08-28 20:02:00,2022-08-28,2022,8,UAE_MORTGAGE_MARKET,zawya.com,AE,Positive,4.82,-4.6,37,28,3.05,Verbal Cooperation,0
GDELT-0000051,2020-04-17 03:43:00,2020-04-17,2020,4,AFFORDABLE_HOUSING_UAE,ft.com,GLOBAL,Positive,1.05,0.6,29,13,4.06,Verbal Cooperation,0
GDELT-0000052,2024-09-22 22:19:00,2024-09-22,2024,9,UAE_MORTGAGE_MARKET,gulfnews.com,GLOBAL,Neutral,0.64,0.3,136,27,-0.02,Material Cooperation,0
GDELT-0000053,2021-11-30 12:14:00,2021-11-30,2021,11,UAE_MORTGAGE_MARKET,aljazeera.com,GLOBAL,Neutral,-1.51,1.2,130,4,-1.41,Verbal Cooperation,0
GDELT-0000054,2020-03-06 21:17:00,2020-03-06,2020,3,REITS_UAE,propertyfinder.ae,AE,Positive,5.03,-8.8,115,16,2.83,Verbal Cooperation,0
GDELT-0000055,2023-03-09 15:57:00,2023-03-09,2023,3,ARAMCO_UAE_OIL,propertyfinder.ae,AE,Neutral,0.0,-2.7,61,17,-1.75,Verbal Cooperation,0
GDELT-0000056,2024-03-09 23:11:00,2024-03-09,2024,3,UAE_ECONOMY_GROWTH,dxbinteract.com,GLOBAL,Positive,2.82,9.2,41,16,4.06,Verbal Conflict,0
GDELT-0000057,2021-05-01 21:23:00,2021-05-01,2021,5,DUBAI_LUXURY_REAL_ESTATE,bloomberg.com,GLOBAL,Neutral,-0.3,-8.3,6,10,0.16,Material Conflict,1
GDELT-0000058,2022-03-24 12:48:00,2022-03-24,2022,3,DLD_TRANSACTIONS,cnbc.com,GLOBAL,Positive,5.38,-4.3,2,7,4.74,Verbal Cooperation,1
GDELT-0000059,2020-01-31 05:54:00,2020-01-31,2020,1,DUBAI_PROPERTY_PRICES,ft.com,GLOBAL,Positive,1.91,-4.4,15,23,1.65,Material Cooperation,1
GDELT-0000060,2024-11-21 02:59:00,2024-11-21,2024,11,DUBAI_RENTAL_MARKET,zawya.com,AE,Positive,3.62,-9.9,146,21,1.89,Verbal Cooperation,1
GDELT-0000061,2020-09-29 06:19:00,2020-09-29,2020,9,ARAMCO_UAE_OIL,cnbc.com,GLOBAL,Neutral,1.03,-7.8,29,22,0.96,Material Cooperation,0
GDELT-0000062,2021-09-21 17:11:00,2021-09-21,2021,9,SUSTAINABLE_BUILDINGS_UAE,gulfnews.com,GLOBAL,Positive,2.41,1.2,124,1,2.5,Material Cooperation,0
GDELT-0000063,2023-01-14 03:07:00,2023-01-14,2023,1,UAE_FINTECH,cbre.ae,AE,Positive,3.54,-4.8,109,15,4.98,Material Conflict,0
GDELT-0000064,2021-06-17 19:06:00,2021-06-17,2021,6,DLD_TRANSACTIONS,gulfnews.com,GLOBAL,Positive,2.51,-3.6,74,2,5.84,Material Conflict,1
GDELT-0000065,2020-09-29 12:09:00,2020-09-29,2020,9,DLD_TRANSACTIONS,bayut.com,GLOBAL,Neutral,-0.74,-7.1,85,18,1.19,Verbal Cooperation,1
GDELT-0000066,2022-06-22 04:49:00,2022-06-22,2022,6,AFFORDABLE_HOUSING_UAE,arabianbusiness.com,AE,Positive,2.47,-4.6,53,27,2.37,Verbal Cooperation,0
GDELT-0000067,2020-06-13 02:08:00,2020-06-13,2020,6,UAE_MORTGAGE_MARKET,bayut.com,GLOBAL,Negative,-2.6,-3.7,102,19,-5.2,Material Cooperation,0
GDELT-0000068,2024-03-06 21:25:00,2024-03-06,2024,3,DUBAI_LUXURY_REAL_ESTATE,propertymonitor.ae,AE,Neutral,2.71,1.9,3,1,3.09,Verbal Conflict,1
GDELT-0000069,2020-10-05 14:13:00,2020-10-05,2020,10,DUBAI_PROPERTY_PRICES,khaleejtimes.com,GLOBAL,Positive,4.66,-6.0,92,2,4.1,Verbal Cooperation,1
GDELT-0000070,2021-01-07 11:39:00,2021-01-07,2021,1,DUBAI_LUXURY_REAL_ESTATE,arabianbusiness.com,AE,Positive,3.34,1.3,29,16,2.9,Verbal Cooperation,1
GDELT-0000071,2024-02-18 15:44:00,2024-02-18,2024,2,EXPO2020_DUBAI,cnbc.com,GLOBAL,Negative,-3.01,6.6,138,10,-3.05,Verbal Cooperation,0
GDELT-0000072,2020-06-13 09:30:00,2020-06-13,2020,6,DLD_TRANSACTIONS,zawya.com,AE,Positive,3.48,9.8,107,1,1.47,Material Cooperation,1
GDELT-0000073,2021-03-30 21:24:00,2021-03-30,2021,3,UAE_REAL_ESTATE_MARKET,arabianbusiness.com,AE,Positive,4.85,0.2,128,7,2.99,Material Cooperation,1
GDELT-0000074,2023-10-12 04:03:00,2023-10-12,2023,10,DUBAI_RENTAL_MARKET,bloomberg.com,GLOBAL,Positive,2.51,2.2,45,21,3.42,Material Cooperation,1
GDELT-0000075,2024-08-09 10:08:00,2024-08-09,2024,8,DLD_TRANSACTIONS,propertyfinder.ae,AE,Positive,3.27,-8.7,75,11,1.89,Verbal Conflict,1
GDELT-0000076,2024-03-10 16:01:00,2024-03-10,2024,3,DUBAI_TOURISM,gulfnews.com,GLOBAL,Positive,5.04,3.7,101,21,4.04,Material Conflict,0
GDELT-0000077,2021-02-25 21:28:00,2021-02-25,2021,2,UAE_MORTGAGE_MARKET,bayut.com,GLOBAL,Positive,2.07,8.6,114,26,4.01,Material Cooperation,0
GDELT-0000078,2023-01-07 03:04:00,2023-01-07,2023,1,UAE_PROPERTY_INVESTMENT,propertymonitor.ae,AE,Negative,-5.54,-4.3,60,29,-1.39,Verbal Conflict,1
GDELT-0000079,2021-08-22 12:35:00,2021-08-22,2021,8,DUBAI_TOURISM,reuters.com,GLOBAL,Positive,1.3,8.8,76,13,5.97,Verbal Cooperation,0
GDELT-0000080,2023-08-23 13:33:00,2023-08-23,2023,8,DUBAI_RENTAL_MARKET,propertyfinder.ae,AE,Positive,3.37,-0.4,20,27,1.85,Verbal Conflict,1
GDELT-0000081,2024-06-27 02:57:00,2024-06-27,2024,6,UAE_REAL_ESTATE_MARKET,thenationalnews.com,GLOBAL,Positive,4.35,-9.1,38,30,1.76,Verbal Cooperation,1
GDELT-0000082,2021-10-29 22:25:00,2021-10-29,2021,10,PROPTECH_UAE,bloomberg.com,GLOBAL,Positive,5.95,5.9,6,18,3.77,Material Cooperation,0
GDELT-0000083,2020-08-13 14:01:00,2020-08-13,2020,8,ARAMCO_UAE_OIL,thenationalnews.com,GLOBAL,Neutral,2.92,-2.7,115,20,-1.42,Verbal Cooperation,0
GDELT-0000084,2024-04-18 05:57:00,2024-04-18,2024,4,AFFORDABLE_HOUSING_UAE,ft.com,GLOBAL,Negative,-6.55,-7.6,30,17,-5.66,Material Cooperation,0
GDELT-0000085,2024-01-21 20:21:00,2024-01-21,2024,1,UAE_MORTGAGE_MARKET,reuters.com,GLOBAL,Positive,2.54,-2.9,14,1,3.44,Verbal Cooperation,0
GDELT-0000086,2021-09-01 23:53:00,2021-09-01,2021,9,UAE_PROPERTY_INVESTMENT,ft.com,GLOBAL,Negative,-3.12,7.9,77,4,-4.86,Verbal Cooperation,1
GDELT-0000087,2023-09-11 04:03:00,2023-09-11,2023,9,PROPTECH_UAE,gulfnews.com,GLOBAL,Positive,1.71,-3.8,25,28,1.41,Material Cooperation,0
GDELT-0000088,2021-11-24 17:03:00,2021-11-24,2021,11,UAE_FINTECH,reuters.com,GLOBAL,Neutral,-0.02,5.1,112,24,-4.55,Material Cooperation,0
GDELT-0000089,2020-12-01 22:31:00,2020-12-01,2020,12,DUBAI_INFRASTRUCTURE,zawya.com,AE,Positive,2.71,1.6,6,11,3.97,Material Conflict,0
GDELT-0000090,2022-08-15 03:28:00,2022-08-15,2022,8,DLD_TRANSACTIONS,khaleejtimes.com,GLOBAL,Positive,4.99,6.0,73,10,7.59,Material Cooperation,1
GDELT-0000091,2023-01-04 09:01:00,2023-01-04,2023,1,DUBAI_RENTAL_MARKET,propertymonitor.ae,AE,Negative,-4.71,4.3,60,29,-4.5,Verbal Cooperation,1
GDELT-0000092,2020-03-03 22:56:00,2020-03-03,2020,3,OFFPLAN_SALES_UAE,arabianbusiness.com,AE,Negative,-4.6,-7.0,43,3,-3.03,Verbal Cooperation,0
GDELT-0000093,2022-03-31 08:29:00,2022-03-31,2022,3,DUBAI_PROPERTY_PRICES,bloomberg.com,GLOBAL,Positive,2.03,-3.4,118,10,3.5,Verbal Cooperation,1
GDELT-0000094,2024-04-18 04:04:00,2024-04-18,2024,4,UAE_CRYPTO_REGULATION,khaleejtimes.com,GLOBAL,Positive,2.37,0.5,129,13,6.48,Verbal Conflict,0
GDELT-0000095,2020-09-20 22:49:00,2020-09-20,2020,9,DUBAI_PROPERTY_PRICES,aljazeera.com,GLOBAL,Positive,2.52,6.5,112,22,4.01,Material Cooperation,1
GDELT-0000096,2023-08-22 12:27:00,2023-08-22,2023,8,GOLDEN_VISA_UAE,reuters.com,GLOBAL,Neutral,-1.15,-8.1,39,5,-3.32,Material Cooperation,0
GDELT-0000097,2023-02-09 16:36:00,2023-02-09,2023,2,SUSTAINABLE_BUILDINGS_UAE,khaleejtimes.com,GLOBAL,Negative,-2.15,-5.1,100,8,-5.56,Verbal Cooperation,0
GDELT-0000098,2023-07-15 22:08:00,2023-07-15,2023,7,REITS_UAE,propertymonitor.ae,AE,Negative,-4.41,9.5,80,26,-2.61,Material Cooperation,0
GDELT-0000099,2021-12-20 17:26:00,2021-12-20,2021,12,AFFORDABLE_HOUSING_UAE,cbre.ae,AE,Neutral,1.04,5.0,25,15,0.34,Material Cooperation,0
GDELT-0000100,2023-06-14 18:57:00,2023-06-14,2023,6,UAE_PROPERTY_INVESTMENT,zawya.com,AE,Positive,3.35,-9.8,89,1,3.22,Material Cooperation,1
GDELT-0000101,2021-03-08 03:40:00,2021-03-08,2021,3,UAE_FINTECH,bayut.com,GLOBAL,Positive,3.81,-8.5,27,10,1.91,Verbal Conflict,0
GDELT-0000102,2024-10-04 09:38:00,2024-10-04,2024,10,UAE_CRYPTO_REGULATION,khaleejtimes.com,GLOBAL,Positive,-1.21,-9.0,40,1,0.4,Material Conflict,0
GDELT-0000103,2020-06-14 12:50:00,2020-06-14,2020,6,UAE_MORTGAGE_MARKET,arabianbusiness.com,AE,Positive,2.6,10.0,118,3,5.91,Material Conflict,0
GDELT-0000104,2020-06-14 10:28:00,2020-06-14,2020,6,UAE_ECONOMY_GROWTH,propertymonitor.ae,AE,Positive,5.32,-4.7,97,5,6.14,Verbal Conflict,0
GDELT-0000105,2023-07-10 16:32:00,2023-07-10,2023,7,UAE_MORTGAGE_MARKET,thenationalnews.com,GLOBAL,Neutral,1.88,5.6,118,10,-0.44,Verbal Cooperation,0
GDELT-0000106,2023-01-11 13:26:00,2023-01-11,2023,1,GOLDEN_VISA_UAE,zawya.com,AE,Positive,2.02,-6.4,104,24,2.58,Verbal Cooperation,0
GDELT-0000107,2020-01-27 06:05:00,2020-01-27,2020,1,PROPTECH_UAE,cbre.ae,AE,Neutral,0.82,-0.3,97,27,-0.93,Verbal Cooperation,0
GDELT-0000108,2024-10-06 22:16:00,2024-10-06,2024,10,UAE_CRYPTO_REGULATION,bayut.com,GLOBAL,Positive,3.58,-2.5,51,24,-1.16,Verbal Cooperation,0
GDELT-0000109,2024-12-02 16:54:00,2024-12-02,2024,12,OFFPLAN_SALES_UAE,propertyfinder.ae,AE,Positive,1.52,5.9,49,29,5.49,Material Conflict,0
GDELT-0000110,2020-09-12 03:18:00,2020-09-12,2020,9,DUBAI_TOURISM,propertyfinder.ae,AE,Neutral,-1.08,-5.9,26,4,-2.48,Verbal Cooperation,0
GDELT-0000111,2023-02-27 12:57:00,2023-02-27,2023,2,OFFPLAN_SALES_UAE,gulfnews.com,GLOBAL,Neutral,1.14,-6.2,131,22,1.83,Material Conflict,0
GDELT-0000112,2021-12-10 02:42:00,2021-12-10,2021,12,SUSTAINABLE_BUILDINGS_UAE,bloomberg.com,GLOBAL,Neutral,-3.16,5.4,35,2,-0.21,Verbal Cooperation,0
GDELT-0000113,2024-05-26 12:10:00,2024-05-26,2024,5,ARAMCO_UAE_OIL,cnbc.com,GLOBAL,Neutral,3.92,0.9,25,10,-2.37,Material Cooperation,0
GDELT-0000114,2022-07-09 06:44:00,2022-07-09,2022,7,UAE_ECONOMY_GROWTH,khaleejtimes.com,GLOBAL,Positive,2.39,-9.9,22,28,-0.01,Material Conflict,0
GDELT-0000115,2022-11-23 05:12:00,2022-11-23,2022,11,UAE_MORTGAGE_MARKET,thenationalnews.com,GLOBAL,Negative,-4.09,-3.7,104,28,-3.41,Material Cooperation,0
GDELT-0000116,2022-10-25 06:55:00,2022-10-25,2022,10,UAE_REAL_ESTATE_MARKET,ft.com,GLOBAL,Positive,1.76,2.5,47,12,4.21,Verbal Conflict,1
GDELT-0000117,2022-06-15 04:16:00,2022-06-15,2022,6,UAE_CRYPTO_REGULATION,reuters.com,GLOBAL,Positive,2.93,-1.3,17,21,3.76,Material Cooperation,0
GDELT-0000118,2024-06-26 21:51:00,2024-06-26,2024,6,UAE_ECONOMY_GROWTH,gulfnews.com,GLOBAL,Positive,3.97,6.5,46,26,2.62,Verbal Conflict,0
GDELT-0000119,2020-12-22 14:58:00,2020-12-22,2020,12,UAE_PROPERTY_INVESTMENT,aljazeera.com,GLOBAL,Positive,3.5,-0.4,105,24,9.73,Verbal Cooperation,1
GDELT-0000120,2020-02-21 23:44:00,2020-02-21,2020,2,UAE_MORTGAGE_MARKET,cbre.ae,AE,Positive,5.83,0.2,55,30,3.54,Verbal Cooperation,0
GDELT-0000121,2020-11-24 15:52:00,2020-11-24,2020,11,UAE_CRYPTO_REGULATION,gulfnews.com,GLOBAL,Positive,5.43,4.8,122,5,0.81,Verbal Cooperation,0
GDELT-0000122,2022-11-17 10:29:00,2022-11-17,2022,11,DLD_TRANSACTIONS,bloomberg.com,GLOBAL,Positive,2.25,1.0,101,5,6.13,Verbal Conflict,1
GDELT-0000123,2020-04-27 14:33:00,2020-04-27,2020,4,AFFORDABLE_HOUSING_UAE,propertymonitor.ae,AE,Neutral,0.78,4.0,102,30,-0.63,Verbal Cooperation,0
GDELT-0000124,2022-02-27 12:26:00,2022-02-27,2022,2,UAE_MORTGAGE_MARKET,thenationalnews.com,GLOBAL,Neutral,0.46,1.3,29,19,-3.2,Material Conflict,0
GDELT-0000125,2022-12-17 10:35:00,2022-12-17,2022,12,SUSTAINABLE_BUILDINGS_UAE,bloomberg.com,GLOBAL,Positive,2.81,-4.3,62,5,4.18,Verbal Cooperation,0
GDELT-0000126,2022-09-23 11:01:00,2022-09-23,2022,9,UAE_REAL_ESTATE_MARKET,khaleejtimes.com,GLOBAL,Positive,1.72,6.7,92,14,2.3,Verbal Cooperation,1
GDELT-0000127,2024-02-20 05:34:00,2024-02-20,2024,2,REITS_UAE,thenationalnews.com,GLOBAL,Positive,3.98,-6.9,21,19,2.55,Verbal Cooperation,0
GDELT-0000128,2022-07-10 16:48:00,2022-07-10,2022,7,OFFPLAN_SALES_UAE,gulfnews.com,GLOBAL,Positive,0.73,-4.7,105,22,-0.03,Material Cooperation,0
GDELT-0000129,2020-12-28 08:38:00,2020-12-28,2020,12,DUBAI_INFRASTRUCTURE,cnbc.com,GLOBAL,Positive,-0.31,-8.6,126,4,4.63,Verbal Cooperation,0
GDELT-0000130,2024-05-01 11:53:00,2024-05-01,2024,5,OFFPLAN_SALES_UAE,zawya.com,AE,Positive,3.43,-0.2,105,3,5.83,Verbal Conflict,0
GDELT-0000131,2024-01-28 10:25:00,2024-01-28,2024,1,OFFPLAN_SALES_UAE,cnbc.com,GLOBAL,Positive,2.62,1.3,76,12,1.39,Verbal Conflict,0
GDELT-0000132,2022-03-02 08:03:00,2022-03-02,2022,3,UAE_REAL_ESTATE_MARKET,ft.com,GLOBAL,Negative,-2.59,9.9,31,21,-5.37,Verbal Cooperation,1
GDELT-0000133,2022-09-01 06:58:00,2022-09-01,2022,9,DUBAI_PROPERTY_PRICES,thenationalnews.com,GLOBAL,Positive,4.19,3.5,134,21,1.28,Material Cooperation,1
GDELT-0000134,2023-03-08 04:43:00,2023-03-08,2023,3,UAE_PROPERTY_INVESTMENT,cbre.ae,AE,Neutral,-1.05,8.5,125,22,-2.18,Verbal Cooperation,1
GDELT-0000135,2020-11-29 11:30:00,2020-11-29,2020,11,ARAMCO_UAE_OIL,propertyfinder.ae,AE,Negative,-5.79,9.3,81,22,-7.48,Material Cooperation,0
GDELT-0000136,2022-01-27 19:00:00,2022-01-27,2022,1,UAE_ECONOMY_GROWTH,aljazeera.com,GLOBAL,Neutral,-1.68,-1.4,58,28,1.72,Verbal Conflict,0
GDELT-0000137,2022-10-29 05:36:00,2022-10-29,2022,10,DUBAI_TOURISM,bloomberg.com,GLOBAL,Neutral,2.66,2.2,148,16,1.46,Material Cooperation,0
GDELT-0000138,2020-03-17 16:42:00,2020-03-17,2020,3,DUBAI_TOURISM,propertymonitor.ae,AE,Neutral,0.9,-4.3,111,12,-1.73,Material Cooperation,0
GDELT-0000139,2020-04-17 21:45:00,2020-04-17,2020,4,UAE_ECONOMY_GROWTH,thenationalnews.com,GLOBAL,Positive,3.87,-2.6,93,4,3.56,Material Cooperation,0
GDELT-0000140,2023-08-29 15:04:00,2023-08-29,2023,8,SUSTAINABLE_BUILDINGS_UAE,thenationalnews.com,GLOBAL,Neutral,2.46,-3.5,71,17,2.35,Verbal Conflict,0
GDELT-0000141,2021-08-16 15:06:00,2021-08-16,2021,8,AFFORDABLE_HOUSING_UAE,dxbinteract.com,GLOBAL,Positive,6.67,3.1,22,29,3.5,Verbal Conflict,0
GDELT-0000142,2022-03-04 15:55:00,2022-03-04,2022,3,SUSTAINABLE_BUILDINGS_UAE,dxbinteract.com,GLOBAL,Positive,3.77,-5.5,85,19,5.35,Verbal Conflict,0
GDELT-0000143,2023-01-06 07:49:00,2023-01-06,2023,1,REITS_UAE,propertyfinder.ae,AE,Neutral,-1.05,-9.1,43,26,-0.45,Material Cooperation,0
