dealer_id,dealer_name,brand,emirate,area,address,po_box,tier,established_year,monthly_capacity,showroom_area_sqft,service_center,ev_charging_station,num_salespeople,annual_target_units,performance_score,google_rating,latitude,longitude
DLR0021,Premier Hyundai Khalifa City,Hyundai,Abu Dhabi,Khalifa City,"Showroom, Emirates Road",P.O. Box 17984,Silver,2003,293,22506,True,False,46,2848,69.9,3.5,24.44074,54.62725
DLR0022,Toyota Showroom Khalifa City,Toyota,Abu Dhabi,Khalifa City,"Trade Centre, Maliya Street",P.O. Box 46534,Gold,2001,351,30682,False,False,51,4129,85.7,4.1,24.41131,54.56657
DLR0023,Hyundai Centre Musaffah,Hyundai,Abu Dhabi,Musaffah,"Auto Mall, Al Wahda Street",P.O. Box 15698,Gold,2001,308,28870,True,False,26,1078,81.6,4.8,24.34192,54.50647
DLR0024,Mitsubishi Emirates Musaffah,Mitsubishi,Abu Dhabi,Musaffah,"Motor City, Emirates Road",P.O. Box 14723,Silver,1988,582,37855,True,False,54,2508,69.0,4.5,24.33241,54.50187
DLR0025,Premier MG Mussafah Auto Market,MG,Abu Dhabi,Mussafah Auto Market,"Showroom, Al Wahda Street",P.O. Box 79303,Platinum,1990,500,20300,True,True,54,3701,83.5,4.3,24.35972,54.4847
DLR0026,Gulf Toyota Abu Dhabi City,Toyota,Abu Dhabi,Abu Dhabi City,"Motor City, Sheikh Zayed Road",P.O. Box 74791,Gold,1999,269,17113,True,False,11,1665,93.2,3.5,24.48108,54.35344
DLR0027,MG Showroom Mussafah Auto Market,MG,Abu Dhabi,Mussafah Auto Market,"Auto Mall, Maliya Street",P.O. Box 49339,Gold,1997,355,31955,True,True,57,5781,84.1,3.9,24.35875,54.48595
DLR0028,Hyundai Emirates Musaffah,Hyundai,Abu Dhabi,Musaffah,"Showroom, Emirates Road",P.O. Box 22776,Gold,1991,280,17867,True,False,10,3952,59.5,4.3,24.3187,54.54016
DLR0029,Musaffah Toyota,Toyota,Abu Dhabi,Musaffah,"Auto Mall, Sheikh Zayed Road",P.O. Box 12669,Gold,1994,245,43752,True,False,25,3130,89.0,3.6,24.36399,54.49427
DLR0030,Nissan Showroom Musaffah,Nissan,Abu Dhabi,Musaffah,"Trade Centre, Al Wahda Street",P.O. Box 14265,Silver,2015,232,11585,False,False,66,1796,97.3,4.5,24.37047,54.47312
DLR0031,Gulf Nissan Al Rahmaniya,Nissan,Sharjah,Al Rahmaniya,"Motor City, Al Wahda Street",P.O. Box 30882,Silver,1996,285,38031,True,False,6,5649,65.0,4.4,25.30731,55.46643
DLR0032,Al Rahmaniya Toyota,Toyota,Sharjah,Al Rahmaniya,"Auto Mall, Emirates Road",P.O. Box 19729,Silver,2005,126,12899,True,False,39,3756,95.6,4.7,25.30474,55.43871
DLR0033,Gulf Lexus Al Rahmaniya,Lexus,Sharjah,Al Rahmaniya,"Motor City, Maliya Street",P.O. Box 70045,Silver,2005,511,27197,True,False,27,4125,69.1,3.6,25.28915,55.45687
DLR0034,Mitsubishi Showroom Industrial Area,Mitsubishi,Sharjah,Industrial Area,"Trade Centre, Al Ittihad Road",P.O. Box 68343,Silver,2005,591,22746,True,True,21,465,95.9,3.5,25.33777,55.46654
DLR0035,Hyundai Emirates Industrial Area,Hyundai,Sharjah,Industrial Area,"Trade Centre, Industrial Area",P.O. Box 35981,Gold,2000,342,35713,True,True,19,2089,69.4,3.7,25.35598,55.39386
DLR0036,Gulf Mazda Al Rahmaniya,Mazda,Sharjah,Al Rahmaniya,"Trade Centre, Emirates Road",P.O. Box 43352,Silver,2012,182,24464,True,True,12,5967,94.7,4.2,25.33906,55.49209
DLR0037,Toyota Centre Industrial Area,Toyota,Sharjah,Industrial Area,"Motor City, Corniche Road",P.O. Box 4881,Gold,2017,570,40707,True,True,30,4515,74.8,3.4,25.33352,55.40567
DLR0038,Chevrolet Emirates Al Nahda,Chevrolet,Sharjah,Al Nahda,"Auto Mall, Sheikh Zayed Road",P.O. Box 46262,Gold,1995,431,11883,True,True,79,2841,65.1,3.6,25.27452,55.34681
DLR0039,Premier Mazda Industrial Area,Mazda,Sharjah,Industrial Area,"Motor City, Sheikh Zayed Road",P.O. Box 70182,Silver,1995,244,41511,True,True,34,1245,88.2,3.5,25.28966,55.4279
DLR0040,Premier Honda Industrial Area,Honda,Sharjah,Industrial Area,"Motor City, Emirates Road",P.O. Box 11420,Silver,1991,173,20264,True,False,28,5663,84.4,3.4,25.29176,55.4603
DLR0041,Al Futtaim BMW Al Rahmaniya,BMW,Sharjah,Al Rahmaniya,"Motor City, Emirates Road",P.O. Box 36156,Gold,2017,409,21304,True,True,69,5347,60.9,4.7,25.30246,55.51906
DLR0042,Premier Toyota Sharjah City,Toyota,Sharjah,Sharjah City,"Auto Mall, Industrial Area",P.O. Box 66458,Silver,2003,114,40066,True,False,35,3260,63.1,4.8,25.34295,55.44263
DLR0043,Al Futtaim Hyundai Industrial Area,Hyundai,Sharjah,Industrial Area,"Showroom, Corniche Road",P.O. Box 7239,Gold,2008,179,33873,True,True,20,2292,90.1,3.4,25.27234,55.46078
DLR0044,Hyundai Showroom Industrial Area,Hyundai,Sharjah,Industrial Area,"Auto Mall, Industrial Area",P.O. Box 54689,Gold,2014,195,42544,True,True,69,5178,93.2,3.8,25.32769,55.46582
DLR0045,Premier Lexus Sharjah City,Lexus,Sharjah,Sharjah City,"Trade Centre, Emirates Road",P.O. Box 84386,Gold,1988,319,42632,True,True,24,3968,90.8,3.6,25.31274,55.40927
DLR0046,Premier Mitsubishi Al Jurf,Mitsubishi,Ajman,Al Jurf,"Trade Centre, Airport Road",P.O. Box 96736,Silver,1994,459,9702,True,False,55,773,90.8,3.8,25.37093,55.46356
DLR0047,Premier Nissan Ajman City,Nissan,Ajman,Ajman City,"Motor City, Al Ittihad Road",P.O. Box 23771,Platinum,1990,546,11264,True,False,69,3322,92.6,4.5,25.40649,55.4797
DLR0048,Toyota Emirates Ajman City,Toyota,Ajman,Ajman City,"Auto Mall, Industrial Area",P.O. Box 7044,Gold,2011,291,44289,True,False,38,1882,71.2,4.3,25.40493,55.48336
DLR0049,Gulf Lexus Ajman City,Lexus,Ajman,Ajman City,"Motor City, Airport Road",P.O. Box 71620,Gold,1999,471,24351,True,False,68,4619,61.8,4.4,25.38065,55.48938
DLR0050,Toyota Showroom Al Jurf,Toyota,Ajman,Al Jurf,"Auto Mall, Al Ittihad Road",P.O. Box 66040,Platinum,2002,469,40156,True,False,63,1105,56.5,3.7,25.38978,55.4782
DLR0051,Toyota Al Jurf,Toyota,Ajman,Al Jurf,"Motor City, Al Ittihad Road",P.O. Box 65855,Gold,2017,356,43832,True,False,56,2427,86.0,3.5,25.45762,55.48969
DLR0052,Al Futtaim Nissan Al Jurf,Nissan,Ajman,Al Jurf,"Auto Mall, Al Ittihad Road",P.O. Box 52258,Gold,1999,208,15097,True,False,24,4290,56.7,4.1,25.38314,55.43324
DLR0053,Mazda Emirates Ajman City,Mazda,Ajman,Ajman City,"Auto Mall, Corniche Road",P.O. Box 36461,Gold,2001,107,40777,False,True,72,1256,71.1,3.7,25.42137,55.5418
DLR0054,Chevrolet Emirates Ajman City,Chevrolet,Ajman,Ajman City,"Motor City, Corniche Road",P.O. Box 23729,Platinum,1990,347,42571,True,False,57,3528,56.0,3.8,25.38419,55.56288
DLR0055,Premier Toyota Al Jurf,Toyota,Ajman,Al Jurf,"Showroom, Sheikh Zayed Road",P.O. Box 65302,Gold,1993,159,32087,True,False,67,4954,92.9,3.7,25.43614,55.51587
DLR0056,Ajman City Toyota,Toyota,Ajman,Ajman City,"Showroom, Al Ittihad Road",P.O. Box 50402,Gold,2006,329,17241,True,False,63,2418,74.5,4.0,25.37129,55.49313
DLR0057,Toyota Centre Ajman City,Toyota,Ajman,Ajman City,"Showroom, Sheikh Zayed Road",P.O. Box 12289,Silver,2004,186,30362,True,True,44,4594,76.6,4.4,25.45242,55.54886
DLR0058,Mitsubishi Emirates Ajman City,Mitsubishi,Ajman,Ajman City,"Auto Mall, Maliya Street",P.O. Box 24654,Gold,2007,574,21099,True,False,10,5713,67.0,4.8,25.39615,55.52323
DLR0059,Toyota Centre Al Jurf,Toyota,Ajman,Al Jurf,"Trade Centre, Industrial Area",P.O. Box 40010,Platinum,2008,540,27812,False,False,75,5731,56.4,4.1,25.36932,55.52805
DLR0060,Al Futtaim Toyota Ajman City,Toyota,Ajman,Ajman City,"Auto Mall, Industrial Area",P.O. Box 2355,Gold,2017,339,21588,False,False,10,1316,91.2,4.6,25.38784,55.54832
DLR0061,RAK City BMW,BMW,Ras Al Khaimah,RAK City,"Motor City, Maliya Street",P.O. Box 90157,Gold,2009,570,38891,True,False,31,707,65.0,4.3,25.77032,55.98512
DLR0062,Nissan Al Nakheel,Nissan,Ras Al Khaimah,Al Nakheel,"Showroom, Airport Road",P.O. Box 34908,Platinum,1997,594,14899,True,False,21,1551,67.7,4.6,25.71957,55.98983
DLR0063,RAK City Ford,Ford,Ras Al Khaimah,RAK City,"Showroom, Maliya Street",P.O. Box 55993,Gold,1994,440,21171,True,True,28,5884,62.6,4.8,25.82824,55.9292
DLR0064,Gulf MG RAK City,MG,Ras Al Khaimah,RAK City,"Auto Mall, Al Ittihad Road",P.O. Box 35610,Gold,2005,581,13463,True,False,30,3241,89.8,3.6,25.81283,55.97387
DLR0065,Ford RAK City,Ford,Ras Al Khaimah,RAK City,"Trade Centre, Sheikh Zayed Road",P.O. Box 97742,Silver,1999,224,39469,True,True,44,3237,85.9,4.6,25.7412,55.98742
DLR0066,Premier Toyota RAK City,Toyota,Ras Al Khaimah,RAK City,"Auto Mall, Industrial Area",P.O. Box 89526,Silver,2009,462,37092,True,False,29,4449,89.6,4.6,25.78637,55.98286
DLR0067,Al Futtaim Nissan RAK City,Nissan,Ras Al Khaimah,RAK City,"Motor City, Corniche Road",P.O. Box 33793,Silver,1989,356,8801,True,True,50,2674,96.6,3.5,25.83393,55.94635
DLR0068,Gulf Toyota Al Nakheel,Toyota,Ras Al Khaimah,Al Nakheel,"Trade Centre, Industrial Area",P.O. Box 71605,Gold,1988,510,27453,True,False,45,5040,94.1,3.8,25.78852,55.98431
DLR0069,Al Futtaim Nissan Al Nakheel,Nissan,Ras Al Khaimah,Al Nakheel,"Auto Mall, Maliya Street",P.O. Box 1567,Gold,2004,200,26197,True,False,29,3813,79.4,3.8,25.74603,55.97234
DLR0070,Mitsubishi Emirates RAK City,Mitsubishi,Ras Al Khaimah,RAK City,"Motor City, Al Wahda Street",P.O. Box 56145,Gold,2002,546,44964,True,False,25,4197,96.4,4.1,25.76403,55.96924
DLR0071,Lexus RAK City,Lexus,Ras Al Khaimah,RAK City,"Motor City, Maliya Street",P.O. Box 9802,Silver,2013,354,10218,False,False,60,1640,71.7,4.3,25.79498,55.9837
DLR0072,Al Nakheel Ford,Ford,Ras Al Khaimah,Al Nakheel,"Motor City, Emirates Road",P.O. Box 7550,Silver,1992,480,19348,True,True,39,4830,90.5,3.5,25.73911,55.94585
DLR0073,Ford Emirates RAK City,Ford,Ras Al Khaimah,RAK City,"Auto Mall, Sheikh Zayed Road",P.O. Box 25209,Silver,1991,237,33051,True,False,46,2142,65.8,4.5,25.803,55.93181
DLR0074,Al Futtaim Chevrolet Al Nakheel,Chevrolet,Ras Al Khaimah,Al Nakheel,"Trade Centre, Al Ittihad Road",P.O. Box 91693,Gold,1993,146,33291,True,True,17,4580,76.4,3.6,25.78542,55.97114
DLR0075,Al Futtaim Toyota Al Nakheel,Toyota,Ras Al Khaimah,Al Nakheel,"Auto Mall, Al Ittihad Road",P.O. Box 91309,Silver,2013,532,35384,True,False,42,5207,76.3,3.7,25.72619,55.93506
DLR0076,Gulf Toyota Fujairah City,Toyota,Fujairah,Fujairah City,"Auto Mall, Emirates Road",P.O. Box 65488,Silver,1991,587,22508,True,False,71,4830,89.4,3.8,25.13147,56.37449
DLR0077,Gulf Kia Fujairah City,Kia,Fujairah,Fujairah City,"Motor City, Al Ittihad Road",P.O. Box 31923,Silver,1992,512,37324,True,True,6,1288,95.7,3.4,25.10867,56.33394
DLR0078,Al Futtaim MG Fujairah City,MG,Fujairah,Fujairah City,"Trade Centre, Airport Road",P.O. Box 22796,Gold,2000,523,24460,True,True,14,5464,95.5,4.5,25.1352,56.32862
DLR0079,MG Showroom Fujairah City,MG,Fujairah,Fujairah City,"Motor City, Airport Road",P.O. Box 10180,Gold,2005,184,21247,True,False,63,3727,93.7,4.0,25.17142,56.33595
DLR0080,Hyundai Fujairah City,Hyundai,Fujairah,Fujairah City,"Trade Centre, Al Ittihad Road",P.O. Box 67781,Silver,1990,161,41395,True,True,50,4415,75.6,3.8,25.15533,56.28874
DLR0081,Toyota Centre Fujairah City,Toyota,Fujairah,Fujairah City,"Trade Centre, Corniche Road",P.O. Box 51468,Gold,2010,189,22047,True,False,20,3864,91.0,4.9,25.13472,56.3125
DLR0082,Toyota Fujairah City,Toyota,Fujairah,Fujairah City,"Showroom, Airport Road",P.O. Box 85313,Gold,2005,81,17312,True,True,63,1114,86.6,4.4,25.11015,56.36263
DLR0083,Toyota Fujairah City,Toyota,Fujairah,Fujairah City,"Auto Mall, Corniche Road",P.O. Box 64923,Platinum,1992,125,15271,True,False,18,4737,86.6,4.3,25.09858,56.34635
DLR0084,Al Futtaim Toyota Dibba,Toyota,Fujairah,Dibba,"Auto Mall, Corniche Road",P.O. Box 12329,Gold,2003,135,37705,True,False,53,5126,63.9,4.2,25.60004,56.30536
DLR0085,Al Futtaim Toyota Fujairah City,Toyota,Fujairah,Fujairah City,"Trade Centre, Al Ittihad Road",P.O. Box 35281,Silver,1991,457,40085,True,True,66,4684,92.7,3.6,25.1268,56.27876
DLR0086,Ford Emirates Dibba,Ford,Fujairah,Dibba,"Trade Centre, Maliya Street",P.O. Box 74834,Platinum,2010,439,13172,True,False,14,1644,76.7,4.9,25.60557,56.2622
DLR0087,Toyota Showroom Fujairah City,Toyota,Fujairah,Fujairah City,"Showroom, Maliya Street",P.O. Box 74516,Silver,1997,514,16744,True,False,48,1910,69.2,4.1,25.12578,56.34266
DLR0088,Gulf Toyota Dibba,Toyota,Fujairah,Dibba,"Showroom, Al Ittihad Road",P.O. Box 18744,Platinum,1992,525,28077,True,False,58,5121,75.0,4.7,25.59292,56.27518
DLR0089,Fujairah City Nissan,Nissan,Fujairah,Fujairah City,"Showroom, Al Ittihad Road",P.O. Box 49012,Silver,1993,259,37835,True,True,24,2140,66.2,4.5,25.11629,56.32435
DLR0090,Al Futtaim BMW Dibba,BMW,Fujairah,Dibba,"Motor City, Al Ittihad Road",P.O. Box 34594,Silver,1988,516,27139,False,False,33,2501,90.8,4.2,25.61531,56.22448
DLR0091,Al Futtaim Suzuki Al Salamah,Suzuki,Umm Al Quwain,Al Salamah,"Trade Centre, Sheikh Zayed Road",P.O. Box 25018,Platinum,2017,378,8356,True,False,62,2248,97.8,4.5,25.52855,55.66627
DLR0092,UAQ City Toyota,Toyota,Umm Al Quwain,UAQ City,"Showroom, Al Ittihad Road",P.O. Box 77577,Silver,2005,551,19883,False,True,32,1705,94.5,3.6,25.60078,55.57547
DLR0093,MG Centre Al Salamah,MG,Umm Al Quwain,Al Salamah,"Trade Centre, Airport Road",P.O. Box 51169,Gold,2015,270,18326,False,True,69,4188,66.8,3.7,25.49972,55.68733
DLR0094,Nissan Emirates Al Salamah,Nissan,Umm Al Quwain,Al Salamah,"Showroom, Airport Road",P.O. Box 33146,Platinum,1991,482,20953,True,False,6,4853,67.6,4.8,25.57943,55.71503
DLR0095,UAQ City Toyota,Toyota,Umm Al Quwain,UAQ City,"Trade Centre, Al Ittihad Road",P.O. Box 17893,Gold,2013,330,8314,False,False,74,2611,93.7,4.9,25.56584,55.52763
DLR0096,Hyundai Showroom UAQ City,Hyundai,Umm Al Quwain,UAQ City,"Motor City, Al Wahda Street",P.O. Box 35901,Gold,2013,208,23146,True,True,27,5972,55.3,4.5,25.59359,55.54557
DLR0097,Kia Al Salamah,Kia,Umm Al Quwain,Al Salamah,"Showroom, Maliya Street",P.O. Box 71074,Silver,1991,461,29389,False,False,41,1814,84.3,3.8,25.57436,55.69451
DLR0098,Mercedes-Benz Showroom Al Salamah,Mercedes-Benz,Umm Al Quwain,Al Salamah,"Auto Mall, Maliya Street",P.O. Box 11438,Silver,1989,355,25293,True,False,13,2858,71.5,3.7,25.56503,55.63824
DLR0099,Premier Nissan UAQ City,Nissan,Umm Al Quwain,UAQ City,"Trade Centre, Al Wahda Street",P.O. Box 70628,Silver,2016,595,14783,True,False,6,5244,85.7,3.5,25.52309,55.58238
DLR0100,Kia Centre Al Salamah,Kia,Umm Al Quwain,Al Salamah,"Auto Mall, Airport Road",P.O. Box 53811,Platinum,2011,127,38812,True,False,61,4984,76.2,3.5,25.55804,55.686
DLR0101,Toyota Emirates UAQ City,Toyota,Umm Al Quwain,UAQ City,"Trade Centre, Maliya Street",P.O. Box 34297,Silver,1992,524,24194,False,True,33,2051,57.7,4.5,25.54384,55.54749
DLR0102,Al Futtaim Honda Al Salamah,Honda,Umm Al Quwain,Al Salamah,"Showroom, Al Wahda Street",P.O. Box 11297,Gold,2012,464,25405,True,True,21,4778,95.2,4.2,25.54505,55.70044
DLR0103,Lexus UAQ City,Lexus,Umm Al Quwain,UAQ City,"Auto Mall, Emirates Road",P.O. Box 47256,Platinum,2009,168,44731,False,False,6,5881,60.9,4.5,25.568,55.52253
DLR0104,Gulf Suzuki UAQ City,Suzuki,Umm Al Quwain,UAQ City,"Trade Centre, Al Wahda Street",P.O. Box 82837,Silver,2001,356,25118,True,True,27,3264,57.8,3.4,25.58625,55.53937
DLR0105,Al Salamah MG,MG,Umm Al Quwain,Al Salamah,"Trade Centre, Al Wahda Street",P.O. Box 61966,Silver,1988,520,35987,False,False,54,3306,66.5,4.0,25.50522,55.64769
