record_date,year,month,quarter,uae_central_bank_base_rate_pct,mortgage_rate_avg_pct,eibor_3m_pct,inflation_cpi,uae_gdp_growth_pct,oil_price_usd_bbl,uae_population_millions,population_growth_rate_pct,consumer_confidence_index,golden_visa_applications,new_project_launches,foreign_investment_inflow_bn_aed,tourism_arrivals_millions,off_plan_sales_share_pct,nri_investment_share_pct,google_trends_index,event_demand_multiplier,expo_effect,ramadan_month,is_covid_period,hormuz_crisis_effect,usd_aed_rate,dubai_property_price_index,abudhabi_property_price_index,uae_unemployment_rate_pct
2019-11-01,2019,11,Q4,4.25,6.43,3.98,99.36,3.22,60.13,9.8,2.26,115.1,0,46,3.58,1.58,0.387,0.207,63.2,1.126,False,False,False,False,3.6725,104.19,101.82,2.89
2019-12-01,2019,12,Q4,4.25,6.1,3.88,99.52,3.2,67.24,9.73,2.83,127.5,0,42,4.35,2.1,0.419,0.167,64.6,1.11,False,False,False,False,3.6725,99.32,99.03,3.13
2020-01-01,2020,1,Q1,4.25,6.59,4.03,103.19,-5.94,63.56,9.83,1.99,85.7,0,53,8.12,1.52,0.418,0.196,49.1,1.036,False,False,True,False,3.6725,105.26,103.89,4.27
2020-02-01,2020,2,Q1,4.25,6.42,3.89,102.07,-6.34,53.29,9.79,2.64,87.7,0,61,4.98,1.38,0.475,0.214,55.6,1.044,False,False,True,False,3.6725,105.34,105.0,4.76
2020-03-01,2020,3,Q1,3.75,5.53,3.38,102.75,-6.08,32.13,9.74,2.63,81.3,0,49,8.72,0.2,0.403,0.222,48.5,1.006,False,False,True,False,3.6725,107.25,104.63,4.03
2020-04-01,2020,4,Q2,1.5,3.41,1.22,102.55,-6.17,17.15,9.73,2.28,82.6,0,57,8.8,0.0,0.369,0.213,36.3,1.039,False,True,True,False,3.6725,105.81,104.29,4.68
2020-05-01,2020,5,Q2,1.5,3.33,1.21,101.24,-6.35,28.85,9.78,2.26,79.8,0,55,5.67,0.0,0.497,0.242,61.0,1.012,False,True,True,False,3.6725,107.8,105.98,4.44
2020-06-01,2020,6,Q2,1.5,3.86,1.12,102.27,-6.33,43.8,9.82,2.88,72.1,0,41,3.05,0.1,0.373,0.239,63.5,1.037,False,False,True,False,3.6725,108.23,104.8,4.71
2020-07-01,2020,7,Q3,1.5,3.71,1.27,102.65,-5.99,44.49,9.73,3.04,126.0,0,35,5.21,0.31,0.427,0.234,54.0,1.001,False,False,True,False,3.6725,103.97,106.48,4.62
2020-08-01,2020,8,Q3,1.5,3.14,1.24,101.75,-5.94,43.99,9.77,2.81,121.7,0,38,9.18,0.48,0.385,0.207,44.8,1.037,False,False,True,False,3.6725,103.59,105.44,4.64
2020-09-01,2020,9,Q3,1.5,3.97,1.3,102.83,-5.97,42.33,9.88,2.87,126.2,0,55,8.63,0.61,0.438,0.226,60.1,1.045,False,False,True,False,3.6725,105.76,104.75,4.63
2020-10-01,2020,10,Q4,1.5,3.09,1.3,103.28,-6.0,39.05,9.75,2.3,119.3,0,20,6.66,0.52,0.342,0.234,53.9,1.121,False,False,False,False,3.6725,105.01,105.23,4.35
2020-11-01,2020,11,Q4,1.5,3.45,1.2,101.58,-6.38,47.56,9.84,2.51,117.9,0,46,7.67,0.61,0.372,0.207,50.8,1.094,False,False,False,False,3.6725,107.41,106.33,4.7
2020-12-01,2020,12,Q4,1.5,3.42,1.13,102.7,-5.91,51.08,9.79,2.35,118.6,0,42,3.05,0.67,0.414,0.216,49.9,1.13,False,False,False,False,3.6725,108.42,106.38,4.58
2021-01-01,2021,1,Q1,1.5,3.46,1.15,105.22,3.9,55.42,9.77,2.61,121.7,564,58,7.42,0.79,0.489,0.255,82.1,1.022,False,False,False,False,3.6725,110.28,112.03,2.97
2021-02-01,2021,2,Q1,1.5,3.71,1.13,104.39,3.96,64.7,9.88,2.49,110.6,718,47,6.41,0.72,0.44,0.242,63.0,1.04,False,False,False,False,3.6725,109.49,110.98,3.05
2021-03-01,2021,3,Q1,1.5,3.78,1.3,105.34,3.77,66.63,9.89,2.42,124.8,435,47,5.4,0.92,0.5,0.25,57.4,1.047,False,False,False,False,3.6725,113.48,109.51,3.09
2021-04-01,2021,4,Q2,1.5,3.5,1.11,105.43,4.01,61.61,9.83,2.39,121.2,562,59,6.15,0.81,0.48,0.261,74.3,1.01,False,True,False,False,3.6725,112.09,109.52,3.19
2021-05-01,2021,5,Q2,1.5,3.48,1.13,105.25,3.59,67.28,9.85,2.46,116.2,493,61,10.21,0.87,0.457,0.229,69.6,1.036,False,True,False,False,3.6725,113.99,110.18,2.79
2021-06-01,2021,6,Q2,1.5,3.78,1.14,104.12,3.79,72.56,9.84,2.33,116.4,526,62,5.94,1.05,0.469,0.248,65.1,1.037,False,False,False,False,3.6725,110.92,108.81,2.94
2021-07-01,2021,7,Q3,1.5,3.26,1.19,103.9,3.8,77.63,9.9,2.08,124.5,435,59,9.78,0.8,0.466,0.224,70.2,1.047,False,False,False,False,3.6725,113.38,113.67,2.97
2021-08-01,2021,8,Q3,1.5,3.52,1.28,105.46,3.86,72.45,9.83,3.05,120.5,312,32,6.36,0.92,0.454,0.22,52.7,1.043,False,False,False,False,3.6725,113.31,110.74,2.76
2021-09-01,2021,9,Q3,1.5,3.85,1.23,104.59,3.68,74.53,9.79,2.17,109.1,559,59,8.98,1.11,0.466,0.248,58.7,1.004,False,False,False,False,3.6725,113.26,110.12,3.01
2021-10-01,2021,10,Q4,1.5,3.68,1.14,105.22,3.87,84.24,9.76,2.19,119.0,569,62,3.74,1.43,0.477,0.274,54.1,1.241,True,False,False,False,3.6725,111.85,109.47,2.93
2021-11-01,2021,11,Q4,1.5,3.28,1.14,104.56,3.75,81.0,9.89,2.1,123.6,526,60,8.61,1.8,0.48,0.243,53.4,1.237,True,False,False,False,3.6725,110.82,111.19,3.1
2021-12-01,2021,12,Q4,1.5,3.56,1.15,104.35,3.73,75.99,9.82,2.07,115.7,418,66,5.67,2.28,0.421,0.196,45.6,1.218,True,False,False,False,3.6725,111.77,110.15,2.88
2022-01-01,2022,1,Q1,1.5,3.55,1.26,107.25,7.73,88.01,9.83,2.47,125.7,753,66,6.25,1.57,0.535,0.298,59.4,1.1,True,False,False,False,3.6725,119.52,114.51,3.58
2022-02-01,2022,2,Q1,1.5,3.99,1.3,106.86,7.56,94.28,9.84,2.86,128.2,914,57,10.68,1.45,0.518,0.244,67.5,1.136,True,False,False,False,3.6725,118.98,114.39,3.01
2022-03-01,2022,3,Q1,1.75,3.93,1.38,108.05,7.19,116.4,9.82,3.06,131.5,659,62,8.9,1.7,0.499,0.247,67.1,1.138,True,False,False,False,3.6725,117.78,115.95,3.36
2022-04-01,2022,4,Q2,1.75,3.86,1.41,107.13,7.19,107.15,9.77,2.5,129.1,696,62,4.2,1.35,0.408,0.244,44.9,1.043,False,True,False,False,3.6725,118.11,115.02,2.75
2022-05-01,2022,5,Q2,2.25,4.02,1.91,108.19,7.44,116.89,9.7,2.87,127.3,811,70,6.85,1.49,0.461,0.26,60.7,1.004,False,True,False,False,3.6725,117.34,114.88,2.81
2022-06-01,2022,6,Q2,2.25,4.05,1.88,107.25,7.2,123.71,9.92,2.52,134.4,811,71,6.04,1.63,0.562,0.291,65.5,1.041,False,False,False,False,3.6725,117.38,114.62,3.11
2022-07-01,2022,7,Q3,2.75,4.59,2.37,108.3,7.55,106.96,9.83,2.26,136.8,797,77,10.57,1.49,0.472,0.224,53.4,1.017,False,False,False,False,3.6725,116.38,114.29,3.14
2022-08-01,2022,8,Q3,2.75,5.09,2.49,107.54,7.22,100.38,9.88,2.22,134.1,986,62,11.05,1.35,0.52,0.231,63.4,1.02,False,False,False,False,3.6725,118.32,115.17,2.9
2022-09-01,2022,9,Q3,3.25,5.52,2.96,106.73,7.41,93.13,9.77,2.39,122.2,735,49,7.23,1.6,0.504,0.24,64.5,1.024,False,False,False,False,3.6725,115.75,113.84,2.82
2022-10-01,2022,10,Q4,3.25,5.67,2.99,107.07,7.35,93.99,9.79,2.33,131.8,665,62,4.55,1.88,0.493,0.283,46.1,1.105,False,False,False,False,3.6725,117.68,116.73,2.62
2022-11-01,2022,11,Q4,3.75,5.6,3.52,107.19,7.25,91.02,9.69,2.61,134.0,954,57,6.13,1.91,0.477,0.253,42.4,1.083,False,False,False,False,3.6725,117.95,113.99,2.74
2022-12-01,2022,12,Q4,3.75,5.98,3.52,107.16,7.56,81.04,9.92,2.13,131.1,735,57,4.28,2.09,0.464,0.266,50.6,1.099,False,False,False,False,3.6725,118.36,115.55,3.14
2023-01-01,2023,1,Q1,3.75,5.25,3.43,109.48,3.24,83.86,9.81,2.34,130.0,1206,72,8.88,1.68,0.517,0.291,70.1,1.012,False,False,False,False,3.6725,124.8,121.25,2.91
2023-02-01,2023,2,Q1,4.25,5.82,4.02,110.35,2.98,84.57,9.92,2.61,129.2,1066,77,10.05,1.55,0.545,0.293,56.7,1.028,False,False,False,False,3.6725,127.06,119.13,2.96
2023-03-01,2023,3,Q1,4.25,6.18,3.96,110.25,3.37,83.33,9.83,2.36,129.3,1174,60,11.82,1.88,0.549,0.276,73.7,1.014,False,True,False,False,3.6725,122.05,119.25,2.8
2023-04-01,2023,4,Q2,4.25,6.02,4.02,110.56,3.52,81.49,9.85,2.37,125.8,1040,63,4.52,1.52,0.538,0.277,59.0,1.002,False,True,False,False,3.6725,125.86,117.69,2.92
2023-05-01,2023,5,Q2,4.5,6.8,4.2,110.02,3.5,78.8,9.89,3.17,127.7,1055,56,11.8,1.6,0.562,0.298,76.2,1.003,False,False,False,False,3.6725,127.03,120.19,2.9
2023-06-01,2023,6,Q2,4.5,6.55,4.29,109.73,3.24,76.68,9.9,2.55,124.8,1000,66,5.2,1.65,0.531,0.247,82.2,1.045,False,False,False,False,3.6725,122.65,119.05,2.71
2023-07-01,2023,7,Q3,4.75,6.58,4.49,110.46,3.1,78.01,9.94,2.53,126.0,1234,48,11.33,1.59,0.59,0.303,81.0,1.007,False,False,False,False,3.6725,121.69,119.65,3.08
2023-08-01,2023,8,Q3,4.75,7.05,4.45,109.69,3.78,85.71,9.84,2.62,129.1,1001,53,10.3,1.46,0.543,0.323,61.2,1.001,False,False,False,False,3.6725,124.7,119.56,3.11
2023-09-01,2023,9,Q3,4.75,6.44,4.44,110.3,3.76,93.43,9.85,2.28,127.5,1200,53,12.09,1.66,0.493,0.284,56.3,1.049,False,False,False,False,3.6725,123.85,119.9,2.62
2023-10-01,2023,10,Q4,4.75,7.13,4.44,110.68,3.28,88.83,9.86,2.39,137.3,1210,46,4.51,1.88,0.482,0.249,57.5,1.117,False,False,False,False,3.6725,125.45,119.85,3.04
2023-11-01,2023,11,Q4,4.75,6.65,4.51,110.14,3.5,79.06,9.77,2.38,126.2,1115,74,7.19,2.05,0.556,0.268,75.5,1.096,False,False,False,False,3.6725,126.57,119.48,2.82
2023-12-01,2023,12,Q4,4.75,6.4,4.43,110.58,3.11,73.9,9.95,2.55,128.5,1219,55,7.03,2.37,0.567,0.259,78.8,1.091,False,False,False,False,3.6725,123.89,120.86,2.7
2024-01-01,2024,1,Q1,4.75,6.55,4.41,112.37,3.71,80.68,9.95,2.44,119.9,1261,56,11.53,1.86,0.598,0.302,83.3,1.006,False,False,False,False,3.6725,129.74,123.78,3.26
2024-02-01,2024,2,Q1,4.75,6.39,4.4,112.14,3.93,81.21,9.92,2.59,132.4,1393,71,8.46,1.82,0.628,0.296,70.8,1.03,False,False,False,False,3.6725,129.27,123.91,3.07
2024-03-01,2024,3,Q1,4.75,6.57,4.39,112.76,3.91,86.78,9.91,2.93,119.6,1528,66,6.23,1.91,0.559,0.327,77.6,1.002,False,True,False,False,3.6725,128.25,122.79,3.36
2024-04-01,2024,4,Q2,4.75,7.22,4.46,112.47,3.89,88.48,9.88,2.3,128.4,1471,76,11.22,1.67,0.595,0.297,76.3,1.026,False,True,False,False,3.6725,129.78,126.33,3.39
2024-05-01,2024,5,Q2,4.75,6.64,4.36,112.56,4.3,85.56,9.88,2.34,135.4,1405,80,12.78,1.79,0.535,0.276,64.7,1.014,False,False,False,False,3.6725,130.7,124.62,3.08
2024-06-01,2024,6,Q2,4.75,6.72,4.5,113.16,3.89,81.62,10.01,2.09,128.4,1578,71,12.39,1.86,0.572,0.29,78.7,1.037,False,False,False,False,3.6725,131.57,125.03,3.27
2024-07-01,2024,7,Q3,4.75,6.89,4.4,112.82,4.25,84.95,9.88,2.89,137.5,1355,71,8.26,1.74,0.577,0.29,75.3,1.013,False,False,False,False,3.6725,131.92,124.65,3.12
2024-08-01,2024,8,Q3,4.75,6.85,4.53,112.49,4.02,81.66,9.89,2.71,133.6,1333,63,8.59,1.68,0.539,0.328,86.5,1.034,False,False,False,False,3.6725,130.41,123.51,2.51
2024-09-01,2024,9,Q3,4.5,6.9,4.12,111.68,4.35,75.11,9.88,2.51,134.8,1308,50,4.7,1.98,0.585,0.324,69.8,1.039,False,False,False,False,3.6725,128.26,126.62,3.36
2024-10-01,2024,10,Q4,4.5,6.03,4.24,112.55,4.12,78.37,9.89,2.54,123.7,1419,57,6.22,2.11,0.588,0.294,68.1,1.129,False,False,False,False,3.6725,128.03,124.93,3.05
2024-11-01,2024,11,Q4,4.5,6.16,4.17,112.57,3.91,71.39,9.88,2.84,127.6,1421,74,12.18,2.22,0.591,0.331,69.8,1.12,False,False,False,False,3.6725,130.01,123.26,3.14
2024-12-01,2024,12,Q4,4.5,6.53,4.27,112.04,4.15,71.52,9.92,2.0,136.0,1422,55,4.14,2.73,0.575,0.313,69.8,1.123,False,False,False,False,3.6725,131.76,125.77,2.88
2025-01-01,2025,1,Q1,4.5,6.33,4.14,115.93,5.69,75.49,9.85,2.58,126.8,1852,68,13.59,2.02,0.614,0.311,73.0,1.004,False,False,False,False,3.6725,135.84,129.51,2.92
2025-02-01,2025,2,Q1,4.5,6.06,4.15,115.39,5.95,77.53,9.83,2.46,123.7,1549,72,6.15,1.92,0.591,0.339,72.6,1.008,False,True,False,False,3.6725,134.73,128.84,2.9
2025-03-01,2025,3,Q1,4.25,6.03,3.95,114.34,5.67,77.28,9.93,2.16,128.1,1662,80,13.98,2.1,0.58,0.34,79.1,1.02,False,True,False,False,3.6725,136.07,129.03,2.97
2025-04-01,2025,4,Q2,4.25,6.02,4.02,115.31,6.43,70.12,10.0,2.69,141.6,1830,78,12.98,1.97,0.542,0.34,63.1,1.021,False,False,False,False,3.6725,134.53,128.54,2.62
2025-05-01,2025,5,Q2,4.25,6.36,3.88,114.61,5.9,62.3,9.99,2.6,124.9,1638,68,4.67,2.0,0.601,0.324,77.2,1.046,False,False,False,False,3.6725,136.24,129.52,3.19
2025-06-01,2025,6,Q2,4.0,6.33,3.75,115.28,5.86,65.19,10.04,2.64,124.1,1616,62,7.65,1.98,0.584,0.338,75.1,1.016,False,False,False,False,3.6725,135.85,128.53,2.93
2025-07-01,2025,7,Q3,4.0,5.94,3.67,114.76,5.82,71.83,9.94,2.49,125.2,1771,77,9.99,1.93,0.64,0.339,89.4,1.03,False,False,False,False,3.6725,138.61,130.39,3.5
2025-08-01,2025,8,Q3,4.0,6.49,3.6,115.4,5.71,70.3,9.83,2.18,130.6,1720,81,11.68,1.74,0.633,0.309,93.2,1.041,False,False,False,False,3.6725,134.78,131.0,2.57
2025-09-01,2025,9,Q3,3.65,6.09,3.26,114.95,5.64,70.76,9.97,2.25,128.5,1729,79,9.78,2.01,0.586,0.306,72.3,1.019,False,False,False,False,3.6725,135.7,129.09,3.0
2025-10-01,2025,10,Q4,3.65,5.85,3.4,114.49,5.9,74.92,9.92,2.51,124.2,1708,81,13.74,2.21,0.601,0.305,61.6,1.124,False,False,False,False,3.6725,136.85,130.65,2.78
2025-11-01,2025,11,Q4,3.65,5.29,3.32,114.48,6.02,76.24,9.91,1.98,130.5,1599,62,8.25,2.41,0.612,0.312,84.3,1.121,False,False,False,False,3.6725,135.76,130.68,2.82
2025-12-01,2025,12,Q4,3.65,5.55,3.38,113.79,5.99,74.01,10.01,2.86,139.1,1631,78,14.1,2.82,0.555,0.304,76.6,1.089,False,False,False,False,3.6725,136.42,130.79,2.63
2026-01-01,2026,1,Q1,3.65,5.54,3.42,117.0,3.9,72.14,10.1,2.45,129.0,2000,83,11.49,2.26,0.619,0.35,90.4,1.031,False,False,False,False,3.6725,141.19,135.85,2.99
2026-02-01,2026,2,Q1,3.65,5.74,3.42,117.41,4.34,72.92,9.98,2.63,133.3,1873,106,6.41,2.18,0.689,0.342,88.4,1.045,False,True,False,False,3.6725,141.54,135.59,2.82
2026-03-01,2026,3,Q1,3.65,5.17,3.42,118.22,4.22,69.73,9.96,2.32,126.3,2052,83,10.01,2.34,0.72,0.33,85.6,1.0,False,True,False,False,3.6725,140.43,134.97,3.03
2026-04-01,2026,4,Q2,3.65,6.02,3.31,118.29,4.3,69.72,9.93,2.44,145.4,1826,93,6.4,1.82,0.639,0.34,73.8,1.048,False,False,False,True,3.6725,143.25,135.61,3.08
2026-05-01,2026,5,Q2,3.65,5.53,3.27,117.35,3.83,71.6,9.92,2.61,136.1,1930,72,14.08,2.12,0.621,0.344,100.0,1.007,False,False,False,False,3.6725,143.34,136.73,2.92
