record_id,report_date,year,month,quarter,developer_id,developer_name,total_bookings_units,total_booking_value_aed,revenue_recognized_aed,cost_of_goods_sold_aed,gross_profit_aed,gross_margin_pct,operating_expenses_aed,ebitda_aed,ebitda_margin_pct,collections_aed,collection_rate_pct,escrow_balance_aed,receivables_aed,cancellations_units,cancellation_rate_pct,construction_spend_aed,land_cost_aed,marketing_spend_aed,avg_selling_price_aed,units_handed_over,dld_fees_collected_aed
FIN000021,2019-02-01,2019,2,Q1,DEV0001,Emaar Properties,75,165787350,153681972,90955813,62726158,40.82,18820459,43905699,28.57,105600730,68.71,40435192,34250736,4,5.33,75762998,14423291,5279780,2210498,44,6147278
FIN000022,2019-02-01,2019,2,Q1,DEV0002,DAMAC Properties,72,188650584,163810122,98092475,65717646,40.12,22740644,42977002,26.24,99072147,60.48,43289192,19079029,7,9.72,75765924,26240795,3497631,2620147,0,6552404
FIN000023,2019-02-01,2019,2,Q1,DEV0003,Aldar Properties,60,119245140,106947545,76528620,30418924,28.44,13634636,16784288,15.69,68989380,64.51,16652953,15639470,6,10.0,58271166,19508852,3925650,1987419,16,4277901
FIN000024,2019-02-01,2019,2,Q1,DEV0004,Nakheel,72,152703720,138970608,98726394,40244213,28.96,24618604,15625609,11.24,108217449,77.87,26625681,25072142,3,4.17,73491271,21684453,6616455,2120885,20,5558824
FIN000025,2019-02-01,2019,2,Q1,DEV0005,Meraas,87,204451305,168992418,95114273,73878144,43.72,24712791,49165353,29.09,125433765,74.22,37532088,33196633,4,4.6,80623023,30800914,8106142,2350015,49,6759696
FIN000026,2019-02-01,2019,2,Q1,DEV0006,Sobha Realty,73,138527136,118785906,83392745,35393160,29.8,19622895,15770265,13.28,73940680,62.25,25908417,19686262,6,8.22,60506816,17111474,6281448,1897632,4,4751436
FIN000027,2019-02-01,2019,2,Q1,DEV0007,Azizi Developments,64,89289216,82363534,53517754,28845779,35.02,10462316,18383463,22.32,61602213,74.79,14610559,14126313,6,9.38,42972711,9320428,3947948,1395144,6,3294541
FIN000028,2019-02-01,2019,2,Q1,DEV0008,Danube Properties,54,83229930,78606857,51429166,27177690,34.57,9876659,17301031,22.01,63948854,81.35,17019485,12283062,3,5.56,43344083,12495907,4188628,1541295,48,3144274
FIN000029,2019-02-01,2019,2,Q1,DEV0009,Binghatti,20,28046820,26403008,18574042,7828965,29.65,3579293,4249672,16.1,19877187,75.28,7476835,5194553,0,0.0,14447071,4390186,798273,1402341,25,1056120
FIN000030,2019-02-01,2019,2,Q1,DEV0010,Ellington Properties,10,16081420,13235806,8368459,4867346,36.77,1813268,3054078,23.07,8312535,62.8,3486182,1680530,0,0.0,6843619,2373352,668212,1608142,35,529432
FIN000031,2019-02-01,2019,2,Q1,DEV0011,RAK Properties,0,0,0,0,0,37.43,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,2016585,58,0
FIN000032,2019-02-01,2019,2,Q1,DEV0012,Tiger Properties,50,39959800,35804253,22504575,13299677,37.15,4626945,8672732,24.22,25349681,70.8,10530800,4090505,3,6.0,18137880,7030960,1096754,799196,48,1432170
FIN000033,2019-02-01,2019,2,Q1,DEV0013,Imtiaz Developments,48,87319440,75234832,49641877,25592954,34.02,11380123,14212831,18.89,61908157,82.29,16294462,12772511,1,2.08,38832910,12813721,1529458,1819155,29,3009393
FIN000034,2019-02-01,2019,2,Q1,DEV0014,Select Group,33,45467631,36933364,25587280,11346083,30.72,4760555,6585528,17.83,23728208,64.25,7604207,3718100,2,6.06,20995228,3841485,1417916,1377807,2,1477334
FIN000035,2019-02-01,2019,2,Q1,DEV0015,Reportage Properties,21,9007782,7274173,4468529,2805643,38.57,787564,2018079,27.74,4525443,62.21,1783932,1244092,1,4.76,3380680,1090784,157613,428942,6,290966
FIN000036,2019-02-01,2019,2,Q1,DEV0016,Samana Developers,28,15905316,12728807,7540301,5188505,40.76,2223756,2964749,23.29,7949432,62.45,3660771,1744361,1,3.57,5922874,2322751,491124,568047,48,509152
FIN000037,2019-02-01,2019,2,Q1,DEV0017,Object 1,24,30543768,25301760,14045331,11256428,44.49,4250754,7005674,27.69,20899451,82.6,4204823,5654876,1,4.17,11629976,3536109,559249,1272657,23,1012070
FIN000038,2019-02-01,2019,2,Q1,DEV0018,Majid Al Futtaim,90,190421820,174079772,99701738,74378033,42.73,25381320,48996713,28.15,117320010,67.39,33948219,30555566,5,5.56,77934585,17441251,4599590,2115798,11,6963190
FIN000039,2019-02-01,2019,2,Q1,DEV0019,Dubai Properties,83,221378679,185697940,128177114,57520825,30.98,32890359,24630466,13.26,118487841,63.81,35332051,43814844,7,8.43,103554371,33599825,4852552,2667213,38,7427917
FIN000040,2019-02-01,2019,2,Q1,DEV0020,Meydan Group,62,121207396,98660183,69799731,28860451,29.25,16022196,12838255,13.01,66222588,67.12,29505205,11460375,4,6.45,61122506,15448641,2313206,1954958,6,3946407
FIN000041,2019-03-01,2019,3,Q1,DEV0001,Emaar Properties,80,161977200,139419338,88483559,50935778,36.53,23975569,26960209,19.34,106933763,76.7,28538703,27379273,3,3.75,63671507,14867485,6947181,2024715,45,5576773
FIN000042,2019-03-01,2019,3,Q1,DEV0002,DAMAC Properties,79,152370302,124228597,86919715,37308881,30.03,19968524,17340357,13.96,78705764,63.36,30760794,18896286,7,8.86,78078019,14717658,6894313,1928738,15,4969143
FIN000043,2019-03-01,2019,3,Q1,DEV0003,Aldar Properties,79,174835927,151439701,94857369,56582331,37.36,25116738,31465593,20.78,110642172,73.06,35361188,25851129,3,3.8,80170600,27147491,5606478,2213113,8,6057588
FIN000044,2019-03-01,2019,3,Q1,DEV0004,Nakheel,78,177491340,165754990,92214700,73540289,44.37,18447889,55092400,33.24,107621051,64.93,41010547,30495184,2,2.56,78432728,24572750,4538482,2275530,5,6630199
FIN000045,2019-03-01,2019,3,Q1,DEV0005,Meraas,73,123879321,109283265,64580671,44702593,40.91,12048570,32654023,29.88,67872855,62.11,20129215,23373620,2,2.74,56164406,9126852,3428754,1696977,7,4371330
FIN000046,2019-03-01,2019,3,Q1,DEV0006,Sobha Realty,89,167475572,138060859,78784395,59276463,42.94,24777136,34499327,24.99,92496124,67.0,38101726,13984204,10,11.24,57017942,13343308,7360836,1881748,24,5522434
FIN000047,2019-03-01,2019,3,Q1,DEV0007,Azizi Developments,59,99321367,86616078,56786692,29829385,34.44,13030588,16798797,19.39,55293177,63.84,13644659,10663919,4,6.78,50005745,15245994,4444358,1683413,7,3464643
FIN000048,2019-03-01,2019,3,Q1,DEV0008,Danube Properties,39,42990168,36460047,24114791,12345255,33.86,5671435,6673820,18.3,25623376,70.28,7034432,5175488,1,2.56,17132260,6941324,1792082,1102312,7,1458401
FIN000049,2019-03-01,2019,3,Q1,DEV0009,Binghatti,42,76311144,64183178,38934297,25248880,39.34,7950995,17297885,26.95,54326746,84.64,14668618,14363334,2,4.76,28710989,5391709,3748503,1816932,18,2567327
FIN000050,2019-03-01,2019,3,Q1,DEV0010,Ellington Properties,57,61349784,52723244,33692661,19030582,36.1,7345780,11684802,22.16,34575686,65.58,9243551,6106151,4,7.02,23864850,7863060,1515077,1076312,29,2108929
FIN000051,2019-03-01,2019,3,Q1,DEV0011,RAK Properties,44,65967440,61110644,43644119,17466524,28.58,6518394,10948130,17.92,49306720,80.68,11525601,9917638,1,2.27,38669467,11670339,3300784,1499260,50,2444425
FIN000052,2019-03-01,2019,3,Q1,DEV0012,Tiger Properties,18,25481718,23235553,14354671,8880881,38.22,2900449,5980432,25.74,14800885,63.7,4098340,5058399,1,5.56,11737419,3361844,508576,1415651,22,929422
FIN000053,2019-03-01,2019,3,Q1,DEV0013,Imtiaz Developments,62,115513564,93638968,62128225,31510742,33.65,12260888,19249854,20.56,72536315,77.46,23611379,19104905,6,9.68,48791091,16430862,3853657,1863122,12,3745558
FIN000054,2019-03-01,2019,3,Q1,DEV0014,Select Group,29,33570139,29168913,17594262,11574650,39.68,3680933,7893717,27.06,23786234,81.55,8037519,4820339,2,6.9,13184160,5553101,612399,1157591,6,1166756
FIN000055,2019-03-01,2019,3,Q1,DEV0015,Reportage Properties,26,14389518,13472616,8514654,4957961,36.8,1348315,3609646,26.79,11258155,83.56,3159466,3029865,2,7.69,6730307,1865786,777107,553443,14,538904
FIN000056,2019-03-01,2019,3,Q1,DEV0016,Samana Developers,-2,-1776832,-1636185,-1049018,-587166,35.89,-184784,-402382,-40238200.0,-1354947,-135494700.0,-417361,-363308,0,0.0,-818411,-317283,-95466,888416,4,-65447
FIN000057,2019-03-01,2019,3,Q1,DEV0017,Object 1,-7,-7665959,-6752953,-4340861,-2412091,35.72,-902311,-1509780,-150978000.0,-5684868,-568486800.0,-2006134,-903169,0,0.0,-3730358,-1077595,-395545,1095137,33,-270118
FIN000058,2019-03-01,2019,3,Q1,DEV0018,Majid Al Futtaim,67,143835801,116895293,83509281,33386011,28.56,12937915,20448096,17.49,78736708,67.36,26862476,20567278,4,5.97,65075589,21302066,6603713,2146803,61,4675811
FIN000059,2019-03-01,2019,3,Q1,DEV0019,Dubai Properties,90,169774110,147786663,101482532,46304130,31.33,23049678,23254452,15.74,104708990,70.85,41571868,23512745,9,10.0,80975902,24943889,7689880,1886379,11,5911466
FIN000060,2019-03-01,2019,3,Q1,DEV0020,Meydan Group,82,163727842,140942427,81382055,59560371,42.26,15640856,43919515,31.16,98027491,69.55,41667303,17070398,6,7.32,66256068,27447920,6285249,1996681,14,5637697
FIN000061,2019-04-01,2019,4,Q2,DEV0001,Emaar Properties,64,135976640,109227195,61717300,47509894,43.5,12130973,35378921,32.39,67881473,62.15,17699943,12890054,6,9.38,52344841,15176096,5409217,2124635,2,4369087
FIN000062,2019-04-01,2019,4,Q2,DEV0002,DAMAC Properties,98,256510394,231478039,155190511,76287527,32.96,30004885,46282642,19.99,173675990,75.03,52069431,41113420,10,10.2,108783125,36363247,5436796,2617453,7,9259121
FIN000063,2019-04-01,2019,4,Q2,DEV0003,Aldar Properties,78,173578626,144780551,91617489,53163061,36.72,22072194,31090867,21.47,120754911,83.41,37659149,29553292,6,7.69,79086494,19268013,5920628,2225367,11,5791222
FIN000064,2019-04-01,2019,4,Q2,DEV0004,Nakheel,78,176385534,148290133,90225618,58064514,39.16,25633044,32431470,21.87,111868028,75.44,25455842,19708460,9,11.54,68269729,17372458,5317667,2261353,50,5931605
FIN000065,2019-04-01,2019,4,Q2,DEV0005,Meraas,87,194917410,182818105,109296820,73521284,40.22,32537843,40983441,22.42,118537976,64.84,30211392,18743082,6,6.9,95866123,34892633,8261948,2240430,5,7312724
FIN000066,2019-04-01,2019,4,Q2,DEV0006,Sobha Realty,68,175882204,166614540,103437968,63176571,37.92,28837431,34339140,20.61,126944248,76.19,26099551,19223115,4,5.88,75670116,15890945,8724761,2586503,19,6664581
FIN000067,2019-04-01,2019,4,Q2,DEV0007,Azizi Developments,37,56053742,48360149,29768446,18591702,38.44,7240601,11351101,23.47,39682188,82.06,12550192,9320138,1,2.7,22325253,4387726,2771102,1514966,28,1934405
FIN000068,2019-04-01,2019,4,Q2,DEV0008,Danube Properties,45,58532940,50231456,35237581,14993874,29.85,7341567,7652307,15.23,34515685,68.71,12530302,12518779,2,4.44,27013131,5184119,1228649,1300732,18,2009258
FIN000069,2019-04-01,2019,4,Q2,DEV0009,Binghatti,47,94964205,81806016,57721648,24084367,29.44,11182900,12901467,15.77,50813021,62.11,14725212,13602420,1,2.13,48883874,14528457,3900396,2020515,18,3272240
FIN000070,2019-04-01,2019,4,Q2,DEV0010,Ellington Properties,31,66092186,54684451,32039791,22644659,41.41,6878622,15766037,28.83,46394062,84.84,14383690,10129888,0,0.0,28775479,9248999,1420412,2132006,188,2187378
FIN000071,2019-04-01,2019,4,Q2,DEV0011,RAK Properties,49,55800661,48825618,34513390,14312227,29.31,5936063,8376164,17.16,36672540,75.11,9975586,11217724,3,6.12,27669007,9540624,1725450,1138789,33,1953024
FIN000072,2019-04-01,2019,4,Q2,DEV0012,Tiger Properties,47,55096455,50729895,31955338,18774556,37.01,6306081,12468475,24.58,31919750,62.92,8728984,9363910,1,2.13,26737685,4083956,2739851,1172265,20,2029195
FIN000073,2019-04-01,2019,4,Q2,DEV0013,Imtiaz Developments,50,80720250,65152825,39589058,25563766,39.24,6614666,18949100,29.08,45124162,69.26,14790136,14376664,5,10.0,29266497,5853499,2076744,1614405,34,2606113
FIN000074,2019-04-01,2019,4,Q2,DEV0014,Select Group,36,50463072,47699925,32167792,15532132,32.56,4798949,10733183,22.5,33548847,70.33,9117228,10002535,2,5.56,28443672,4286352,2770845,1401752,60,1907997
FIN000075,2019-04-01,2019,4,Q2,DEV0015,Reportage Properties,-7,-9914779,-8931483,-5949475,-2982007,33.39,-1273511,-1708496,-170849600.0,-7287834,-728783400.0,-1451153,-1469313,0,0.0,-5069179,-1138021,-402430,1416397,13,-357259
FIN000076,2019-04-01,2019,4,Q2,DEV0016,Samana Developers,30,13001310,11123672,7540084,3583587,32.22,1207035,2376552,21.36,9202956,82.73,2886965,1923823,2,6.67,5944746,2200358,529351,433377,9,444946
FIN000077,2019-04-01,2019,4,Q2,DEV0017,Object 1,2,2165534,1758345,1173695,584649,33.25,180384,404265,22.99,1320786,75.12,287868,286191,0,0.0,1040287,317510,70436,1082767,2,70333
FIN000078,2019-04-01,2019,4,Q2,DEV0018,Majid Al Futtaim,50,91138900,82095437,48280895,33814541,41.19,10775454,23039087,28.06,67305857,81.98,15606538,12609300,3,6.0,37125550,8359868,4430900,1822778,7,3283817
FIN000079,2019-04-01,2019,4,Q2,DEV0019,Dubai Properties,75,185450250,150203164,84701541,65501622,43.61,20422303,45079319,30.01,122726371,81.71,37050927,21000759,3,4.0,75556725,23499856,3226936,2472670,48,6008126
FIN000080,2019-04-01,2019,4,Q2,DEV0020,Meydan Group,81,150702363,143001806,79454610,63547195,44.44,17530015,46017180,32.18,98230740,68.69,26037066,18112574,3,3.7,68351858,24017875,4771025,1860523,22,5720072
FIN000081,2019-05-01,2019,5,Q2,DEV0001,Emaar Properties,86,198209704,168381771,114083204,54298566,32.25,25144209,29154357,17.31,134637632,79.96,27438459,18008588,8,9.3,85491255,28140389,7246222,2304764,13,6735270
FIN000082,2019-05-01,2019,5,Q2,DEV0002,DAMAC Properties,84,186805668,165598571,103814157,61784413,37.31,23407409,38377004,23.17,100370093,60.61,30229486,28888292,8,9.52,90168193,23587111,9157570,2223877,9,6623942
FIN000083,2019-05-01,2019,5,Q2,DEV0003,Aldar Properties,61,122396805,109246827,71494713,37752113,34.56,14284427,23467686,21.48,87240806,79.86,21599534,13891560,6,9.84,54121801,9903895,2740299,2006505,5,4369873
FIN000084,2019-05-01,2019,5,Q2,DEV0004,Nakheel,78,163943520,150485282,84516399,65968882,43.84,16982034,48986848,32.55,124583714,82.79,44892505,35623340,6,7.69,64549341,12322822,7947619,2101840,20,6019411
FIN000085,2019-05-01,2019,5,Q2,DEV0005,Meraas,63,135306360,115874141,77776678,38097462,32.88,19459199,18638263,16.08,75187206,64.89,31320000,14038722,5,7.94,64470799,12707646,5175014,2147720,72,4634965
FIN000086,2019-05-01,2019,5,Q2,DEV0006,Sobha Realty,34,72825824,62154603,42552705,19601897,31.54,7687222,11914675,19.17,45227459,72.77,10773384,11492907,3,8.82,35152511,10381771,1904059,2141936,24,2486184
FIN000087,2019-05-01,2019,5,Q2,DEV0007,Azizi Developments,15,25004055,21708384,13377062,8331321,38.38,2866800,5464521,25.17,16357900,75.35,5463245,3574094,1,6.67,11977325,2782522,653506,1666937,53,868335
FIN000088,2019-05-01,2019,5,Q2,DEV0008,Danube Properties,55,74722615,67677851,46677126,21000724,31.03,11966753,9033971,13.35,43586763,64.4,12380819,10625104,5,9.09,37764860,13289939,2874444,1358593,29,2707114
FIN000089,2019-05-01,2019,5,Q2,DEV0009,Binghatti,28,34907852,31242387,18750226,12492160,39.98,5052690,7439470,23.81,19958334,63.88,8700443,4223718,2,7.14,15054913,5324428,1563102,1246709,6,1249695
FIN000090,2019-05-01,2019,5,Q2,DEV0010,Ellington Properties,30,26077050,23581418,14193893,9387524,39.81,4216485,5171039,21.93,15083957,63.97,3984684,5832316,1,3.33,10920058,2572765,1396054,869235,19,943256
FIN000091,2019-05-01,2019,5,Q2,DEV0011,RAK Properties,47,81966731,76488533,53205865,23282667,30.44,12673653,10609014,13.87,51332342,67.11,12193047,16948481,5,10.64,43001914,11550896,3494294,1743973,9,3059541
FIN000092,2019-05-01,2019,5,Q2,DEV0012,Tiger Properties,41,49696141,45921878,33018363,12903514,28.1,5028001,7875513,17.15,38673328,84.22,13457350,9754062,2,4.88,27487850,5285126,2485415,1212101,37,1836875
FIN000093,2019-05-01,2019,5,Q2,DEV0013,Imtiaz Developments,38,37011126,29912958,18191804,11721153,39.18,3970696,7750457,25.91,20966550,70.09,8212590,3906408,3,7.89,16018963,4366209,786552,973977,0,1196518
FIN000094,2019-05-01,2019,5,Q2,DEV0014,Select Group,59,119635893,111643253,73147867,38495385,34.48,14920810,23574575,21.12,76259683,68.31,26542756,14992713,3,5.08,54620807,19444801,6276903,2027727,1,4465730
FIN000095,2019-05-01,2019,5,Q2,DEV0015,Reportage Properties,4,3149388,2814016,1874242,939773,33.4,285010,654763,23.27,1752496,62.28,558054,693494,0,0.0,1382020,393937,60847,787347,0,112560
FIN000096,2019-05-01,2019,5,Q2,DEV0016,Samana Developers,19,12916010,11271763,7669723,3602039,31.96,1367078,2234961,19.83,7211977,63.98,2439966,2741754,1,5.26,6246201,1280048,504590,679790,24,450870
FIN000097,2019-05-01,2019,5,Q2,DEV0017,Object 1,4,4003684,3540895,2385409,1155485,32.63,446344,709141,20.03,2379761,67.21,876048,585086,0,0.0,2014096,508875,114035,1000921,19,141635
FIN000098,2019-05-01,2019,5,Q2,DEV0018,Majid Al Futtaim,44,60477868,52200725,34950720,17250004,33.05,7729174,9520830,18.24,37184789,71.23,12641748,9364092,2,4.55,25905158,9293383,2981991,1374497,14,2088029
FIN000099,2019-05-01,2019,5,Q2,DEV0019,Dubai Properties,85,190366255,179835793,127088235,52747557,29.33,31635997,21111560,11.74,114193913,63.5,31838468,23989507,10,11.76,113183949,32201642,7258444,2239603,11,7193431
FIN000100,2019-05-01,2019,5,Q2,DEV0020,Meydan Group,70,162200220,138484561,97944532,40540028,29.27,20105429,20434599,14.76,111660773,80.63,26763444,20162910,7,10.0,72593532,12010230,2790715,2317146,1,5539382
FIN000101,2019-06-01,2019,6,Q2,DEV0001,Emaar Properties,66,126868896,115837998,69456557,46381440,40.04,14289911,32091529,27.7,76309339,65.88,20047219,26585918,2,3.03,52343421,16185704,5914481,1922256,72,4633519
FIN000102,2019-06-01,2019,6,Q2,DEV0002,DAMAC Properties,79,174975678,150078343,106757163,43321179,28.87,21370859,21950320,14.63,117031550,77.98,28367325,18485741,6,7.59,90096548,23329307,3956602,2214882,6,6003133
FIN000103,2019-06-01,2019,6,Q2,DEV0003,Aldar Properties,96,196245408,182177798,115655109,66522688,36.52,31903887,34618801,19.0,147579949,81.01,42866162,21778603,9,9.38,98260059,29179717,4015575,2044223,10,7287111
FIN000104,2019-06-01,2019,6,Q2,DEV0004,Nakheel,72,143216280,129195157,72074501,57120655,44.21,17986160,39134495,30.29,88832306,68.76,36340480,14742226,5,6.94,52346741,19120501,3774992,1989115,3,5167806
FIN000105,2019-06-01,2019,6,Q2,DEV0005,Meraas,54,114642000,92076007,60804874,31271132,33.96,12519051,18752081,20.37,71222969,77.35,24761214,22999014,3,5.56,50074274,13715771,4248985,2123000,58,3683040
FIN000106,2019-06-01,2019,6,Q2,DEV0006,Sobha Realty,60,137001000,121953842,77910093,44043748,36.12,12330444,31713304,26.0,100261636,82.21,33729314,20275319,6,10.0,64206455,23505173,7246532,2283350,68,4878153
FIN000107,2019-06-01,2019,6,Q2,DEV0007,Azizi Developments,35,56365365,50330139,34504534,15825604,31.44,7301082,8524522,16.94,37462523,74.43,12856572,9445444,2,5.71,26546396,5632341,1413623,1610439,24,2013205
FIN000108,2019-06-01,2019,6,Q2,DEV0008,Danube Properties,50,75672250,61142059,37652754,23489304,38.42,10589523,12899781,21.1,45893992,75.06,18285210,12339789,3,6.0,33428918,5743726,1684168,1513445,56,2445682
FIN000109,2019-06-01,2019,6,Q2,DEV0009,Binghatti,45,62405145,59139844,40992701,18147142,30.69,10296675,7850467,13.27,47062745,79.58,15299379,13748970,2,4.44,32989734,10910679,3025607,1386781,20,2365593
FIN000110,2019-06-01,2019,6,Q2,DEV0010,Ellington Properties,39,66645345,53777080,32582817,21194262,39.41,6921740,14272522,26.54,43505543,80.9,8473429,10496215,4,10.26,26401786,5922464,1080482,1708855,5,2151083
FIN000111,2019-06-01,2019,6,Q2,DEV0011,RAK Properties,48,60540048,52838562,34649767,18188794,34.42,7632318,10556476,19.98,33677486,63.74,11239053,9065915,3,6.25,27203909,6119641,1793170,1261251,18,2113542
FIN000112,2019-06-01,2019,6,Q2,DEV0012,Tiger Properties,44,70609176,65490552,36079256,29411295,44.91,6707060,22704235,34.67,50767586,77.52,10049372,10505084,4,9.09,31029775,7340619,3468021,1604754,90,2619622
FIN000113,2019-06-01,2019,6,Q2,DEV0013,Imtiaz Developments,50,73862700,62286770,43776468,18510301,29.72,8583686,9926615,15.94,46234230,74.23,13343690,9460586,5,10.0,31093766,7048581,1625464,1477254,34,2491470
FIN000114,2019-06-01,2019,6,Q2,DEV0014,Select Group,39,73546590,62676971,40709828,21967142,35.05,10102474,11864668,18.93,48653483,77.63,17863986,12813908,1,2.56,34968396,11589534,3382542,1885810,7,2507078
FIN000115,2019-06-01,2019,6,Q2,DEV0015,Reportage Properties,-9,-11757807,-10450772,-5838492,-4612279,44.13,-1369090,-3243189,-324318900.0,-8592309,-859230900.0,-2590161,-1317183,0,0.0,-4197719,-1845295,-344705,1306423,38,-418030
FIN000116,2019-06-01,2019,6,Q2,DEV0016,Samana Developers,17,14731469,13445703,9603607,3842095,28.57,1777431,2064664,15.36,10882827,80.94,2694345,1985351,1,5.88,7185028,1887724,764896,866557,34,537828
FIN000117,2019-06-01,2019,6,Q2,DEV0017,Object 1,59,43844552,36372241,21929739,14442501,39.71,4353861,10088640,27.74,22203489,61.05,7270506,7160252,1,1.69,18276321,6102214,2058454,743128,14,1454889
FIN000118,2019-06-01,2019,6,Q2,DEV0018,Majid Al Futtaim,76,144380392,123309606,86682180,36627425,29.7,14055324,22572101,18.31,78083312,63.32,33611695,21349653,2,2.63,67788548,13775139,2690274,1899742,23,4932384
FIN000119,2019-06-01,2019,6,Q2,DEV0019,Dubai Properties,97,237493733,193348061,116568403,76779657,39.71,27427106,49352551,25.53,149857632,77.51,51506340,35849677,8,8.25,83325279,36071042,11554106,2448389,11,7733922
