contractor_id,contractor_name,contractor_type,specialization,country_of_origin,uae_license_no,grade,established_year,years_in_uae,completed_projects_uae,active_projects,max_capacity_sqm,preferred_developer_ids,performance_score,on_time_delivery_rate_pct,avg_cost_overrun_pct,quality_score,safety_record_score,rating,payment_terms_days,insurance_valid_until,rera_approved,blacklisted
CONT011,Turkey Landscaping Group 11,Landscaping,Hardscaping & Irrigation,Turkey,DM-CONT-98941,Grade B,1994,22,11,1,63647,"DEV0001,DEV0013,DEV0014",60.0,75.2,2.2,65.6,74.0,2.8,60,2028-12-31,True,False
CONT012,UAE Façade Group 12,Façade,Curtain Wall & Cladding,UAE,DM-CONT-21484,Grade B,1990,12,33,1,279393,"DEV0017,DEV0017,DEV0014",63.3,76.9,9.5,94.7,72.4,4.2,30,2026-12-31,True,False
CONT013,India MEP Group 13,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-50314,Grade B,1997,16,6,9,23080,"DEV0016,DEV0004,DEV0011",74.0,84.1,0.0,64.7,100.0,3.2,90,2027-12-31,True,False
CONT014,UAE Civil Group 14,Civil,Foundations & Structural,UAE,DM-CONT-17530,Grade A,1998,24,10,1,71811,DEV0014,63.4,65.8,12.3,67.1,78.9,5.0,60,2027-12-31,True,False
CONT015,India Interior Group 15,Interior Fit-Out,Luxury Interior Finishing,India,DM-CONT-95263,Grade B,1993,9,1,2,30282,"DEV0019,DEV0012,DEV0001",46.5,51.3,12.8,64.1,84.2,5.0,90,2026-12-31,True,False
CONT016,India Civil Group 16,Civil,Foundations & Structural,India,DM-CONT-98987,Grade B,1998,26,18,3,18879,DEV0004,48.4,63.4,11.4,61.5,63.3,3.6,60,2028-12-31,True,False
CONT017,UAE Main Group 17,Main Contractor,High-Rise Residential,UAE,DM-CONT-67434,Grade B,2014,3,14,6,27436,"DEV0013,DEV0011,DEV0009",81.0,63.0,0.0,78.3,94.6,4.1,60,2028-12-31,True,False
CONT018,UAE Civil Group 18,Civil,Foundations & Structural,UAE,DM-CONT-44048,Grade B,2008,5,10,2,22240,DEV0016,73.4,100.0,8.1,84.5,71.5,4.7,45,2026-12-31,True,False
CONT019,Pakistan Civil Group 19,Civil,Foundations & Structural,Pakistan,DM-CONT-84676,Grade B,2001,3,17,7,11401,DEV0004,73.6,70.4,0.5,68.0,78.7,3.6,60,2028-12-31,True,False
CONT020,UAE Interior Group 20,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-31569,Grade B,2008,1,7,1,181216,"DEV0003,DEV0019",70.9,41.2,19.5,89.9,54.5,3.4,60,2027-12-31,True,False
CONT021,India Interior Group 21,Interior Fit-Out,Luxury Interior Finishing,India,DM-CONT-87695,Grade B,2016,7,18,13,11120,DEV0017,79.4,83.6,6.8,72.4,81.4,3.4,60,2028-12-31,True,False
CONT022,UAE MEP Group 22,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-71045,Grade C,1992,32,59,3,5980,"DEV0008,DEV0020,DEV0013",61.9,72.1,8.1,79.0,76.5,3.6,90,2026-12-31,False,False
CONT023,UAE MEP Group 23,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-31634,Grade A,2010,10,5,6,66975,DEV0005,86.5,77.4,7.8,75.7,85.0,4.2,45,2027-12-31,True,False
CONT024,Turkey MEP Group 24,MEP Contractor,Mechanical Electrical Plumbing,Turkey,DM-CONT-83029,Grade C,1992,16,6,1,16320,"DEV0011,DEV0015",53.3,69.4,11.8,63.4,100.0,4.4,60,2028-12-31,False,False
CONT025,Germany Civil Group 25,Civil,Foundations & Structural,Germany,DM-CONT-13905,Grade B,2018,3,23,1,15350,"DEV0012,DEV0006",66.4,80.2,13.9,59.1,73.7,3.2,60,2027-12-31,True,False
CONT026,UAE MEP Group 26,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-34537,Grade A,2001,12,1,2,113235,"DEV0009,DEV0001,DEV0013",40.0,78.9,13.5,84.3,67.9,4.0,45,2027-12-31,True,True
CONT027,Egypt Interior Group 27,Interior Fit-Out,Luxury Interior Finishing,Egypt,DM-CONT-15888,Grade C,1989,37,2,3,42493,"DEV0008,DEV0018,DEV0010",62.9,60.4,8.5,50.0,70.3,4.1,45,2028-12-31,False,False
CONT028,South Korea MEP Group 28,MEP Contractor,Mechanical Electrical Plumbing,South Korea,DM-CONT-26932,Grade C,2010,12,6,9,29625,DEV0017,79.9,51.0,4.7,75.2,88.5,3.0,45,2028-12-31,False,False
CONT029,UAE Civil Group 29,Civil,Foundations & Structural,UAE,DM-CONT-28435,Grade B,2004,16,8,2,42932,"DEV0014,DEV0008",76.1,82.1,4.0,66.6,81.4,2.8,45,2026-12-31,True,False
CONT030,India Main Group 30,Main Contractor,High-Rise Residential,India,DM-CONT-67055,Grade A,2001,20,14,5,67903,"DEV0008,DEV0015",87.4,88.3,6.7,71.9,62.0,3.5,30,2028-12-31,True,False
CONT031,UAE Civil Group 31,Civil,Foundations & Structural,UAE,DM-CONT-57504,Grade C,2019,7,7,3,65259,"DEV0014,DEV0020",93.5,45.6,4.8,68.4,77.7,3.1,45,2027-12-31,False,False
CONT032,India MEP Group 32,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-82808,Grade B,2002,11,1,2,117947,"DEV0017,DEV0011",69.6,60.0,10.5,62.4,98.0,3.0,30,2027-12-31,True,True
CONT033,UAE MEP Group 33,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-83127,Grade A,1987,13,4,2,40040,"DEV0002,DEV0014",55.7,80.6,5.7,67.3,81.3,3.2,30,2026-12-31,True,False
CONT034,South Korea Main Group 34,Main Contractor,High-Rise Residential,South Korea,DM-CONT-75774,Grade A,2010,4,17,1,10480,"DEV0003,DEV0001,DEV0010",90.1,64.6,11.4,89.1,86.2,3.6,90,2028-12-31,True,False
CONT035,UAE Main Group 35,Main Contractor,High-Rise Residential,UAE,DM-CONT-55888,Grade B,2019,1,1,4,5126,DEV0006,84.5,97.6,0.0,71.0,98.1,4.0,30,2028-12-31,True,False
CONT036,South Korea MEP Group 36,MEP Contractor,Mechanical Electrical Plumbing,South Korea,DM-CONT-41481,Grade B,1991,12,23,5,33300,DEV0005,75.6,65.1,8.8,59.4,91.8,3.3,60,2027-12-31,True,False
CONT037,Turkey MEP Group 37,MEP Contractor,Mechanical Electrical Plumbing,Turkey,DM-CONT-11645,Grade A,1987,8,9,5,67889,"DEV0014,DEV0012",71.5,100.0,1.3,50.0,84.7,3.8,45,2028-12-31,True,False
CONT038,UK MEP Group 38,MEP Contractor,Mechanical Electrical Plumbing,UK,DM-CONT-56880,Grade B,1998,27,1,2,108223,"DEV0014,DEV0014",69.8,45.5,4.1,66.1,76.4,3.8,60,2026-12-31,True,False
CONT039,China Façade Group 39,Façade,Curtain Wall & Cladding,China,DM-CONT-12972,Grade B,1995,1,17,2,52689,"DEV0012,DEV0006",76.4,56.4,6.4,79.7,79.0,3.6,60,2026-12-31,True,False
CONT040,China Façade Group 40,Façade,Curtain Wall & Cladding,China,DM-CONT-23302,Grade A,1992,20,13,7,35025,DEV0007,60.4,59.2,9.0,84.0,50.0,4.3,60,2026-12-31,True,False
CONT041,Germany Civil Group 41,Civil,Foundations & Structural,Germany,DM-CONT-67622,Grade A,2002,4,3,1,18504,"DEV0016,DEV0007,DEV0018",70.3,66.6,1.0,100.0,76.2,3.9,60,2026-12-31,True,False
CONT042,UAE MEP Group 42,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-15403,Grade B,2004,8,8,8,196137,"DEV0019,DEV0006",76.2,95.3,12.7,73.2,56.3,3.7,45,2027-12-31,True,False
CONT043,UAE Main Group 43,Main Contractor,High-Rise Residential,UAE,DM-CONT-16804,Grade C,1989,18,1,3,33015,"DEV0017,DEV0018,DEV0012",58.1,63.5,6.5,70.9,65.3,3.4,45,2026-12-31,False,False
CONT044,China Main Group 44,Main Contractor,High-Rise Residential,China,DM-CONT-65767,Grade A,2014,11,33,2,40105,"DEV0010,DEV0006,DEV0012",40.0,84.2,13.8,89.3,65.7,3.4,90,2028-12-31,True,False
CONT045,India Façade Group 45,Façade,Curtain Wall & Cladding,India,DM-CONT-33102,Grade B,1986,35,5,1,13659,"DEV0004,DEV0010,DEV0003",69.5,67.7,16.0,52.3,79.3,3.4,60,2026-12-31,True,False
CONT046,China MEP Group 46,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-77757,Grade B,2016,8,28,3,69362,"DEV0001,DEV0020",81.6,95.3,7.8,82.9,61.0,4.2,45,2026-12-31,True,False
CONT047,UAE Main Group 47,Main Contractor,High-Rise Residential,UAE,DM-CONT-64747,Grade C,2015,5,1,2,43879,"DEV0016,DEV0010",73.2,80.8,8.1,73.1,74.7,3.7,45,2027-12-31,False,False
CONT048,South Korea Main Group 48,Main Contractor,High-Rise Residential,South Korea,DM-CONT-68430,Grade B,1994,29,14,3,151725,"DEV0004,DEV0017",92.9,52.6,4.5,74.2,77.1,4.8,60,2027-12-31,True,False
CONT049,India Façade Group 49,Façade,Curtain Wall & Cladding,India,DM-CONT-61564,Grade A,1994,30,24,1,42508,DEV0001,65.6,88.2,13.3,70.7,74.2,4.9,45,2028-12-31,True,False
CONT050,India Civil Group 50,Civil,Foundations & Structural,India,DM-CONT-32357,Grade B,1999,11,4,4,107396,"DEV0014,DEV0007,DEV0005",54.9,74.0,1.8,84.1,96.5,4.2,60,2026-12-31,True,False
CONT051,UAE Civil Group 51,Civil,Foundations & Structural,UAE,DM-CONT-33657,Grade B,1987,38,10,1,112626,"DEV0020,DEV0011,DEV0010",87.0,79.3,10.6,85.2,65.2,4.2,30,2027-12-31,True,False
CONT052,UAE Interior Group 52,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-45997,Grade C,1998,12,25,1,136743,"DEV0017,DEV0013",67.7,58.0,6.3,75.7,78.2,4.6,90,2027-12-31,False,False
CONT053,UAE Landscaping Group 53,Landscaping,Hardscaping & Irrigation,UAE,DM-CONT-42128,Grade C,2019,3,3,1,21259,"DEV0009,DEV0020,DEV0001",40.0,60.5,11.0,75.1,84.2,4.2,30,2027-12-31,False,False
CONT054,India Interior Group 54,Interior Fit-Out,Luxury Interior Finishing,India,DM-CONT-60902,Grade B,1992,14,19,3,266573,"DEV0006,DEV0007",54.8,87.5,5.0,77.5,84.4,4.1,45,2028-12-31,True,False
CONT055,Turkey Interior Group 55,Interior Fit-Out,Luxury Interior Finishing,Turkey,DM-CONT-20018,Grade B,2018,5,2,4,87290,DEV0010,77.3,56.5,1.5,68.5,69.1,3.5,90,2027-12-31,True,False
CONT056,South Korea MEP Group 56,MEP Contractor,Mechanical Electrical Plumbing,South Korea,DM-CONT-33156,Grade A,2005,12,20,10,138234,"DEV0015,DEV0009,DEV0019",73.8,62.4,5.4,71.4,100.0,3.1,45,2026-12-31,True,False
CONT057,UAE Civil Group 57,Civil,Foundations & Structural,UAE,DM-CONT-86270,Grade B,1986,27,2,1,16652,"DEV0016,DEV0007",84.9,89.3,1.3,94.5,59.2,3.7,60,2028-12-31,True,False
CONT058,China Main Group 58,Main Contractor,High-Rise Residential,China,DM-CONT-14089,Grade B,2018,8,7,5,17675,"DEV0013,DEV0012,DEV0004",73.1,86.8,14.3,63.6,81.2,3.9,60,2027-12-31,True,False
CONT059,UAE Civil Group 59,Civil,Foundations & Structural,UAE,DM-CONT-50743,Grade B,1993,27,15,3,82757,"DEV0007,DEV0020",67.1,78.3,4.6,77.1,67.2,3.5,45,2028-12-31,True,False
CONT060,UK Civil Group 60,Civil,Foundations & Structural,UK,DM-CONT-71257,Grade C,1992,24,2,5,78244,DEV0009,64.4,82.5,4.7,68.9,100.0,3.5,45,2027-12-31,False,False
CONT061,Turkey Civil Group 61,Civil,Foundations & Structural,Turkey,DM-CONT-52552,Grade A,2007,14,27,2,212734,"DEV0010,DEV0001,DEV0009",50.7,87.8,0.0,62.0,77.7,3.1,60,2028-12-31,True,True
CONT062,UK Façade Group 62,Façade,Curtain Wall & Cladding,UK,DM-CONT-10363,Grade B,1990,19,8,3,42391,"DEV0014,DEV0006",88.7,67.2,16.3,95.4,91.3,4.0,60,2026-12-31,True,False
CONT063,India MEP Group 63,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-57476,Grade B,2006,14,7,4,175769,"DEV0010,DEV0018,DEV0016",54.0,63.8,3.7,76.3,89.3,3.4,90,2027-12-31,True,False
CONT064,India Façade Group 64,Façade,Curtain Wall & Cladding,India,DM-CONT-99143,Grade B,1991,18,35,2,25382,"DEV0020,DEV0008",84.3,68.9,20.9,81.4,100.0,3.2,30,2027-12-31,True,False
CONT065,Egypt Landscaping Group 65,Landscaping,Hardscaping & Irrigation,Egypt,DM-CONT-93677,Grade C,2013,13,8,6,51061,DEV0016,87.4,77.2,8.0,77.2,74.1,2.5,45,2027-12-31,False,False
CONT066,India Interior Group 66,Interior Fit-Out,Luxury Interior Finishing,India,DM-CONT-27919,Grade A,1999,27,12,1,78276,DEV0009,100.0,74.5,18.0,61.5,69.2,3.5,30,2027-12-31,True,False
CONT067,China MEP Group 67,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-17380,Grade C,2006,16,11,3,7609,"DEV0017,DEV0011",79.1,81.4,20.1,81.8,84.6,3.5,60,2026-12-31,False,False
CONT068,China Interior Group 68,Interior Fit-Out,Luxury Interior Finishing,China,DM-CONT-23900,Grade B,1991,31,14,2,18815,DEV0018,66.2,95.9,5.3,65.8,66.3,3.9,45,2026-12-31,True,False
CONT069,UAE Main Group 69,Main Contractor,High-Rise Residential,UAE,DM-CONT-90504,Grade B,2011,10,15,2,27816,"DEV0006,DEV0012,DEV0005",66.6,79.5,16.4,81.8,79.2,3.7,60,2028-12-31,True,False
CONT070,Egypt Civil Group 70,Civil,Foundations & Structural,Egypt,DM-CONT-15256,Grade C,2015,6,12,3,20675,DEV0001,72.7,48.8,1.7,70.8,64.6,4.6,45,2028-12-31,False,False
CONT071,UAE MEP Group 71,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-76965,Grade B,2012,6,2,2,36434,"DEV0002,DEV0009",96.6,76.5,15.6,64.6,54.6,3.0,45,2028-12-31,True,False
CONT072,India MEP Group 72,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-19806,Grade B,2000,10,10,8,29295,"DEV0001,DEV0007,DEV0005",65.4,74.9,4.0,81.1,69.8,2.6,60,2026-12-31,True,False
CONT073,China Interior Group 73,Interior Fit-Out,Luxury Interior Finishing,China,DM-CONT-24506,Grade B,2004,2,25,4,130485,"DEV0013,DEV0015",83.2,74.0,0.9,57.0,100.0,2.4,30,2027-12-31,True,False
CONT074,Turkey Landscaping Group 74,Landscaping,Hardscaping & Irrigation,Turkey,DM-CONT-81682,Grade B,2014,12,25,1,22609,"DEV0018,DEV0020",62.0,88.6,6.3,82.3,82.5,3.2,45,2027-12-31,True,False
CONT075,UK Civil Group 75,Civil,Foundations & Structural,UK,DM-CONT-46190,Grade A,2010,12,30,7,8769,"DEV0004,DEV0007",70.2,69.0,19.0,64.8,88.0,3.9,45,2027-12-31,True,False
CONT076,China Civil Group 76,Civil,Foundations & Structural,China,DM-CONT-31319,Grade A,1990,27,3,2,79311,"DEV0020,DEV0007,DEV0007",40.0,89.7,8.7,87.7,61.5,4.0,90,2026-12-31,True,False
CONT077,UAE Interior Group 77,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-48106,Grade C,2000,3,19,1,29502,DEV0013,56.0,80.3,11.6,80.8,63.7,3.9,45,2028-12-31,False,False
CONT078,South Korea Civil Group 78,Civil,Foundations & Structural,South Korea,DM-CONT-49246,Grade C,2009,13,14,1,12095,DEV0014,72.6,90.7,3.4,62.6,61.5,3.7,30,2027-12-31,False,False
CONT079,Pakistan Main Group 79,Main Contractor,High-Rise Residential,Pakistan,DM-CONT-29647,Grade C,1999,7,11,2,39471,"DEV0004,DEV0012",62.5,72.8,9.1,75.6,96.5,2.5,30,2026-12-31,False,False
CONT080,UAE Main Group 80,Main Contractor,High-Rise Residential,UAE,DM-CONT-82686,Grade B,1990,34,14,1,18529,DEV0008,55.8,72.7,8.4,80.6,72.2,3.9,45,2028-12-31,True,False
CONT081,China Main Group 81,Main Contractor,High-Rise Residential,China,DM-CONT-99376,Grade C,2008,10,8,3,66092,"DEV0003,DEV0009,DEV0009",87.7,80.8,8.2,73.4,60.2,3.2,30,2027-12-31,False,False
CONT082,UAE Main Group 82,Main Contractor,High-Rise Residential,UAE,DM-CONT-26995,Grade B,2016,7,4,1,51219,"DEV0019,DEV0007",70.5,85.1,11.3,63.1,54.6,3.6,60,2027-12-31,True,False
CONT083,China Main Group 83,Main Contractor,High-Rise Residential,China,DM-CONT-48057,Grade B,2008,3,6,4,18734,"DEV0012,DEV0012",97.3,80.1,16.4,62.2,95.7,4.3,60,2026-12-31,True,False
CONT084,China MEP Group 84,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-11614,Grade B,1999,25,12,2,35738,"DEV0016,DEV0005,DEV0004",100.0,65.3,8.5,67.7,67.2,3.8,45,2028-12-31,True,False
CONT085,South Korea Main Group 85,Main Contractor,High-Rise Residential,South Korea,DM-CONT-25615,Grade C,2014,4,29,2,73549,"DEV0008,DEV0003",76.3,44.4,0.0,88.4,71.0,3.2,60,2027-12-31,False,False
CONT086,UAE Interior Group 86,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-59469,Grade B,1996,21,38,6,137224,"DEV0010,DEV0010,DEV0015",78.2,62.5,3.7,91.4,66.0,2.7,45,2026-12-31,True,False
CONT087,UAE Civil Group 87,Civil,Foundations & Structural,UAE,DM-CONT-88258,Grade A,2012,2,2,6,54395,"DEV0018,DEV0008",57.6,93.4,8.1,66.4,66.8,3.9,60,2028-12-31,True,False
CONT088,Egypt Landscaping Group 88,Landscaping,Hardscaping & Irrigation,Egypt,DM-CONT-53170,Grade A,2017,5,2,8,54699,"DEV0003,DEV0020,DEV0020",100.0,37.5,13.5,59.7,71.7,3.2,30,2028-12-31,True,False
CONT089,Germany Façade Group 89,Façade,Curtain Wall & Cladding,Germany,DM-CONT-66583,Grade A,2008,6,6,3,29032,"DEV0012,DEV0004",92.7,76.1,10.4,58.1,85.5,4.3,45,2028-12-31,True,False
CONT090,UAE Façade Group 90,Façade,Curtain Wall & Cladding,UAE,DM-CONT-78467,Grade A,2000,23,14,4,9538,"DEV0004,DEV0015",68.5,87.2,2.1,89.3,89.8,4.3,30,2027-12-31,True,False
CONT091,UAE Interior Group 91,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-76184,Grade C,2010,1,17,3,36753,"DEV0015,DEV0018,DEV0004",56.4,54.6,1.9,85.1,93.1,4.4,45,2028-12-31,False,False
CONT092,UAE Main Group 92,Main Contractor,High-Rise Residential,UAE,DM-CONT-76862,Grade B,1999,24,1,3,40887,DEV0003,60.0,54.1,7.4,68.8,74.4,3.2,90,2027-12-31,True,False
CONT093,China Façade Group 93,Façade,Curtain Wall & Cladding,China,DM-CONT-65551,Grade B,1991,14,46,2,19188,"DEV0013,DEV0019,DEV0017",91.7,69.7,0.0,81.9,64.2,4.0,30,2027-12-31,True,False
CONT094,Turkey Main Group 94,Main Contractor,High-Rise Residential,Turkey,DM-CONT-88064,Grade C,2018,2,58,1,18326,"DEV0013,DEV0006,DEV0002",71.0,68.9,0.0,77.6,66.9,2.9,60,2028-12-31,False,False
CONT095,India MEP Group 95,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-73675,Grade A,2005,2,13,2,17479,"DEV0005,DEV0011,DEV0009",87.2,84.9,12.3,59.6,86.6,3.3,45,2026-12-31,True,False
CONT096,UAE MEP Group 96,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-65989,Grade A,2001,17,2,8,49905,"DEV0008,DEV0018,DEV0006",75.1,92.4,14.8,66.0,93.8,3.7,30,2028-12-31,True,False
CONT097,India Main Group 97,Main Contractor,High-Rise Residential,India,DM-CONT-36883,Grade C,2004,5,1,1,6183,"DEV0011,DEV0011,DEV0004",65.7,52.4,8.7,74.8,64.7,4.9,60,2027-12-31,False,False
CONT098,Turkey Civil Group 98,Civil,Foundations & Structural,Turkey,DM-CONT-23180,Grade A,1986,23,20,3,64157,"DEV0005,DEV0017",70.1,95.5,5.2,63.7,87.7,3.3,30,2026-12-31,True,False
CONT099,UAE MEP Group 99,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-78254,Grade A,1999,6,9,1,48350,DEV0006,64.4,88.5,4.2,75.9,75.2,2.9,45,2026-12-31,True,False
CONT100,China Civil Group 100,Civil,Foundations & Structural,China,DM-CONT-57399,Grade B,1990,30,36,3,17072,"DEV0003,DEV0019,DEV0008",58.6,67.4,0.0,67.8,55.9,3.5,90,2027-12-31,True,False
CONT101,China Main Group 101,Main Contractor,High-Rise Residential,China,DM-CONT-52661,Grade A,1996,30,42,1,24010,DEV0019,56.4,47.8,21.6,79.7,96.8,4.0,60,2026-12-31,True,False
CONT102,China MEP Group 102,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-74643,Grade A,2008,17,1,1,138178,DEV0013,60.9,66.1,9.8,82.3,80.3,3.5,30,2026-12-31,True,False
CONT103,UAE Main Group 103,Main Contractor,High-Rise Residential,UAE,DM-CONT-15527,Grade C,2015,7,1,4,30067,"DEV0015,DEV0020,DEV0017",80.3,74.4,4.7,88.8,72.9,4.0,45,2028-12-31,False,False
CONT104,UAE Civil Group 104,Civil,Foundations & Structural,UAE,DM-CONT-95151,Grade C,2000,8,19,3,9588,"DEV0007,DEV0002,DEV0010",47.8,70.3,11.0,64.1,59.9,3.3,60,2026-12-31,False,False
CONT105,Turkey Landscaping Group 105,Landscaping,Hardscaping & Irrigation,Turkey,DM-CONT-62103,Grade B,2006,11,11,4,45007,"DEV0006,DEV0010,DEV0020",69.5,87.2,13.9,81.2,63.3,3.9,90,2028-12-31,True,False
CONT106,UAE Façade Group 106,Façade,Curtain Wall & Cladding,UAE,DM-CONT-19985,Grade B,1989,1,4,2,24381,"DEV0014,DEV0015,DEV0018",63.2,75.0,17.2,84.6,87.3,3.7,45,2026-12-31,True,False
CONT107,India MEP Group 107,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-39928,Grade B,2007,12,5,2,5705,DEV0003,40.0,63.7,12.2,74.1,71.7,3.8,90,2026-12-31,True,False
CONT108,South Korea Façade Group 108,Façade,Curtain Wall & Cladding,South Korea,DM-CONT-45132,Grade C,2013,9,8,2,43460,"DEV0014,DEV0003",87.5,55.0,9.2,79.7,61.9,4.6,45,2028-12-31,False,False
CONT109,India Main Group 109,Main Contractor,High-Rise Residential,India,DM-CONT-70848,Grade B,2002,23,9,3,20545,DEV0018,73.0,64.1,2.4,55.2,75.1,3.3,45,2026-12-31,True,True
CONT110,UAE Façade Group 110,Façade,Curtain Wall & Cladding,UAE,DM-CONT-96267,Grade C,2004,9,3,1,108139,DEV0018,69.4,71.7,11.7,63.9,77.8,3.8,60,2027-12-31,False,False
CONT111,India Landscaping Group 111,Landscaping,Hardscaping & Irrigation,India,DM-CONT-35144,Grade B,1987,20,29,1,31585,"DEV0016,DEV0018,DEV0004",67.9,91.1,19.6,67.7,82.9,2.4,45,2026-12-31,True,False
CONT112,India MEP Group 112,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-24427,Grade A,2018,1,3,2,14032,"DEV0019,DEV0016,DEV0005",54.3,72.8,4.5,85.3,99.8,4.0,60,2027-12-31,True,False
CONT113,China Landscaping Group 113,Landscaping,Hardscaping & Irrigation,China,DM-CONT-75121,Grade B,2014,8,7,2,58419,"DEV0014,DEV0003,DEV0002",68.8,47.0,3.6,80.9,65.0,3.2,30,2028-12-31,True,False
CONT114,UAE Façade Group 114,Façade,Curtain Wall & Cladding,UAE,DM-CONT-94307,Grade A,1986,34,4,3,40187,"DEV0014,DEV0016",74.1,49.2,4.6,55.9,83.8,5.0,45,2026-12-31,True,False
CONT115,UK Main Group 115,Main Contractor,High-Rise Residential,UK,DM-CONT-42027,Grade B,2016,9,6,3,150415,"DEV0004,DEV0005",75.7,79.0,2.2,63.6,73.9,3.4,60,2026-12-31,True,False
CONT116,South Korea Façade Group 116,Façade,Curtain Wall & Cladding,South Korea,DM-CONT-50566,Grade B,2017,2,3,1,24500,"DEV0008,DEV0016",84.8,78.6,15.7,86.0,85.9,4.6,90,2027-12-31,True,False
CONT117,UAE Interior Group 117,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-57416,Grade C,2010,9,17,9,124444,DEV0002,66.7,83.5,9.3,100.0,79.8,3.6,30,2028-12-31,False,False
CONT118,China Main Group 118,Main Contractor,High-Rise Residential,China,DM-CONT-40442,Grade C,2013,7,3,21,64919,"DEV0016,DEV0001",57.0,72.4,15.9,57.4,87.4,3.9,45,2026-12-31,False,False
CONT119,UAE MEP Group 119,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-80449,Grade A,1996,4,7,3,42201,DEV0001,75.5,83.8,0.0,51.9,50.1,3.0,60,2026-12-31,True,False
