record_id,record_date,year,month,emirate,city,locality,property_type,property_category,bedrooms,avg_annual_rent_aed,avg_monthly_rent_aed,avg_rent_per_sqft_aed,gross_rental_yield_pct,property_value_estimate_aed,vacancy_rate_pct,str_occupancy_rate_pct,str_adr_aed,str_revpar_aed,ejari_registrations,rera_standard_rent_aed,rent_increase_pct_yoy,demand_supply_ratio,new_rental_listings
RNT000014,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Raha Beach,Apartment,Premium,3BR,164542,13711,165.05,5.725,2874289,6.03,68.9,1240,854,97,166014,5.8,1.043,29
RNT000015,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Al Marjan Island,Villa,Affordable,1BR,25197,2099,28.77,7.198,350040,13.63,70.2,147,103,74,23386,7.09,1.525,20
RNT000016,2019-01-01,2019,1,Dubai,Dubai,Arabian Ranches,Apartment,Mid-Market,Studio,238993,19916,107.1,7.426,3218325,8.67,68.3,1208,825,4,227098,6.88,1.337,14
RNT000017,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Yas Acres,Apartment,Premium,Studio,108938,9078,117.96,5.632,1934233,6.17,62.2,756,470,130,101627,1.82,1.576,0
RNT000018,2019-01-01,2019,1,Dubai,Dubai,Al Furjan,Apartment,Mid-Market,3BR,81760,6813,105.01,7.322,1116678,21.25,56.2,617,346,73,81570,-1.65,0.835,0
RNT000019,2019-01-01,2019,1,Dubai,Dubai,Arabian Ranches,Apartment,Luxury,Studio,440867,36738,242.79,5.692,7745670,11.03,64.9,2930,1901,120,409833,4.41,1.473,47
RNT000020,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Mina Al Arab,Villa,Luxury,1BR,254246,21187,145.6,4.811,5284395,7.93,64.8,1546,1001,164,263920,4.93,1.507,31
RNT000021,2019-01-01,2019,1,Dubai,Dubai,Meydan,Apartment,Mid-Market,1BR,233072,19422,110.58,7.669,3039153,10.08,70.8,1779,1259,73,228353,-1.06,0.906,61
RNT000022,2019-01-01,2019,1,Sharjah,Sharjah,Al Qasimia,Apartment,Affordable,2BR,78753,6562,64.91,7.997,984783,13.78,58.7,615,361,181,72383,3.31,0.942,76
RNT000023,2019-01-01,2019,1,Dubai,Dubai,Downtown Dubai,Apartment,Mid-Market,2BR,222642,18553,76.29,7.062,3152663,18.78,63.9,1507,962,10,221443,6.41,1.465,74
RNT000024,2019-01-01,2019,1,Dubai,Dubai,Dubai South,Apartment,Mid-Market,2BR,75394,6282,77.06,6.783,1111574,15.49,71.8,578,415,1,68281,7.02,1.508,70
RNT000025,2019-01-01,2019,1,Dubai,Dubai,Dubai Marina,Villa,Mid-Market,Studio,83360,6946,111.7,7.754,1075012,21.52,57.7,693,399,57,80171,3.32,0.824,6
RNT000026,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Masdar City,Apartment,Mid-Market,1BR,139359,11613,68.58,6.788,2053134,15.35,62.2,1202,747,329,130395,1.75,1.334,42
RNT000027,2019-01-01,2019,1,Dubai,Dubai,Arabian Ranches,Studio,Premium,3BR,217635,18136,137.45,6.873,3166523,7.65,65.6,1104,724,4,228071,5.73,1.365,27
RNT000028,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,Apartment,Premium,1BR,176835,14736,134.63,5.581,3168719,13.8,59.5,966,574,223,182276,7.15,0.911,21
RNT000029,2019-01-01,2019,1,Dubai,Dubai,Discovery Gardens,Apartment,Affordable,3BR,119621,9968,59.56,8.334,1435305,21.92,75.7,608,460,4,115472,4.22,1.521,32
RNT000030,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Reem Island,Apartment,Luxury,1BR,122770,10230,186.79,4.744,2587811,20.41,59.4,778,462,191,123642,8.37,0.986,62
RNT000031,2019-01-01,2019,1,Dubai,Dubai,Dubai Creek Harbour,Apartment,Luxury,Studio,639266,53272,243.4,5.723,11170194,19.03,63.9,4445,2840,99,596412,2.7,1.555,65
RNT000032,2019-01-01,2019,1,Dubai,Dubai,Meydan,Townhouse,Affordable,2BR,39563,3296,31.95,6.893,573966,8.99,58.5,231,135,23,40172,-6.7,1.081,20
RNT000033,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Corniche,Apartment,Mid-Market,Studio,70059,5838,57.67,5.887,1190129,21.26,64.4,559,359,78,71387,5.36,0.942,62
RNT000034,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Yas Acres,Townhouse,Mid-Market,2BR,236842,19736,81.57,6.851,3456850,19.61,69.3,1616,1119,37,229246,4.87,0.829,12
RNT000035,2019-01-01,2019,1,Dubai,Dubai,DAMAC Hills,Apartment,Mid-Market,3BR,117730,9810,59.79,6.405,1838144,5.9,62.1,875,543,77,117234,7.25,1.162,61
RNT000036,2019-01-01,2019,1,Sharjah,Sharjah,Al Majaz,Villa,Luxury,2BR,319960,26663,154.64,4.735,6756940,6.61,59.2,2181,1291,91,301771,5.44,1.112,8
RNT000037,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Reef,Villa,Luxury,3BR,503821,41985,222.79,4.745,10618484,16.32,75.2,3148,2367,265,473990,8.11,1.064,1
RNT000038,2019-01-01,2019,1,Dubai,Dubai,Al Furjan,Townhouse,Premium,2BR,122730,10227,167.68,6.492,1890394,15.1,61.6,781,481,148,119984,6.25,1.185,5
RNT000039,2019-01-01,2019,1,Dubai,Dubai,Palm Jumeirah,Apartment,Affordable,2BR,97584,8132,33.26,7.155,1363868,13.99,74.6,624,465,129,95836,5.25,1.047,16
RNT000040,2019-01-01,2019,1,Dubai,Dubai,Arabian Ranches,Townhouse,Mid-Market,2BR,142599,11883,77.59,6.283,2269774,17.61,72.1,824,594,35,143054,4.88,1.484,89
RNT000041,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Hayat Island,Studio,Luxury,1BR,265847,22153,197.06,4.412,6025220,15.56,57.9,1617,936,128,258145,0.76,1.395,3
RNT000042,2019-01-01,2019,1,Dubai,Dubai,Sports City,Apartment,Mid-Market,Studio,195122,16260,104.5,7.567,2578621,10.34,75.3,1151,866,47,197047,5.85,1.182,40
RNT000043,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Mina Al Arab,Apartment,Premium,3BR,414212,34517,147.41,5.078,8157705,9.37,76.9,3236,2488,32,406179,1.94,1.176,19
RNT000044,2019-01-01,2019,1,Dubai,Dubai,Arabian Ranches,Apartment,Affordable,5BR+,75101,6258,53.52,7.833,958811,11.77,68.6,428,293,125,77834,0.81,1.381,55
RNT000045,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Khalifa City,Apartment,Premium,4BR,118273,9856,141.53,5.251,2252264,11.47,58.3,949,553,32,120701,0.32,1.371,20
RNT000046,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Al Hamra Village,Apartment,Ultra-Luxury,2BR,923942,76995,370.34,3.673,25153714,15.83,61.7,5511,3400,96,837777,0.9,0.82,18
RNT000047,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Al Marjan Island,Apartment,Premium,1BR,71829,5985,111.74,5.718,1256236,17.22,63.6,627,398,37,72493,9.69,1.458,59
RNT000048,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Shamkha,Apartment,Affordable,4BR,60292,5024,40.54,6.564,918591,14.24,69.2,461,319,78,57319,1.3,1.447,23
RNT000049,2019-01-01,2019,1,Dubai,Dubai,Dubai Hills Estate,Studio,Premium,1BR,586178,48848,198.75,6.885,8513987,21.06,80.6,4124,3323,21,537258,6.13,1.579,24
RNT000050,2019-01-01,2019,1,Dubai,Dubai,Downtown Dubai,Villa,Luxury,2BR,566221,47185,340.08,5.301,10681898,7.62,66.6,4334,2886,15,587870,-0.63,0.701,5
RNT000051,2019-01-01,2019,1,Dubai,Dubai,Downtown Dubai,Apartment,Mid-Market,2BR,51826,4318,77.95,6.347,816514,8.99,57.5,440,252,9,52036,0.21,1.273,232
RNT000052,2019-02-01,2019,2,Ras Al Khaimah,Ras Al Khaimah,Al Hamra Village,Studio,Premium,3BR,69269,5772,136.93,5.131,1350022,20.69,74.3,401,297,228,69850,-1.79,1.524,186
RNT000053,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Al Reef,Apartment,Mid-Market,2BR,103973,8664,52.71,5.988,1736435,5.59,73.7,588,433,86,98720,6.71,1.564,56
RNT000054,2019-02-01,2019,2,Dubai,Dubai,Discovery Gardens,Villa,Mid-Market,Studio,166247,13853,69.85,7.253,2292012,19.87,55.6,1392,773,211,173578,9.15,1.546,10
RNT000055,2019-02-01,2019,2,Dubai,Dubai,Sports City,Apartment,Mid-Market,3BR,214626,17885,81.8,7.325,2929978,21.12,71.8,1610,1155,120,216450,2.71,1.329,40
RNT000056,2019-02-01,2019,2,Dubai,Dubai,Dubai Marina,Apartment,Mid-Market,1BR,307339,25611,112.37,7.749,3966374,15.27,79.5,2370,1884,27,315154,3.56,0.885,12
RNT000057,2019-02-01,2019,2,Dubai,Dubai,Dubai Creek Harbour,Apartment,Mid-Market,2BR,218992,18249,83.96,6.979,3138086,7.41,73.9,1205,890,70,225422,6.44,1.098,17
RNT000058,2019-02-01,2019,2,Dubai,Dubai,Al Barsha,Apartment,Mid-Market,Studio,212304,17692,90.23,6.833,3106995,13.16,61.6,1357,835,122,218443,2.0,1.55,7
RNT000059,2019-02-01,2019,2,Sharjah,Sharjah,Al Nahda,Studio,Affordable,Studio,35205,2933,24.6,7.603,463033,8.59,59.0,192,113,94,32694,3.82,1.271,0
RNT000060,2019-02-01,2019,2,Dubai,Dubai,Al Furjan,Apartment,Premium,2BR,307943,25661,120.99,6.995,4402580,18.98,69.1,1661,1147,1,306936,-2.21,1.461,1
RNT000061,2019-02-01,2019,2,Dubai,Dubai,Palm Jumeirah,Villa,Premium,2BR,122988,10249,149.37,6.933,1773923,18.09,56.4,683,385,403,126063,-0.61,1.413,2
RNT000062,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Al Ghadeer,Apartment,Luxury,2BR,432443,36036,188.74,5.281,8188101,10.85,68.9,2237,1541,28,415118,8.19,1.039,30
RNT000063,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Yas Island,Apartment,Mid-Market,3BR,71330,5944,66.76,6.151,1159635,10.43,70.5,612,431,5,70727,3.12,1.249,113
RNT000064,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Al Reef,Villa,Mid-Market,2BR,44940,3745,74.79,6.56,685058,16.46,75.3,361,271,27,43509,6.56,1.534,38
RNT000065,2019-02-01,2019,2,Dubai,Dubai,Dubai Creek Harbour,Apartment,Premium,1BR,359783,29981,155.5,7.054,5100273,21.28,66.9,2177,1456,94,353122,3.27,0.853,47
RNT000066,2019-02-01,2019,2,Dubai,Dubai,Dubai Hills Estate,Apartment,Luxury,Studio,954424,79535,323.09,6.063,15740773,18.69,60.8,6485,3942,104,904401,1.79,1.408,32
RNT000067,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Khalifa City,Apartment,Luxury,4BR,620102,51675,342.91,5.401,11481615,7.39,72.5,4394,3185,113,582360,7.78,1.143,16
RNT000068,2019-02-01,2019,2,Sharjah,Sharjah,Al Khan,Apartment,Mid-Market,Studio,184061,15338,89.55,7.352,2503633,18.12,56.8,1575,894,386,191210,-1.22,1.082,10
RNT000069,2019-02-01,2019,2,Dubai,Dubai,Al Barsha,Apartment,Affordable,2BR,88477,7373,48.61,7.553,1171394,16.35,77.7,543,421,105,92193,7.93,1.252,1
RNT000070,2019-02-01,2019,2,Ras Al Khaimah,Ras Al Khaimah,Hayat Island,Apartment,Mid-Market,1BR,107100,8925,59.99,6.353,1685828,10.66,74.7,904,675,170,107379,6.86,1.422,22
RNT000071,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Al Shamkha,Apartment,Mid-Market,2BR,241829,20152,82.35,6.468,3738951,19.72,57.9,1849,1070,29,252765,1.33,1.02,18
RNT000072,2019-02-01,2019,2,Dubai,Dubai,Sports City,Studio,Mid-Market,5BR+,150367,12530,83.83,6.976,2155379,19.39,59.3,1025,607,105,156849,3.62,0.954,6
RNT000073,2019-02-01,2019,2,Sharjah,Sharjah,Al Taawun,Apartment,Affordable,1BR,32092,2674,36.95,8.034,399467,14.12,63.7,205,130,124,31714,4.54,1.406,18
RNT000074,2019-02-01,2019,2,Dubai,Dubai,MBR City,Apartment,Affordable,3BR,95897,7991,34.09,6.985,1372814,13.69,58.0,630,365,46,100098,5.89,0.8,8
RNT000075,2019-02-01,2019,2,Sharjah,Sharjah,Al Nahda,Townhouse,Premium,2BR,262785,21898,120.24,6.243,4209503,9.03,56.7,1670,946,3,260694,6.93,0.963,48
RNT000076,2019-02-01,2019,2,Dubai,Dubai,Meydan,Studio,Affordable,3BR,71500,5958,45.08,7.718,926380,17.43,76.7,515,395,63,69518,8.11,1.171,72
RNT000077,2019-02-01,2019,2,Dubai,Dubai,Motor City,Apartment,Premium,Studio,103994,8666,100.64,6.42,1619746,17.07,75.7,723,547,4,100135,3.54,0.795,20
RNT000078,2019-02-01,2019,2,Dubai,Dubai,Business Bay,Studio,Mid-Market,Studio,80211,6684,97.96,7.182,1116892,10.58,79.5,420,333,61,72814,-0.4,1.367,26
RNT000079,2019-02-01,2019,2,Dubai,Dubai,Discovery Gardens,Townhouse,Affordable,1BR,155566,12963,61.56,8.201,1896947,16.31,67.9,795,539,113,141036,4.25,0.876,10
RNT000080,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Masdar City,Villa,Ultra-Luxury,3BR,378158,31513,385.82,4.649,8134282,11.34,78.8,2347,1849,245,344186,-0.18,0.987,201
RNT000081,2019-02-01,2019,2,Ras Al Khaimah,Ras Al Khaimah,Al Marjan Island,Studio,Affordable,2BR,50638,4219,20.66,6.52,776630,13.28,68.3,264,180,205,50469,4.49,1.29,30
RNT000082,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Saadiyat Island,Villa,Mid-Market,2BR,229085,19090,89.77,6.38,3590490,10.24,55.2,1332,735,147,229882,6.64,0.879,32
RNT000083,2019-02-01,2019,2,Dubai,Dubai,Motor City,Villa,Premium,3BR,301460,25121,150.09,5.789,5207557,9.31,73.3,2204,1615,29,311921,5.7,0.958,22
RNT000084,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Al Reef,Apartment,Luxury,Studio,215570,17964,167.54,4.683,4602984,16.45,65.8,1244,818,111,209177,2.18,0.747,27
RNT000085,2019-02-01,2019,2,Sharjah,Sharjah,Al Nahda,Studio,Mid-Market,Studio,132994,11082,63.47,7.219,1842344,14.87,64.6,1036,669,21,128740,6.68,1.17,18
RNT000086,2019-02-01,2019,2,Dubai,Dubai,Discovery Gardens,Studio,Premium,2BR,500584,41715,168.05,6.421,7796547,7.4,65.0,2832,1840,432,472392,-0.46,1.213,12
RNT000087,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Saadiyat Island,Villa,Affordable,2BR,52485,4373,41.73,7.07,742336,7.63,55.6,368,204,80,51207,5.71,0.731,61
RNT000088,2019-02-01,2019,2,Dubai,Dubai,Meydan,Apartment,Affordable,1BR,100993,8416,44.81,8.257,1223182,12.09,68.0,613,416,73,104545,4.24,0.84,69
RNT000089,2019-02-01,2019,2,Dubai,Dubai,Business Bay,Apartment,Premium,2BR,256135,21344,159.66,5.733,4468011,9.05,63.0,2137,1346,272,243089,7.4,0.743,24
RNT000090,2019-02-01,2019,2,Dubai,Dubai,DAMAC Hills,Villa,Luxury,2BR,323736,26978,260.56,6.483,4993928,16.37,69.4,2861,1985,100,309584,4.44,1.208,45
RNT000091,2019-02-01,2019,2,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,Townhouse,Affordable,3BR,104699,8724,46.95,6.649,1574558,19.14,80.8,759,613,96,107857,9.14,1.598,135
RNT000092,2019-02-01,2019,2,Dubai,Dubai,Al Furjan,Villa,Mid-Market,1BR,62910,5242,69.34,6.688,940582,21.32,64.7,459,296,116,61510,5.37,0.998,30
RNT000093,2019-02-01,2019,2,Dubai,Dubai,Dubai Hills Estate,Apartment,Premium,Studio,248861,20738,169.22,6.145,4049904,9.32,64.4,1739,1119,42,259297,3.44,1.154,206
RNT000094,2019-02-01,2019,2,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,Studio,Premium,5BR+,181625,15135,92.2,5.552,3271111,17.01,64.4,1247,803,66,171946,-0.05,1.307,5
RNT000095,2019-02-01,2019,2,Ras Al Khaimah,Ras Al Khaimah,Al Hamra Village,Apartment,Premium,3BR,143085,11923,74.06,4.933,2900634,13.59,80.3,1085,871,199,140995,0.48,1.182,104
RNT000096,2019-02-01,2019,2,Dubai,Dubai,Motor City,Townhouse,Mid-Market,2BR,169270,14105,73.82,7.502,2256301,14.44,65.3,1091,712,273,169442,6.67,1.033,140
RNT000097,2019-02-01,2019,2,Dubai,Dubai,Dubai Marina,Townhouse,Mid-Market,2BR,99907,8325,67.38,6.638,1504995,8.86,58.6,771,451,174,97316,3.95,0.91,5
RNT000098,2019-02-01,2019,2,Dubai,Dubai,Dubai Hills Estate,Apartment,Luxury,3BR,1007505,83958,336.68,5.747,17530168,8.4,75.7,7689,5820,61,1050146,5.85,0.926,27
RNT000099,2019-02-01,2019,2,Abu Dhabi,Abu Dhabi,Masdar City,Villa,Mid-Market,2BR,109620,9135,53.2,5.897,1859024,5.21,57.5,664,381,44,107966,0.99,1.17,41
RNT000100,2019-02-01,2019,2,Dubai,Dubai,Dubai South,Villa,Premium,5BR+,302569,25214,153.95,6.389,4735608,15.75,79.7,2031,1618,3,286052,5.25,1.457,15
RNT000101,2019-02-01,2019,2,Dubai,Dubai,Dubai Hills Estate,Townhouse,Mid-Market,1BR,69456,5788,82.3,7.04,986643,10.23,65.6,616,404,56,64793,1.36,0.848,26
RNT000102,2019-02-01,2019,2,Dubai,Dubai,Al Furjan,Villa,Premium,3BR,227765,18980,108.54,7.204,3161731,15.88,61.4,1417,870,210,209624,1.26,1.479,19
RNT000103,2019-03-01,2019,3,Dubai,Dubai,JVC,Villa,Mid-Market,2BR,218140,18178,103.23,7.309,2984663,18.29,70.7,1395,986,62,216051,8.85,1.475,48
RNT000104,2019-03-01,2019,3,Dubai,Dubai,Dubai Hills Estate,Villa,Affordable,1BR,69326,5777,43.61,6.902,1004483,5.96,78.9,356,280,111,66040,7.24,1.093,27
RNT000105,2019-03-01,2019,3,Dubai,Dubai,JVC,Villa,Mid-Market,1BR,201868,16822,72.3,6.455,3127194,6.58,71.9,1115,801,246,192271,2.94,1.044,86
RNT000106,2019-03-01,2019,3,Sharjah,Sharjah,Al Nahda,Apartment,Premium,Studio,336241,28020,150.94,6.268,5364589,9.94,78.4,2122,1663,7,313634,5.78,1.407,29
RNT000107,2019-03-01,2019,3,Dubai,Dubai,JVC,Apartment,Luxury,2BR,224777,18731,385.94,5.908,3804904,18.09,55.2,1557,859,2,229916,2.36,0.939,67
RNT000108,2019-03-01,2019,3,Dubai,Dubai,DAMAC Hills,Townhouse,Mid-Market,1BR,86763,7230,69.43,6.199,1399714,16.23,71.7,643,461,64,82876,2.22,1.55,8
RNT000109,2019-03-01,2019,3,Dubai,Dubai,Palm Jumeirah,Apartment,Premium,1BR,116978,9748,114.09,7.136,1639307,12.62,61.5,735,452,150,117633,3.1,1.295,53
RNT000110,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Al Ghadeer,Townhouse,Premium,4BR,226105,18842,95.76,5.899,3833254,18.86,71.3,1452,1035,50,230770,4.6,1.353,4
RNT000111,2019-03-01,2019,3,Dubai,Dubai,MBR City,Apartment,Luxury,1BR,835432,69619,379.1,6.219,13433510,21.31,81.9,4664,3819,114,803148,6.66,1.315,17
RNT000112,2019-03-01,2019,3,Dubai,Dubai,Al Barsha,Studio,Luxury,3BR,323757,26979,337.84,5.499,5887490,21.89,68.6,1865,1279,90,328659,-1.09,1.325,25
RNT000113,2019-03-01,2019,3,Ras Al Khaimah,Ras Al Khaimah,Mina Al Arab,Villa,Affordable,1BR,31887,2657,51.42,6.338,503083,9.63,76.0,223,169,98,31790,0.76,1.237,5
RNT000114,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Yas Island,Townhouse,Mid-Market,2BR,75092,6257,77.19,5.577,1346440,10.62,65.4,657,429,27,70596,1.03,0.723,10
RNT000115,2019-03-01,2019,3,Dubai,Dubai,Dubai Hills Estate,Apartment,Premium,4BR,87819,7318,114.85,6.266,1401590,18.18,71.5,536,383,426,91415,9.89,1.259,61
RNT000116,2019-03-01,2019,3,Dubai,Dubai,Dubai Marina,Apartment,Affordable,2BR,74047,6170,57.27,6.757,1095860,17.53,60.9,502,305,27,73595,6.18,1.248,2
RNT000117,2019-03-01,2019,3,Sharjah,Sharjah,Muwaileh,Apartment,Premium,1BR,311583,25965,190.78,6.565,4746382,19.79,71.2,2310,1644,167,286009,1.4,0.869,0
RNT000118,2019-03-01,2019,3,Dubai,Dubai,Sports City,Apartment,Mid-Market,4BR,49438,4119,94.1,6.363,776929,8.66,70.3,410,288,305,44801,2.51,0.753,1
RNT000119,2019-03-01,2019,3,Sharjah,Sharjah,Al Taawun,Apartment,Affordable,2BR,152545,12712,52.23,6.738,2263993,5.18,57.6,1352,778,115,141047,3.65,1.14,57
RNT000120,2019-03-01,2019,3,Dubai,Dubai,Meydan,Apartment,Premium,3BR,126865,10572,127.74,6.538,1940314,18.74,71.4,1021,728,213,117742,11.98,1.102,60
RNT000121,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Khalifa City,Apartment,Luxury,1BR,619589,51632,229.73,5.17,11984727,17.26,77.9,3630,2827,81,576789,7.12,1.528,51
RNT000122,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Al Shamkha,Villa,Luxury,2BR,679828,56652,290.81,4.652,14613972,19.81,68.1,4703,3202,110,674683,4.59,1.228,19
RNT000123,2019-03-01,2019,3,Dubai,Dubai,Business Bay,Townhouse,Luxury,3BR,256324,21360,196.7,5.918,4330991,14.03,81.8,2108,1724,544,242781,6.28,1.414,22
RNT000124,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Masdar City,Studio,Affordable,3BR,31052,2587,23.8,6.268,495383,14.61,80.1,253,202,1,29068,5.15,0.866,19
RNT000125,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Al Shamkha,Townhouse,Luxury,2BR,706286,58857,328.32,5.467,12919128,9.85,80.3,3956,3176,47,681163,3.05,1.536,39
RNT000126,2019-03-01,2019,3,Dubai,Dubai,Sports City,Apartment,Premium,3BR,137757,11479,114.28,5.74,2399774,18.76,63.0,987,621,22,127816,5.05,1.229,20
RNT000127,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Yas Island,Apartment,Mid-Market,3BR,101739,8478,97.47,6.639,1532406,6.44,76.9,828,636,40,97595,7.71,1.28,129
RNT000128,2019-03-01,2019,3,Dubai,Dubai,Downtown Dubai,Apartment,Luxury,2BR,512832,42736,283.46,6.115,8387042,13.25,66.0,3619,2388,10,536897,1.62,0.947,1
RNT000129,2019-03-01,2019,3,Dubai,Dubai,Motor City,Apartment,Mid-Market,2BR,68563,5713,84.05,6.735,1018062,16.27,72.5,352,255,87,68659,7.43,0.992,40
RNT000130,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Yas Island,Apartment,Mid-Market,1BR,226155,18846,91.93,6.753,3349167,10.75,56.5,1301,735,166,208647,4.99,1.113,3
RNT000131,2019-03-01,2019,3,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,Townhouse,Affordable,3BR,33056,2754,27.51,6.172,535610,20.08,59.5,173,102,766,30027,4.92,1.397,62
RNT000132,2019-03-01,2019,3,Dubai,Dubai,Al Barsha,Townhouse,Mid-Market,Studio,112642,9386,65.72,6.921,1627530,20.8,76.9,943,725,56,108285,4.6,0.779,12
RNT000133,2019-03-01,2019,3,Abu Dhabi,Abu Dhabi,Yas Island,Apartment,Mid-Market,2BR,205054,17087,88.19,6.582,3115294,18.9,57.1,1518,866,11,197702,5.22,0.961,70
RNT000134,2019-03-01,2019,3,Sharjah,Sharjah,Al Nahda,Studio,Premium,1BR,335138,27928,150.63,6.381,5251960,11.97,65.1,1748,1137,216,332722,2.84,1.562,31
RNT000135,2019-03-01,2019,3,Dubai,Dubai,Dubai South,Apartment,Affordable,4BR,53757,4479,50.65,7.753,693353,8.07,62.5,314,196,33,49807,1.88,0.765,90
RNT000136,2019-03-01,2019,3,Ras Al Khaimah,Ras Al Khaimah,Mina Al Arab,Studio,Premium,3BR,132164,11013,89.1,5.056,2613864,6.14,78.7,1052,827,32,137628,4.62,0.951,11
RNT000137,2019-03-01,2019,3,Dubai,Dubai,Sports City,Apartment,Premium,1BR,315904,26325,204.0,6.964,4536005,15.24,64.8,2274,1473,163,304974,1.52,0.844,11
