ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
AE-0033,heliport,Paragon Bay Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.4898, 54.39109"
AE-0034,heliport,Paragon Bay North Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.49421, 54.39376"
AE-0035,heliport,Sea Palace Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46919, 54.41083"
AE-0036,heliport,Qasr al Bahr Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46465, 54.40819"
AE-0037,heliport,Rixos Palm Jumeirah Heliport,,AS,AE,AE-DU,Palm Jumeirah,,,,,"25.11907, 55.15236"
AE-0038,heliport,Waldorf Astoria Dubai Palm Jumeirah Helipad,,AS,AE,AE-DU,Palm Jumeirah,,,,,"25.13335, 55.15038"
AE-0039,heliport,Ajman Heliport,,AS,AE,AE-AJ,Ajman,,,,,"25.400838, 55.440029"
AE-0040,heliport,Safiya Beach Palace Heliport,,AS,AE,AE-AJ,Ajman,,,,,"25.424981, 55.471788"
AE-0041,heliport,Umm al-Quwain Government Heliport,23.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.513418, 55.592879"
AE-0042,heliport,Sheikh Khalifa Hall Heliport,26.0,AS,AE,AE-UQ,Al Salamah,,,,,"25.506541, 55.597667"
AE-0043,heliport,Sharjah Government Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.35626, 55.425642"
AE-0044,heliport,Al Dana Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.3344, 55.388949"
AE-0045,heliport,Al Batha Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.334192, 55.389197"
AE-0046,heliport,Gulf Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.335051, 55.38877"
AE-0047,heliport,United Arab Bank Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.335952, 55.38784"
AE-0048,heliport,Sultaco Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.337221, 55.388855"
AE-0049,heliport,Sharjah Police Heliport,,AS,AE,AE-SH,Sharjah,,,,,"25.325378, 55.462331"
AE-0050,heliport,Ajman Palace Heliport,,AS,AE,AE-AJ,Ajman,,,,,"25.394986, 55.441451"
AE-0051,heliport,Sharjah Heliport,,AS,AE,AE-SH,Sharjah,,,,,"25.343769, 55.374724"
AE-0052,heliport,Al Saud Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.363744, 55.391514"
AE-0053,heliport,Al Majarrah Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.363914, 55.391653"
AE-0054,heliport,Al Falasi Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.363779, 55.392614"
AE-0055,heliport,Bel Rasheed Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.342979, 55.385882"
AE-0056,heliport,Al Ferasa Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.342531, 55.386467"
AE-0057,heliport,Golden Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.341498, 55.385799"
AE-0058,heliport,Latifa Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.338862, 55.386517"
AE-0059,heliport,Ali Al Qubaisi Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.338382, 55.387252"
AE-0060,heliport,Saleh bin Lahej Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.337328, 55.38774"
AE-0061,heliport,Crystal Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.337354, 55.387194"
AE-0062,heliport,Buheira Building Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.33234, 55.390495"
AE-0063,heliport,Business Tower Sharjah Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.32954, 55.391399"
AE-0064,heliport,Al Majaz Pearl Tower Helipad,,AS,AE,AE-SH,Sharjah,,,,,"25.329317, 55.391708"
AE-0065,small_airport,Camp Falaj Hazzaa Airfield,,AS,AE,AE-AZ,Al Ain,,,,,"24.189055, 55.715891"
AE-0066,heliport,Technology College Helipad,,AS,AE,AE-AZ,Al Ain,,,,,"24.173952, 55.720791"
AE-0067,heliport,Al Sarouj Helipad,,AS,AE,AE-AZ,Al Sarouj,,,,,"24.204892, 55.78561"
AE-0068,heliport,Sheikh Khalifa Palace Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.22204, 55.756117"
AE-0069,heliport,Al Ain Police Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.233273, 55.741654"
AE-0070,heliport,Sheikh Khalifa Mosque Heliport,,AS,AE,AE-AZ,Al Mu'tarid,,,,,"24.226351, 55.745309"
AE-0071,heliport,Al Jimi Civic Center Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.240232, 55.737016"
AE-0072,heliport,Qasr al Sarab Desert Resort Heliport,,AS,AE,AE-AZ,Al Mirayar,,,,,"22.898675, 54.339185"
AE-0073,heliport,Qasr al Sarab Royal Pavilion Heliport,,AS,AE,AE-AZ,Al Mirayar,,,,,"22.894094, 54.334232"
AE-0074,heliport,Bateen Liwa Heliport,,AS,AE,AE-AZ,Bateen Liwa,,,,,"22.971717, 53.971761"
AE-0075,heliport,Asab Heliport,,AS,AE,AE-AZ,Asab,,,,,"23.299648, 54.223716"
AE-0076,heliport,Asab Clinic Heliport,,AS,AE,AE-AZ,Asab,,,,,"23.296093, 54.227364"
AE-0077,heliport,Al Ain Tawam Hospital North Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.197767, 55.647577"
AE-0078,heliport,Al Ain Tawam Hospital South Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.193627, 55.649822"
AE-0079,heliport,Al Maqam Heliport,,AS,AE,AE-AZ,Al Maqam,,,,,"24.172039, 55.64404"
AE-0080,heliport,Al Ain Feed Mill Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.339833, 55.751537"
AE-0081,heliport,Mezyad Police Heliport,,AS,AE,AE-AZ,Al Ain,,,,,"24.028763, 55.846326"
AE-0082,heliport,Al Husayn Border Crossing Helipad,,AS,AE,AE-RK,Al Husayn,,,,,"24.877845, 56.277941"
AE-0083,heliport,Khatmat Malaha Bording Crossing Helipad,,AS,AE,AE-SH,Kalba,,,,,"24.983315, 56.36033"
AE-0084,heliport,Fujairah Naval Heliport,,AS,AE,AE-FU,Fujairah,,,,,"25.254273, 56.36275"
AE-0085,heliport,Masafi Heliport,,AS,AE,AE-RK,Masafi,,,,,"25.297628, 56.168715"
AE-0086,small_airport,Abu Al Abyad Airfield,20.0,AS,AE,AE-AZ,Abu Al Abyad,,,,,"24.182347, 53.867532"
AE-0087,heliport,Khardal Heliport,20.0,AS,AE,AE-AZ,Khardal,,,,,"24.435946, 51.543313"
AE-0088,small_airport,Nad Al Sheba Airport,38.0,AS,AE,AE-DU,Dubai,,,,,"25.11475, 55.29435"
AE-0089,small_airport,Ghantoot Naval Airfield,7.0,AS,AE,AE-AZ,Ghadeer Al Tayr,,,,,"24.88443, 54.84281"
AE-0090,small_airport,Marawah Airport,20.0,AS,AE,AE-AZ,Marawah,,,,,"24.27215, 53.32545"
AE-0091,small_airport,Lower Yasat Island Airport,,AS,AE,AE-AZ,Al-Yasat,OMAY,,,OMAY,"24.18884, 51.99655"
AE-0092,small_airport,Ras Ghumais Air Base,125.0,AS,AE,AE-AZ,Ras Ghumais,,,,,"24.34092, 51.60276"
AE-0093,heliport,Dr. Sultan Al Qasimi Centre Heliport,56.0,AS,AE,AE-SH,University City,,,,,"25.281026, 55.468881"
AE-0094,heliport,Higher Colleges of Technology Heliport,59.0,AS,AE,AE-SH,University City,,,,,"25.2925, 55.47717"
AE-0095,heliport,Dubai Safari Park Heliport,144.0,AS,AE,AE-DU,Wadi Al Amardi,,,,,"25.17426, 55.45979"
AE-0096,heliport,Al Sila Hospital Heliport,138.0,AS,AE,AE-AZ,Baya al Sila,,,,,"24.0433, 51.75707"
AE-0097,heliport,Barakah Nuclear Power Plant Heliport,20.0,AS,AE,AE-AZ,Barakah,,,,,"23.96345, 52.24415"
AE-0098,heliport,Barakah ENEC Heliport,13.0,AS,AE,AE-AZ,Barakah,,,,,"23.97948, 52.26672"
AE-0099,heliport,Barakah East Heliport,20.0,AS,AE,AE-AZ,Barakah,,,,,"23.98029, 52.27436"
AE-0100,heliport,Bu Tinah Heliport,,AS,AE,AE-AZ,Bu Tinah Island,,,,,"24.628764, 53.048079"
AE-0101,heliport,Mubarraz Island Heliport,13.0,AS,AE,AE-AZ,Mubarraz Island,,,,,"24.45684, 53.37373"
AE-0102,heliport,Salahah Heliport,7.0,AS,AE,AE-AZ,Salahah Island,,,,,"24.2008, 53.53772"
AE-0103,heliport,Ras Bu Kushayshah Heliport,16.0,AS,AE,AE-AZ,Al Aryam Island,,,,,"24.30378, 54.18142"
AE-0104,heliport,Qassar Bu Sheyarrah Heliport,,AS,AE,AE-AZ,Al Futaisi,,,,,"24.37842, 54.34751"
AE-0105,heliport,Ghayathi New Community Hospital Heliport,210.0,AS,AE,AE-AZ,Ghayathi,,,,,"23.89833, 52.80321"
AE-0106,heliport,Al Mirfa Hospital Heliport,98.0,AS,AE,AE-AZ,Al Mirfa,,,,,"24.08413, 53.50017"
AE-0107,small_airport,Diynah Airport,,AS,AE,AE-AZ,Diynah island,,,,,"24.95, 52.399"
AE-0108,heliport,Sheikh Hamdan Private Island Heliport,,AS,AE,AE-DU,Jumeirah,,,,,"25.19858, 55.22908"
AE-0109,heliport,Sheikh Khalifa Specialty Hospital Heliport,90.0,AS,AE,AE-RK,Ras al-Khaimah,,,,,"25.62272, 55.84052"
AE-0110,heliport,Al Dhaid Heliport,348.0,AS,AE,AE-SH,Al Dhaid,,,,,"25.31346, 55.86396"
AE-0111,heliport,Al Dhaid Palace Central Heliport,354.0,AS,AE,AE-SH,Al Dhaid,,,,,"25.315298, 55.870014"
AE-0112,heliport,Al Dhaid Palace East Heliport,436.0,AS,AE,AE-SH,Al Dhaid,,,,,"25.31472, 55.87334"
AE-0113,heliport,Falaj Al Mualla Fort Heliport,318.0,AS,AE,AE-UQ,Falaj Al Mualla,,,,,"25.35175, 55.84985"
AE-0114,heliport,Al Dhaid Hospital Heliport,400.0,AS,AE,AE-SH,Al Dhaid,,,,,"25.27907, 55.89288"
AE-0115,small_airport,Aeroprakt Private Airport,456.0,AS,AE,AE-SH,Al Dhaid,,,,,"25.26895, 55.92562"
AE-0116,heliport,Sheikh Khalifa General Hospital Heliport,36.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.50068, 55.59768"
AE-0117,heliport,Umm al-Quwain Marine Old Town Heliport,7.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.60024, 55.57988"
AE-0118,heliport,Umm al-Quwain Dewan Heliport,3.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.5715, 55.56704"
AE-0119,heliport,54 Sheik Ahmed Bin Rashid Al Moalla Street Heliport,7.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.55533, 55.56211"
AE-0120,heliport,Sheikh Rashid bin Ahmed Al Mualla Palace Heliport,7.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.52502, 55.56231"
AE-0121,heliport,Leatain 2 Heliport,7.0,AS,AE,AE-UQ,Umm al-Quwain,,,,,"25.51989, 55.5679"
AE-0122,heliport,SEHA Sharjah Heliport,151.0,AS,AE,AE-SH,Al Rahmaniya,,,,,"25.31817, 55.59855"
AE-0123,heliport,Sharjah Police Headquarters Heliport,151.0,AS,AE,AE-SH,Al Rahmaniya,,,,,"25.32108, 55.59935"
AE-0124,heliport,Al Qassimi Hospital Heliport,43.0,AS,AE,AE-SH,Al Khezamia,,,,,"25.34018, 55.43171"
AE-0125,heliport,ADNOC Onshore Qusahwira Heliport,610.0,AS,AE,AE-AZ,Umm Al Zumoul,,,,,"22.71057, 54.78659"
AE-0126,heliport,Qusahwira Palace Heliport,325.0,AS,AE,AE-DU,Umm Al Zumoul,,,,,"22.82259, 54.8218"
AE-0127,small_airport,Qusahwira Air Base,297.0,AS,AE,AE-DU,Umm Al Zumoul,,,,,"22.776021, 55.063199"
AE-0128,small_airport,Liwa Air Base,422.0,AS,AE,AE-AZ,Zayed City,OMLW,,OMLW,,"23.65128, 53.82444"
AE-0129,small_airport,Liwa Auxiliary Airfield,388.0,AS,AE,AE-AZ,Zayed City,,,,,"23.68789, 53.86956"
AE-0130,heliport,Al Dhafrah New Hospital Heliport,394.0,AS,AE,AE-AZ,Zayed City,,,,,"23.657949, 53.678773"
AE-0131,heliport,Al Dhafrah Old Hospital Heliport,377.0,AS,AE,AE-AZ,Zayed City,,,,,"23.65085, 53.67729"
AE-0132,heliport,ADNOC Buhasa Heliport,492.0,AS,AE,AE-AZ,Buhasa,,,,,"23.54884, 53.29251"
AE-0133,heliport,ADNOC OPD Clinic Habshan Heliport,230.0,AS,AE,AE-AZ,Habshan,,,,,"23.85862, 53.63014"
AE-0134,heliport,Al Mirfa Power and Desalinization Plant Heliport,16.0,AS,AE,AE-AZ,Al Mirfa,,,,,"24.1134, 53.44088"
AE-0135,heliport,Etihad Rail Depot Heliport,23.0,AS,AE,AE-AZ,Al Hadwaniyyah,,,,,"24.05161, 53.33346"
AE-0136,heliport,Khasbat al Reem Heliport,,AS,AE,AE-AZ,Khasbat al Reem,,,,,"24.12818, 53.27715"
AE-0137,heliport,Qareen al Aish Heliport,26.0,AS,AE,AE-AZ,Qareen al Aish,,,,,"24.16568, 53.14781"
AE-0138,heliport,Al Ruwais Hospital Heliport,72.0,AS,AE,AE-AZ,Al Ruwais,,,,,"24.101287, 52.738266"
AE-0139,heliport,Al Dhafra Beach Hotel Heliport,19.0,AS,AE,AE-AZ,Jebel Dhanna,,,,,"24.16273, 52.64576"
AE-0140,heliport,Masafi Hospital Heliport,1463.0,AS,AE,AE-RK,Masafi,,,,,"25.29812, 56.16429"
AE-0141,heliport,Kalba Hospital Heliport,7.0,AS,AE,AE-SH,Kalba,,,,,"25.03436, 56.3433"
AE-0142,heliport,Sheikh Khalifa Hospital Masfout Heliport,1199.0,AS,AE,AE-AJ,Masfout,,,,,"24.8199, 56.0742"
AE-0143,heliport,Dibba Hospital Heliport,56.0,AS,AE,AE-FU,Dibba al Fujairah,,,,,"25.58825, 56.26447"
AE-0144,heliport,ADNOC Upper Zakum West Island Heliport,,AS,AE,AE-AZ,ADNOC Upper Zakum West Island,,,,,"24.83324, 53.49706"
AE-0145,heliport,ADNOC Offshore Central Island Heliport,,AS,AE,AE-AZ,ADNOC Offshore Central Island,,,,,"24.84651, 53.64946"
AE-0146,heliport,ADNOC Offshore South Island Heliport,,AS,AE,AE-AZ,ADNOC Offshore South Island,,,,,"24.798385, 53.726775"
AE-0147,heliport,ADNOC Offshore North Island Heliport,,AS,AE,AE-AZ,ADNOC Offshore North Island,,,,,"24.903729, 53.720923"
AE-0148,heliport,SARB North Island Heliport,,AS,AE,AE-AZ,SARB North Island,,,,,"24.79665, 53.210654"
AE-0149,heliport,SARB South Island Heliport,,AS,AE,AE-AZ,SARB South Island,,,,,"24.737717, 53.197539"
AE-0150,heliport,Camp Al Hamra Heliport,62.0,AS,AE,AE-AZ,Al Hamra,,,,,"24.05377, 52.44858"
AE-0151,heliport,Shuweihat Power Complex Heliport,3.0,AS,AE,AE-AZ,Jebel Dhanna,,,,,"24.15646, 52.56739"
AE-0152,heliport,Erth Abu Dhabi Heliport,13.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.4038, 54.4718"
AE-0153,heliport,Sheikh Hazza bin Zayed Palace Heliport,16.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.39592, 54.48453"
AE-0154,heliport,First Abu Dhabi Bank Heliport,13.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.41278, 54.46506"
AE-0155,heliport,Zayed Military Hospital Heliport,10.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.42143, 54.42859"
AE-0156,heliport,Al Qurm Resort Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.41836, 54.40504"
AE-0157,heliport,Ministry of Foreign Affairs and International Cooperation Heliport,13.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45416, 54.3307"
AE-0158,heliport,Shati as Sayyidat Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46149, 54.30173"
AE-0159,heliport,Qasr al Watan Heliport,6.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45634, 54.30382"
AE-0160,heliport,Supreme Council for National Security Heliport,6.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45488, 54.30535"
AE-0161,heliport,Qasr al Watan Lawn Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46027, 54.31096"
AE-0162,heliport,Sheikh Sultan bin Zayed I Mosque Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45068, 54.34783"
AE-0163,heliport,ADNOC HQ Building Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46201, 54.32404"
AE-0164,heliport,Founders Memorial Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46249, 54.3214"
AE-0165,heliport,Abu Dhabi Helicopter Tour Heliport,7.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.47796, 54.32805"
AE-0166,heliport,InterContinental Abu Dhabi Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.4576, 54.32894"
AE-0167,heliport,InterContinental Abu Dhabi Marina Heliport,7.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45734, 54.32725"
AE-0168,heliport,Al Manhal Palace Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.47829, 54.36139"
AE-0169,heliport,Burjeel Medical City Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.35473, 54.53849"
AE-0170,heliport,Yas Island Civil Defence Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.49544, 54.60364"
AE-0171,heliport,Sheikh Ahmed al-Nuaimi Palace Heliport,79.0,AS,AE,AE-AJ,Al Hamidiya,,,,,"25.39841, 55.5302"
AE-0172,heliport,Fairmont Ajman South Jetty Heliport,5.0,AS,AE,AE-AJ,Ajman,,,,,"25.41837, 55.4368"
AE-0173,heliport,Fairmont Ajman North Jetty Heliport,5.0,AS,AE,AE-AJ,Ajman,,,,,"25.41974, 55.43774"
AE-0174,heliport,Ajman Ruler's Divan Heliport,13.0,AS,AE,AE-AJ,Ajman,,,,,"25.418716, 55.442015"
AE-0175,heliport,Ajman Hotel Heliport,10.0,AS,AE,AE-AJ,Ajman,,,,,"25.42565, 55.44226"
AE-0176,heliport,Sheikh Rashid bin Humaid al-Nuaimi Mosque Heliport,3.0,AS,AE,AE-AJ,Ajman,,,,,"25.40138, 55.43938"
AE-0177,heliport,Sheikh Khalifa Central Hospital Heliport,,AS,AE,AE-FU,Fujairah,,,,,"25.14824, 56.35365"
AE-0178,heliport,Al Hail Corniche Tower Heliport,,AS,AE,AE-FU,Fujairah,,,,,"25.12752, 56.35495"
AE-0179,heliport,City Center Building Heliport,,AS,AE,AE-FU,Fujairah,,,,,"25.12345, 56.32272"
AE-0180,heliport,Nama Tower Helipad,,AS,AE,AE-FU,Fujairah,,,,,"25.12277, 56.32215"
AE-0181,heliport,Farouj al Wadi Building Helipad,,AS,AE,AE-FU,Fujairah,,,,,"25.12273, 56.32392"
AE-0182,heliport,Creative Tower Helipad,,AS,AE,AE-FU,Fujairah,,,,,"25.12267, 56.32483"
AE-0183,heliport,Chocolate Palace Helipad,,AS,AE,AE-FU,Fujairah,,,,,"25.12273, 56.32079"
AE-0184,heliport,Festival Square Heliport,82.0,AS,AE,AE-FU,Fujairah,,,,,"25.13139, 56.31949"
AE-0185,heliport,Fujairah Palace Heliport,66.0,AS,AE,AE-FU,Fujairah,,,,,"25.13477, 56.32165"
AE-0186,heliport,Ibrahim bin Hamad Obaidullah Hospital Heliport,13.0,AS,AE,AE-RK,Ras al-Khaimah,,,,,"25.79653, 55.98167"
AE-0187,heliport,Wadi Bih Military Camp Heliport,610.0,AS,AE,AE-RK,Ras al-Khaimah,,,,,"25.83497, 56.1238"
AE-0188,heliport,Al Muzoon West Helipad,16.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.41685, 54.42005"
AE-0189,closed,Al Muzoon Central Helipad,7.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.41212, 54.43895"
AE-0190,heliport,Al Muzoon East Helipad,17.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.40972, 54.44253"
AE-0191,heliport,Al Fahim Palace Heliport,7.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.4479, 54.34828"
AE-0192,heliport,Al Bateen Palace West Helipad,7.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.44025, 54.35467"
AE-0193,heliport,Al Bateen Palace West Inner Helipad,10.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.44205, 54.35689"
AE-0194,heliport,Al Bateen PGC Heliport,10.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.448, 54.35629"
AE-0195,heliport,Khorfakkan Hospital Heliport,78.0,AS,AE,AE-SH,Yarmouk,,,,,"25.33549, 56.34148"
AE-0196,heliport,Ministry of Interior Heliport,20.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.42173, 54.42416"
AE-0197,heliport,Anantara Sir Bani Yas Island Al Sahel Villa Resort Heliport,36.0,AS,AE,AE-AZ,Sir Bani Yas,,,,,"24.32627, 52.56608"
AE-0198,heliport,Anantara Sir Bani Yas Island Al Yamm Villa Resort Heliport,20.0,AS,AE,AE-AZ,Sir Bani Yas,,,,,"24.34086, 52.64339"
AE-0199,heliport,Sir Bani Yas Heliport,20.0,AS,AE,AE-AZ,Sir Bani Yas,,,,,"24.27183, 52.60181"
AE-0200,heliport,Al Rahba Hospital Heliport,43.0,AS,AE,AE-AZ,Al Rahba,,,,,"24.5745, 54.69509"
AE-0201,heliport,Rashid bin Saeed Al-Maktoum Naval College Heliport,7.0,AS,AE,AE-AZ,Al Sadr,,,,,"24.69684, 54.66605"
AE-0202,heliport,Al Sadr Port North Helipad,3.0,AS,AE,AE-AZ,Al Sadr,,,,,"24.70562, 54.6599"
AE-0203,heliport,Al Fattan Marine Services Heliport,5.0,AS,AE,AE-AZ,Al Sadr,,,,,"24.70173, 54.66023"
AE-0204,heliport,Dolphin Taweelah Receiving Facility Heliport,13.0,AS,AE,AE-AZ,Al Taweelah,,,,,"24.75333, 54.67817"
AE-0205,heliport,Jebel Ali Naval Base Heliport,11.0,AS,AE,AE-DU,Jebel Ali North,,,,,"24.99932, 55.04522"
AE-0206,heliport,Jazirat al-Qamar (Crescent Moon Island) Heliport,3.0,AS,AE,AE-DU,Jazirat al-Qamar,,,,,"25.31078, 54.66332"
AE-0207,heliport,Al Dara Border Crossing Heliport,3.0,AS,AE,AE-RK,Al Jeer,,,,,"26.0496, 56.08661"
AE-0208,heliport,ADNOC Helipad South,,AS,AE,AE-AZ,,,,,,"24.84254, 53.649421"
AE-0209,heliport,Zakum West Super Complex,,AS,AE,AE-AZ,,,,,,"24.860175, 53.610931"
AE-0210,heliport,Upper Zakum production facility,,AS,AE,AE-AZ,,,,,,"24.835355, 53.613794"
AE-0211,heliport,Helipads (3x),,AS,AE,AE-AZ,,,,,,"24.383142, 53.389907"
AE-0212,heliport,Helipads,,AS,AE,AE-AZ,,,,,,"24.392927, 53.418419"
