year,state,ev_registrations,ev_share_pct
2024,Punjab(96),94304,13.3627
2024,Rajasthan(60),222458,13.4518
2024,Sikkim(9),34,0.2911
2024,Tamil Nadu(148),271032,13.8741
2024,Telangana(57),151278,14.742
2024,Tripura(9),19248,30.2314
2024,UT of DNH and DD(3),982,4.054
2024,Uttar Pradesh(77),756902,20.1401
2024,Uttarakhand(21),40450,14.3546
2024,West Bengal(59),93144,7.8608
2025,All Vahan4 Running States (35/36),19049648,13.4847
2025,Andaman & Nicobar Island(3),1624,0.0057
2025,Andhra Pradesh(84),494640,10.6837
2025,Arunachal Pradesh(29),1596,0.984
2025,Assam(33),684992,23.0039
2025,Bihar(48),995632,13.213
2025,Chandigarh(1),54488,21.3964
2025,Chhattisgarh(31),391368,10.5972
2025,Delhi(16),972136,23.7679
2025,Goa(13),79048,18.3051
2025,Gujarat(37),671296,6.4236
2025,Haryana(104),374192,6.9213
2025,Himachal Pradesh(96),20440,2.5104
2025,Jammu and Kashmir(21),96816,10.1745
2025,Jharkhand(25),277480,8.1724
2025,Karnataka(68),1718080,17.9697
2025,Kerala(87),924680,20.8556
2025,Ladakh(3),64,0.2979
2025,Lakshadweep(9),256,5.0844
2025,Madhya Pradesh(53),1132400,13.3348
2025,Maharashtra(59),2258352,13.7361
2025,Manipur(17),9968,5.5934
2025,Meghalaya(15),8304,3.8003
2025,Mizoram(12),6760,4.4568
2025,Nagaland(9),744,0.5506
2025,Odisha(39),645720,14.4436
2025,Puducherry(8),40640,11.2793
2025,Punjab(96),398672,9.9473
2025,Rajasthan(60),940304,11.138
2025,Sikkim(9),192,0.3592
2025,Tamil Nadu(148),1393480,13.1554
2025,Tripura(9),82024,29.3089
2025,UT of DNH and DD(3),4968,3.6572
2025,Uttar Pradesh(77),3378816,16.4849
2025,Uttarakhand(21),167616,11.3352
2025,West Bengal(59),821632,12.7745
2026,All Vahan4 Running States (35/36),3099160,13.3423
2026,Andaman & Nicobar Island(3),200,2.2663
2026,Andhra Pradesh(84),87352,12.4438
2026,Arunachal Pradesh(29),320,1.0572
2026,Assam(33),106832,23.1053
2026,Bihar(48),149792,13.8592
2026,Chandigarh(1),8528,21.473
2026,Chhattisgarh(31),61336,9.5769
2026,Delhi(16),104448,15.576
2026,Goa(13),11096,15.9839
2026,Gujarat(37),115456,6.559
2026,Haryana(104),50296,5.7864
2026,Himachal Pradesh(96),3160,2.5482
2026,Jammu and Kashmir(21),13400,9.6964
2026,Jharkhand(25),41080,8.4203
2026,Karnataka(68),276416,16.9319
2026,Kerala(87),146544,19.9506
2026,Ladakh(3),16,0.794
2026,Lakshadweep(9),96,9.1866
2026,Madhya Pradesh(53),203680,14.6825
2026,Maharashtra(59),347832,12.6535
2026,Manipur(17),1968,6.0948
2026,Meghalaya(15),1016,3.0985
2026,Mizoram(12),1328,4.9738
2026,Nagaland(9),144,0.5613
2026,Odisha(39),119504,15.4725
2026,Puducherry(8),8152,10.8962
2026,Punjab(96),57144,8.5547
2026,Rajasthan(60),142256,11.1485
2026,Sikkim(9),80,0.8159
2026,Tamil Nadu(148),277128,12.3032
2026,Tripura(9),9984,23.5361
2026,UT of DNH and DD(3),816,3.7466
2026,Uttar Pradesh(77),458864,14.681
2026,Uttarakhand(21),24040,10.753
2026,West Bengal(59),268856,25.5161
