contract_id,contract_date,year,month,area,bedrooms,property_type,annual_rent_aed,monthly_rent_aed,contract_duration_months,payment_frequency,is_renewal,tenant_nationality
RERA-2019-0000051,2019-02-24,2019,2,Palm Jumeirah,1,Apartment,109812,9151,12,Bi-annual,False,Egypt
RERA-2019-0000052,2019-06-30,2019,6,Dubai Marina,2,Apartment,113794,9483,12,Annual,False,UAE
RERA-2019-0000053,2019-02-18,2019,2,Dubai Hills Estate,3,Apartment,253941,21162,12,Annual,True,UK
RERA-2019-0000054,2019-03-06,2019,3,DIFC,1,Apartment,99465,8289,24,Annual,False,India
RERA-2019-0000055,2019-01-17,2019,1,Discovery Gardens,1,Apartment,32113,2676,12,Annual,True,India
RERA-2019-0000056,2019-03-19,2019,3,DIFC,0,Apartment,86880,7240,12,Bi-annual,True,UAE
RERA-2019-0000057,2019-04-16,2019,4,Al Barsha,4,Villa,209201,17433,24,Annual,True,UK
RERA-2019-0000058,2019-05-30,2019,5,Downtown Dubai,2,Apartment,187640,15637,12,Bi-annual,False,Other
RERA-2019-0000059,2019-02-26,2019,2,Dubai Marina,2,Apartment,153332,12778,6,Annual,True,Other
RERA-2019-0000060,2019-11-25,2019,11,Discovery Gardens,3,Apartment,73341,6112,24,Quarterly,True,Pakistan
RERA-2019-0000061,2019-11-17,2019,11,Deira,1,Apartment,36290,3024,12,Bi-annual,True,India
RERA-2019-0000062,2019-01-02,2019,1,JLT,2,Apartment,93107,7759,24,Bi-annual,True,India
RERA-2019-0000063,2019-11-09,2019,11,DIFC,2,Apartment,176411,14701,12,Quarterly,False,Other
RERA-2019-0000064,2019-11-22,2019,11,Deira,1,Apartment,33633,2803,12,Annual,False,Pakistan
RERA-2019-0000065,2019-10-11,2019,10,Al Barsha,1,Apartment,70204,5850,6,Annual,True,Other
RERA-2019-0000066,2019-11-17,2019,11,Discovery Gardens,3,Apartment,71296,5941,12,Quarterly,True,UAE
RERA-2019-0000067,2019-05-19,2019,5,International City,2,Apartment,42229,3519,12,Monthly,True,Other
RERA-2019-0000068,2019-07-30,2019,7,JLT,1,Apartment,56377,4698,12,Annual,False,Other
RERA-2019-0000069,2019-06-18,2019,6,Mirdif,2,Apartment,64215,5351,12,Quarterly,False,Other
RERA-2019-0000070,2019-05-01,2019,5,Palm Jumeirah,2,Apartment,204788,17066,12,Quarterly,False,Other
RERA-2019-0000071,2019-07-03,2019,7,Al Barsha,3,Apartment,142588,11882,6,Annual,False,Pakistan
RERA-2019-0000072,2019-01-03,2019,1,DIFC,1,Apartment,99028,8252,24,Annual,False,India
RERA-2019-0000073,2019-07-19,2019,7,Palm Jumeirah,2,Apartment,227892,18991,24,Annual,True,Other
RERA-2019-0000074,2019-01-28,2019,1,DIFC,1,Apartment,95516,7960,12,Bi-annual,True,India
RERA-2019-0000075,2019-12-05,2019,12,Bur Dubai,2,Apartment,48439,4037,12,Annual,True,India
RERA-2019-0000076,2019-09-12,2019,9,JVC,2,Apartment,78733,6561,12,Annual,False,Other
RERA-2019-0000077,2019-10-09,2019,10,Business Bay,2,Apartment,109433,9119,12,Quarterly,True,Other
RERA-2019-0000078,2019-08-11,2019,8,DIFC,2,Apartment,167428,13952,12,Monthly,True,Other
RERA-2019-0000079,2019-01-22,2019,1,JVC,1,Apartment,43175,3598,6,Monthly,False,India
RERA-2019-0000080,2019-11-26,2019,11,Dubai Marina,1,Apartment,68619,5718,12,Monthly,True,Pakistan
RERA-2019-0000081,2019-11-12,2019,11,International City,3,Apartment,66736,5561,12,Bi-annual,False,Pakistan
RERA-2019-0000082,2019-02-23,2019,2,DIFC,2,Apartment,155947,12996,12,Annual,False,UK
RERA-2019-0000083,2019-10-26,2019,10,Discovery Gardens,2,Apartment,57567,4797,12,Bi-annual,False,India
RERA-2019-0000084,2019-09-28,2019,9,Dubai Hills Estate,1,Apartment,98718,8226,24,Monthly,True,Other
RERA-2019-0000085,2019-11-06,2019,11,Dubai Marina,3,Apartment,192445,16037,12,Bi-annual,False,UK
RERA-2019-0000086,2019-12-02,2019,12,Downtown Dubai,2,Apartment,134802,11234,12,Quarterly,False,UAE
RERA-2019-0000087,2019-08-27,2019,8,Palm Jumeirah,3,Apartment,291873,24323,12,Quarterly,False,Other
RERA-2019-0000088,2019-06-23,2019,6,Bur Dubai,2,Apartment,55542,4628,12,Annual,True,UAE
RERA-2019-0000089,2019-08-04,2019,8,Discovery Gardens,1,Apartment,40014,3334,12,Monthly,False,Egypt
RERA-2019-0000090,2019-03-11,2019,3,JVC,2,Apartment,71381,5948,12,Quarterly,False,Philippines
RERA-2019-0000091,2019-11-18,2019,11,Deira,3,Apartment,91041,7587,24,Bi-annual,True,Egypt
RERA-2019-0000092,2019-11-29,2019,11,Dubai Hills Estate,2,Apartment,118708,9892,6,Annual,False,India
RERA-2019-0000093,2019-01-28,2019,1,International City,2,Apartment,42912,3576,12,Quarterly,True,Other
RERA-2019-0000094,2019-11-29,2019,11,Business Bay,1,Apartment,85600,7133,12,Bi-annual,False,India
RERA-2019-0000095,2019-09-18,2019,9,Deira,3,Apartment,76783,6399,6,Annual,False,Philippines
RERA-2019-0000096,2019-05-22,2019,5,Dubai Marina,2,Apartment,146085,12174,12,Bi-annual,False,India
RERA-2019-0000097,2019-08-30,2019,8,DIFC,3,Apartment,226161,18847,12,Annual,True,Pakistan
RERA-2019-0000098,2019-08-16,2019,8,Downtown Dubai,4,Villa,281024,23419,12,Annual,False,Pakistan
RERA-2019-0000099,2019-12-25,2019,12,JLT,3,Apartment,130691,10891,12,Bi-annual,False,Other
RERA-2019-0000100,2019-06-24,2019,6,Dubai Hills Estate,2,Apartment,133629,11136,12,Annual,True,Pakistan
RERA-2019-0000101,2019-08-29,2019,8,Dubai Hills Estate,2,Apartment,150786,12566,12,Quarterly,True,UK
RERA-2019-0000102,2019-07-02,2019,7,Business Bay,1,Apartment,57199,4767,12,Bi-annual,True,Other
RERA-2019-0000103,2019-09-22,2019,9,Downtown Dubai,2,Apartment,168248,14021,12,Bi-annual,True,Other
RERA-2019-0000104,2019-04-04,2019,4,Downtown Dubai,3,Apartment,314831,26236,12,Annual,True,Philippines
RERA-2019-0000105,2019-09-18,2019,9,DIFC,0,Apartment,76772,6398,6,Annual,True,Other
RERA-2019-0000106,2019-02-12,2019,2,JLT,1,Apartment,58237,4853,24,Bi-annual,False,Other
RERA-2019-0000107,2019-08-18,2019,8,Town Square,3,Apartment,97046,8087,12,Bi-annual,True,India
RERA-2019-0000108,2019-06-20,2019,6,Deira,2,Apartment,45040,3753,12,Annual,False,UAE
RERA-2019-0000109,2019-06-14,2019,6,Al Barsha,2,Apartment,94602,7884,12,Annual,True,Other
RERA-2019-0000110,2019-08-30,2019,8,Business Bay,1,Apartment,60551,5046,12,Bi-annual,False,Egypt
RERA-2019-0000111,2019-06-19,2019,6,Dubai Hills Estate,1,Apartment,85381,7115,12,Bi-annual,True,India
RERA-2019-0000112,2019-08-26,2019,8,Discovery Gardens,1,Apartment,36772,3064,12,Annual,False,Pakistan
RERA-2019-0000113,2019-05-31,2019,5,Town Square,1,Apartment,41029,3419,12,Annual,False,UAE
RERA-2019-0000114,2019-06-14,2019,6,Dubai Hills Estate,2,Apartment,148420,12368,12,Bi-annual,False,India
RERA-2019-0000115,2019-08-02,2019,8,Dubai Marina,1,Apartment,95329,7944,24,Bi-annual,False,Egypt
RERA-2019-0000116,2019-09-24,2019,9,Discovery Gardens,1,Apartment,33070,2756,12,Bi-annual,False,Other
RERA-2019-0000117,2019-02-02,2019,2,Bur Dubai,2,Apartment,54306,4526,12,Bi-annual,False,Other
RERA-2019-0000118,2019-03-07,2019,3,JLT,2,Apartment,81608,6801,12,Monthly,True,India
RERA-2019-0000119,2019-04-29,2019,4,Al Barsha,1,Apartment,74107,6176,12,Annual,True,Egypt
RERA-2019-0000120,2019-04-09,2019,4,Discovery Gardens,3,Apartment,49204,4100,12,Annual,True,India
RERA-2019-0000121,2019-06-16,2019,6,Mirdif,3,Apartment,106359,8863,12,Annual,True,UAE
RERA-2019-0000122,2019-03-30,2019,3,Town Square,2,Apartment,63494,5291,12,Bi-annual,True,UK
RERA-2019-0000123,2019-03-21,2019,3,Mirdif,1,Apartment,50724,4227,12,Annual,False,UAE
RERA-2019-0000124,2019-01-12,2019,1,JLT,3,Apartment,136223,11352,12,Annual,True,Egypt
RERA-2019-0000125,2019-04-09,2019,4,Town Square,2,Apartment,81126,6760,12,Quarterly,False,Philippines
RERA-2019-0000126,2019-04-12,2019,4,Mirdif,2,Apartment,72567,6047,12,Annual,False,Other
RERA-2019-0000127,2019-04-01,2019,4,Downtown Dubai,1,Apartment,104260,8688,12,Bi-annual,False,Other
RERA-2019-0000128,2019-11-23,2019,11,DIFC,1,Apartment,116596,9716,24,Quarterly,True,Other
RERA-2019-0000129,2019-05-18,2019,5,Dubai Hills Estate,0,Apartment,66586,5549,12,Annual,True,India
RERA-2019-0000130,2019-01-05,2019,1,JVC,4,Villa,130526,10877,12,Quarterly,True,India
RERA-2019-0000131,2019-08-27,2019,8,Al Barsha,0,Apartment,36973,3081,12,Annual,False,UAE
RERA-2019-0000132,2019-03-14,2019,3,Al Barsha,2,Apartment,78119,6510,12,Annual,False,Other
RERA-2019-0000133,2019-12-23,2019,12,Dubai Hills Estate,1,Apartment,81830,6819,12,Monthly,True,UAE
RERA-2019-0000134,2019-12-26,2019,12,JLT,4,Villa,181755,15146,12,Bi-annual,True,UAE
RERA-2019-0000135,2019-08-19,2019,8,International City,1,Apartment,30556,2546,12,Annual,True,UK
RERA-2019-0000136,2019-08-20,2019,8,JLT,1,Apartment,60251,5021,24,Quarterly,False,India
RERA-2019-0000137,2019-07-13,2019,7,Discovery Gardens,2,Apartment,44838,3736,12,Monthly,True,Other
RERA-2019-0000138,2019-12-26,2019,12,Discovery Gardens,2,Apartment,58402,4867,12,Bi-annual,False,India
RERA-2019-0000139,2019-11-03,2019,11,Al Barsha,1,Apartment,70935,5911,12,Monthly,True,Other
RERA-2019-0000140,2019-12-31,2019,12,Bur Dubai,1,Apartment,43088,3591,12,Bi-annual,False,UK
RERA-2019-0000141,2019-03-10,2019,3,JVC,0,Apartment,30279,2523,24,Annual,True,Other
RERA-2019-0000142,2019-09-29,2019,9,Town Square,1,Apartment,45703,3809,12,Bi-annual,False,Philippines
RERA-2019-0000143,2019-08-03,2019,8,Dubai Marina,2,Apartment,149769,12481,12,Quarterly,False,Other
RERA-2019-0000144,2019-08-13,2019,8,Downtown Dubai,1,Apartment,98793,8233,6,Annual,True,Pakistan
RERA-2019-0000145,2019-08-23,2019,8,DIFC,1,Apartment,117346,9779,12,Bi-annual,True,India
RERA-2019-0000146,2019-04-28,2019,4,Al Barsha,3,Apartment,131564,10964,12,Bi-annual,False,UK
RERA-2019-0000147,2019-07-11,2019,7,Bur Dubai,3,Apartment,94927,7911,6,Annual,True,UAE
RERA-2019-0000148,2019-10-03,2019,10,Downtown Dubai,0,Apartment,78825,6569,12,Bi-annual,False,UK
RERA-2019-0000149,2019-07-20,2019,7,JVC,1,Apartment,46619,3885,24,Bi-annual,False,India
RERA-2019-0000150,2019-12-13,2019,12,JVC,0,Apartment,34177,2848,12,Annual,False,India
RERA-2019-0000151,2019-10-03,2019,10,Al Barsha,1,Apartment,61827,5152,24,Annual,True,UAE
RERA-2019-0000152,2019-07-06,2019,7,JLT,2,Apartment,87893,7324,12,Bi-annual,True,Other
RERA-2019-0000153,2019-10-17,2019,10,JLT,2,Apartment,70598,5883,12,Bi-annual,False,Other
RERA-2019-0000154,2019-03-29,2019,3,JLT,2,Apartment,65855,5488,12,Quarterly,False,Other
RERA-2019-0000155,2019-08-15,2019,8,Mirdif,2,Apartment,65823,5485,12,Annual,False,India
RERA-2019-0000156,2019-12-13,2019,12,Al Barsha,2,Apartment,91813,7651,12,Bi-annual,True,Egypt
RERA-2019-0000157,2019-09-26,2019,9,Business Bay,2,Apartment,122643,10220,12,Annual,False,Other
RERA-2019-0000158,2019-12-15,2019,12,Mirdif,1,Apartment,46815,3901,12,Annual,True,India
RERA-2019-0000159,2019-11-11,2019,11,JVC,1,Apartment,55933,4661,12,Annual,True,Egypt
RERA-2019-0000160,2019-04-08,2019,4,DIFC,1,Apartment,108110,9009,6,Annual,False,Egypt
RERA-2019-0000161,2019-04-27,2019,4,International City,2,Apartment,42102,3508,6,Bi-annual,True,Other
RERA-2019-0000162,2019-12-11,2019,12,JLT,1,Apartment,56650,4721,12,Bi-annual,False,Philippines
RERA-2019-0000163,2019-07-14,2019,7,Palm Jumeirah,2,Apartment,203216,16935,6,Bi-annual,False,Pakistan
RERA-2019-0000164,2019-10-02,2019,10,JLT,1,Apartment,62903,5242,12,Bi-annual,True,Other
RERA-2019-0000165,2019-08-23,2019,8,Mirdif,1,Apartment,53993,4499,6,Quarterly,True,UAE
RERA-2019-0000166,2019-07-25,2019,7,Town Square,2,Apartment,60668,5056,12,Quarterly,True,India
RERA-2019-0000167,2019-05-04,2019,5,JVC,3,Apartment,118283,9857,12,Annual,True,UAE
RERA-2019-0000168,2019-10-10,2019,10,JVC,2,Apartment,60801,5067,12,Annual,False,Other
RERA-2019-0000169,2019-11-15,2019,11,Bur Dubai,4,Villa,127197,10600,12,Bi-annual,False,UK
RERA-2019-0000170,2019-12-05,2019,12,JLT,3,Apartment,120884,10074,24,Annual,False,Philippines
RERA-2019-0000171,2019-05-08,2019,5,Dubai Hills Estate,2,Apartment,122376,10198,12,Annual,False,India
RERA-2019-0000172,2019-05-04,2019,5,Bur Dubai,1,Apartment,44594,3716,12,Bi-annual,True,Pakistan
RERA-2019-0000173,2019-09-21,2019,9,Town Square,1,Apartment,40999,3417,6,Annual,True,Other
RERA-2019-0000174,2019-12-10,2019,12,Palm Jumeirah,0,Apartment,91796,7650,12,Bi-annual,False,India
RERA-2019-0000175,2019-08-27,2019,8,Dubai Hills Estate,1,Apartment,94353,7863,24,Annual,True,UAE
RERA-2019-0000176,2019-02-25,2019,2,Discovery Gardens,3,Apartment,76481,6373,12,Bi-annual,True,Other
RERA-2019-0000177,2019-01-06,2019,1,Deira,2,Apartment,60139,5012,6,Quarterly,True,India
RERA-2019-0000178,2019-12-24,2019,12,Town Square,1,Apartment,41699,3475,24,Bi-annual,False,Egypt
RERA-2019-0000179,2019-05-13,2019,5,International City,1,Apartment,26684,2224,12,Monthly,True,Other
RERA-2019-0000180,2019-02-09,2019,2,Palm Jumeirah,3,Apartment,325375,27115,12,Bi-annual,False,Pakistan
RERA-2019-0000181,2019-12-09,2019,12,Downtown Dubai,1,Apartment,96065,8005,12,Monthly,False,Philippines
RERA-2019-0000182,2019-10-01,2019,10,Bur Dubai,2,Apartment,76384,6365,12,Monthly,False,UK
RERA-2019-0000183,2019-05-28,2019,5,Dubai Hills Estate,4,Villa,343228,28602,12,Quarterly,False,Pakistan
RERA-2019-0000184,2019-05-08,2019,5,Downtown Dubai,1,Apartment,90908,7576,12,Annual,True,India
RERA-2019-0000185,2019-12-27,2019,12,Discovery Gardens,3,Apartment,60720,5060,6,Bi-annual,False,Philippines
RERA-2019-0000186,2019-02-25,2019,2,Dubai Marina,2,Apartment,90109,7509,12,Annual,False,Pakistan
RERA-2019-0000187,2019-03-04,2019,3,Mirdif,4,Villa,143855,11988,24,Annual,False,UAE
RERA-2019-0000188,2019-10-27,2019,10,Bur Dubai,4,Villa,111211,9268,6,Annual,True,Other
RERA-2019-0000189,2019-10-18,2019,10,Palm Jumeirah,0,Apartment,87125,7260,12,Quarterly,True,Pakistan
RERA-2019-0000190,2019-05-15,2019,5,Dubai Hills Estate,2,Apartment,146578,12215,24,Annual,False,Philippines
RERA-2019-0000191,2019-04-22,2019,4,Al Barsha,0,Apartment,42893,3574,24,Annual,False,India
RERA-2019-0000192,2019-02-11,2019,2,JLT,1,Apartment,57791,4816,12,Quarterly,True,Other
RERA-2019-0000193,2019-01-04,2019,1,Al Barsha,3,Apartment,138233,11519,12,Bi-annual,False,India
RERA-2019-0000194,2019-06-01,2019,6,DIFC,1,Apartment,108335,9028,12,Quarterly,False,Other
RERA-2019-0000195,2019-08-15,2019,8,JVC,4,Villa,143309,11942,12,Quarterly,True,Other
RERA-2019-0000196,2019-08-05,2019,8,Business Bay,3,Apartment,107147,8929,24,Quarterly,False,Egypt
RERA-2019-0000197,2019-03-28,2019,3,JVC,3,Apartment,96768,8064,12,Bi-annual,True,India
RERA-2019-0000198,2019-10-08,2019,10,Discovery Gardens,2,Apartment,47361,3947,6,Quarterly,True,Other
RERA-2019-0000199,2019-09-03,2019,9,JVC,2,Apartment,67133,5594,12,Monthly,False,Philippines
RERA-2019-0000200,2019-08-04,2019,8,JLT,1,Apartment,56483,4707,24,Annual,False,Other
RERA-2019-0000201,2019-11-22,2019,11,Bur Dubai,1,Apartment,48797,4066,12,Bi-annual,False,Egypt
RERA-2019-0000202,2019-04-13,2019,4,Deira,1,Apartment,37129,3094,6,Quarterly,False,Pakistan
RERA-2019-0000203,2019-09-12,2019,9,Business Bay,1,Apartment,94806,7900,24,Quarterly,False,India
RERA-2019-0000204,2019-04-26,2019,4,Business Bay,3,Apartment,189454,15788,24,Bi-annual,True,UAE
RERA-2019-0000205,2019-01-12,2019,1,JVC,1,Apartment,47963,3997,12,Bi-annual,False,Pakistan
RERA-2019-0000206,2019-12-28,2019,12,Discovery Gardens,3,Apartment,63388,5282,24,Bi-annual,False,Other
RERA-2019-0000207,2019-07-15,2019,7,Al Barsha,1,Apartment,59377,4948,12,Bi-annual,True,UAE
RERA-2019-0000208,2019-04-23,2019,4,JVC,1,Apartment,42727,3561,12,Quarterly,False,Other
RERA-2019-0000209,2019-03-30,2019,3,Town Square,3,Apartment,93914,7826,12,Annual,False,UK
RERA-2019-0000210,2019-06-09,2019,6,Bur Dubai,1,Apartment,46504,3875,12,Bi-annual,True,India
RERA-2019-0000211,2019-11-29,2019,11,DIFC,2,Apartment,181822,15152,12,Annual,True,Pakistan
RERA-2019-0000212,2019-07-18,2019,7,Discovery Gardens,4,Villa,97330,8111,12,Quarterly,True,UAE
RERA-2019-0000213,2019-07-05,2019,7,DIFC,2,Apartment,164392,13699,12,Quarterly,False,Other
RERA-2019-0000214,2019-03-30,2019,3,Town Square,2,Apartment,56444,4704,12,Monthly,True,India
RERA-2019-0000215,2019-05-17,2019,5,JLT,2,Apartment,78175,6515,12,Annual,True,Philippines
RERA-2019-0000216,2019-06-04,2019,6,Dubai Hills Estate,2,Apartment,167084,13924,12,Annual,False,Philippines
RERA-2019-0000217,2019-05-13,2019,5,JLT,2,Apartment,94139,7845,6,Bi-annual,True,Other
RERA-2019-0000218,2019-08-24,2019,8,Deira,2,Apartment,60572,5048,12,Annual,True,India
RERA-2019-0000219,2019-04-03,2019,4,DIFC,1,Apartment,99950,8329,12,Quarterly,True,Egypt
RERA-2019-0000220,2019-03-28,2019,3,DIFC,1,Apartment,110048,9171,6,Bi-annual,False,Other
RERA-2019-0000221,2019-01-17,2019,1,Palm Jumeirah,2,Apartment,169863,14155,12,Annual,False,Other
RERA-2019-0000222,2019-10-09,2019,10,JLT,1,Apartment,54158,4513,6,Quarterly,False,UAE
RERA-2019-0000223,2019-10-27,2019,10,Mirdif,2,Apartment,72793,6066,12,Monthly,True,Philippines
RERA-2019-0000224,2019-12-05,2019,12,JLT,3,Apartment,119575,9965,12,Annual,False,Other
RERA-2019-0000225,2019-06-15,2019,6,Town Square,2,Apartment,75805,6317,12,Quarterly,True,Other
RERA-2019-0000226,2019-09-10,2019,9,International City,1,Apartment,23233,1936,12,Annual,False,UAE
RERA-2019-0000227,2019-09-30,2019,9,DIFC,2,Apartment,152345,12695,24,Monthly,False,UAE
RERA-2019-0000228,2019-04-01,2019,4,Palm Jumeirah,1,Apartment,108554,9046,6,Annual,False,UK
RERA-2019-0000229,2019-12-07,2019,12,International City,0,Apartment,16689,1391,24,Annual,True,Other
RERA-2019-0000230,2019-01-28,2019,1,Mirdif,2,Apartment,76116,6343,12,Monthly,True,Other
RERA-2019-0000231,2019-04-20,2019,4,JVC,0,Apartment,27147,2262,12,Annual,False,UAE
RERA-2019-0000232,2019-03-02,2019,3,Deira,4,Villa,122131,10178,12,Annual,False,Other
RERA-2019-0000233,2019-06-26,2019,6,Al Barsha,3,Apartment,131001,10917,12,Annual,True,India
RERA-2019-0000234,2019-05-20,2019,5,Deira,1,Apartment,40330,3361,12,Annual,False,Philippines
RERA-2019-0000235,2019-11-11,2019,11,Dubai Marina,2,Apartment,135032,11253,12,Annual,False,Other
RERA-2019-0000236,2019-08-21,2019,8,Dubai Hills Estate,2,Apartment,132706,11059,12,Annual,False,UAE
RERA-2019-0000237,2019-04-07,2019,4,DIFC,3,Apartment,292213,24351,12,Quarterly,False,Other
RERA-2019-0000238,2019-08-28,2019,8,Bur Dubai,0,Apartment,30765,2564,24,Quarterly,False,Other
RERA-2019-0000239,2019-05-01,2019,5,Business Bay,2,Apartment,123198,10266,12,Monthly,True,India
RERA-2019-0000240,2019-07-01,2019,7,JLT,1,Apartment,56614,4718,12,Annual,False,Other
RERA-2019-0000241,2019-09-23,2019,9,International City,1,Apartment,28977,2415,12,Annual,False,Other
RERA-2019-0000242,2019-06-25,2019,6,Town Square,0,Apartment,32557,2713,24,Annual,True,Other
RERA-2019-0000243,2019-05-25,2019,5,International City,2,Apartment,43259,3605,12,Quarterly,False,Philippines
RERA-2019-0000244,2019-08-29,2019,8,Town Square,1,Apartment,39738,3312,12,Annual,True,India
RERA-2019-0000245,2019-04-19,2019,4,Discovery Gardens,0,Apartment,23571,1964,12,Annual,False,Other
RERA-2019-0000246,2019-01-20,2019,1,Town Square,3,Apartment,91363,7614,12,Annual,False,UAE
RERA-2019-0000247,2019-02-17,2019,2,Al Barsha,0,Apartment,45177,3765,12,Annual,True,India
RERA-2019-0000248,2019-02-23,2019,2,Town Square,1,Apartment,33376,2781,12,Annual,False,Pakistan
RERA-2019-0000249,2019-04-09,2019,4,Town Square,1,Apartment,37088,3091,12,Annual,False,India
RERA-2019-0000250,2019-05-30,2019,5,JVC,2,Apartment,73052,6088,24,Annual,False,India
RERA-2019-0000251,2019-12-11,2019,12,Dubai Hills Estate,3,Apartment,256945,21412,12,Annual,False,Other
