plot_id,plot_number,area_name,plot_area_sqft,zoning,ownership_type,registration_date,last_transfer_date,market_value_aed,is_mortgaged,developer_id
PLOT-000074,5786-A,Dubai South,377430,Residential,Freehold,2015-10-20,2015-01-24,212510547,False,DEV-0098
PLOT-000075,6019-B,Dubai Marina,353356,Residential,Government,2014-01-24,2022-05-09,479677177,False,DEV-0036
PLOT-000076,9980-C,Warqa,466744,Residential,Freehold,2022-08-18,2020-11-14,321360563,False,DEV-0101
PLOT-000077,6537-B,Dubailand,409922,Residential,Leasehold,2011-10-08,2021-06-18,102945052,False,DEV-0174
PLOT-000078,9707-B,Business Bay,45418,Mixed,Government,2006-07-27,2019-07-25,473994224,True,DEV-0189
PLOT-000079,3505-D,Mirdif,382948,Commercial,Government,2008-12-30,2017-05-22,455593246,True,DEV-0139
PLOT-000080,7599-E,Al Karama,379783,Residential,Freehold,2010-09-19,2015-11-23,473376094,True,DEV-0135
PLOT-000081,4967-D,Nad Al Sheba,40358,Commercial,Freehold,2017-06-14,2022-07-10,238816409,True,DEV-0169
PLOT-000082,7655-E,Nad Al Sheba,405833,Commercial,Freehold,2015-03-15,2018-08-27,188206865,False,DEV-0037
PLOT-000083,9438-D,Al Furjan,437270,Mixed,Leasehold,2023-05-10,2017-06-22,79863295,False,DEV-0040
PLOT-000084,9671-E,Discovery Gardens,35600,Residential,Leasehold,2008-07-31,2017-12-12,382478808,False,DEV-0106
PLOT-000085,7217-E,Dubai Creek Harbour,158268,Residential,Leasehold,2000-01-31,2020-09-13,274047550,False,DEV-0009
PLOT-000086,1914-A,DIFC,62202,Mixed,Freehold,2014-12-15,2015-12-30,209621089,True,DEV-0155
PLOT-000087,8074-B,Arabian Ranches,135745,Commercial,Leasehold,2001-10-28,2015-01-21,198186806,True,DEV-0155
PLOT-000088,9849-D,Motor City,56844,Mixed,Freehold,2019-04-28,2017-06-22,174878375,False,DEV-0076
PLOT-000089,3315-B,Dubai Investment Park,440816,Commercial,Leasehold,2018-01-26,2016-07-17,12434208,False,DEV-0068
PLOT-000090,3628-D,Nad Al Sheba,402198,Mixed,Leasehold,2021-12-18,2024-09-02,233095307,False,DEV-0008
PLOT-000091,8711-A,Deira,99480,Industrial,Freehold,2001-09-28,2017-01-01,137190186,False,DEV-0182
PLOT-000092,8352-D,Al Safa,196848,Mixed,Government,2018-09-11,2020-09-18,436123835,True,DEV-0047
PLOT-000093,427-C,Ras Al Khor,381696,Residential,Leasehold,2016-09-07,2016-01-28,414804856,True,DEV-0020
PLOT-000094,7248-A,Arabian Ranches,188438,Commercial,Freehold,2019-09-09,2015-09-03,483349967,False,DEV-0005
PLOT-000095,9239-E,Nad Al Sheba,480262,Mixed,Freehold,2000-09-29,2023-06-22,20291110,False,DEV-0072
PLOT-000096,8223-A,Dubai Marina,409258,Industrial,Freehold,2020-06-26,2021-09-23,476836953,False,DEV-0084
PLOT-000097,1868-E,Al Wasl,314199,Residential,Freehold,2019-02-11,2020-10-11,494676687,True,DEV-0057
PLOT-000098,4688-E,Bur Dubai,269141,Green,Freehold,2020-05-12,2023-08-14,192700390,False,DEV-0102
PLOT-000099,6401-E,Al Mizhar,291787,Mixed,Leasehold,2002-11-01,2016-10-09,55242824,False,DEV-0170
PLOT-000100,4433-B,Dubai Marina,474147,Residential,Freehold,2008-03-09,2016-10-13,288365818,False,DEV-0107
PLOT-000101,5428-E,Deira,40118,Residential,Government,2002-04-01,2016-12-28,34219395,True,DEV-0102
PLOT-000102,1003-B,Dubai Investment Park,332549,Residential,Freehold,2003-01-01,2021-08-13,326027221,True,DEV-0029
PLOT-000103,3434-B,JLT,257929,Residential,Freehold,2020-04-26,2015-07-29,2112969,False,DEV-0134
PLOT-000104,9934-D,Al Karama,149826,Residential,Freehold,2020-03-17,2019-10-23,491697040,False,DEV-0145
PLOT-000105,3424-A,Emaar Beachfront,121033,Residential,Freehold,2001-07-07,2023-01-24,489395354,False,DEV-0073
PLOT-000106,325-A,Al Barsha,459171,Mixed,Leasehold,2016-09-30,2016-10-02,10082829,True,DEV-0043
PLOT-000107,993-B,JVC,337972,Residential,Freehold,2008-03-03,2024-11-30,316946347,False,DEV-0170
PLOT-000108,1246-E,JVC,145296,Commercial,Freehold,2007-09-24,2023-12-26,42884167,True,DEV-0073
PLOT-000109,9370-A,Al Quoz,325783,Industrial,Government,2016-03-06,2019-07-29,198835902,True,DEV-0045
PLOT-000110,2543-C,JVC,33843,Mixed,Leasehold,2022-06-06,2017-07-17,258384392,False,DEV-0067
PLOT-000111,7482-D,Dubai South,61009,Residential,Freehold,2010-12-22,2023-04-13,337248949,False,DEV-0180
PLOT-000112,8592-C,Arabian Ranches,482756,Residential,Government,2007-01-23,2023-11-04,277376619,True,DEV-0062
PLOT-000113,6191-A,Al Barsha,196778,Residential,Freehold,2020-01-16,2019-11-22,9241913,False,DEV-0013
PLOT-000114,235-A,Al Wasl,484171,Residential,Freehold,2005-02-09,2020-04-16,154451379,False,DEV-0096
PLOT-000115,396-A,Warqa,124473,Residential,Leasehold,2007-07-18,2018-11-02,23261931,True,DEV-0070
PLOT-000116,5600-E,Discovery Gardens,465076,Industrial,Government,2023-04-20,2021-06-15,44688639,True,DEV-0141
PLOT-000117,2813-A,Arabian Ranches,161762,Industrial,Leasehold,2004-07-22,2022-01-09,95115676,True,DEV-0147
PLOT-000118,5120-E,Bur Dubai,299030,Residential,Leasehold,2023-05-12,2017-07-01,363269509,False,DEV-0145
PLOT-000119,917-A,Warqa,97568,Commercial,Freehold,2016-04-23,2017-11-19,77280555,False,DEV-0080
PLOT-000120,9137-C,Discovery Gardens,304272,Industrial,Government,2014-02-12,2017-09-08,112765554,False,DEV-0189
PLOT-000121,8610-D,Town Square,20432,Commercial,Freehold,2002-11-15,2017-03-28,343011497,True,DEV-0188
PLOT-000122,419-E,Downtown Dubai,176323,Residential,Freehold,2000-04-29,2016-05-22,404652647,False,DEV-0038
PLOT-000123,5557-B,Sports City,77635,Residential,Leasehold,2010-02-16,2017-03-07,471435038,True,DEV-0154
PLOT-000124,1597-A,Business Bay,464600,Residential,Freehold,2020-03-04,2024-01-21,487279319,False,DEV-0054
PLOT-000125,331-A,Al Wasl,323239,Commercial,Freehold,2005-06-21,2018-11-22,412033504,False,DEV-0168
PLOT-000126,6548-D,Emaar Beachfront,441210,Residential,Leasehold,2000-05-15,2018-05-22,180922253,False,DEV-0098
PLOT-000127,9778-A,Arabian Ranches,378812,Mixed,Freehold,2000-07-12,2024-10-06,203669485,True,DEV-0002
PLOT-000128,3401-A,Al Mizhar,254090,Residential,Freehold,2019-02-23,2024-05-19,390168076,False,DEV-0038
PLOT-000129,6685-D,Dubai Marina,22298,Residential,Leasehold,2004-02-19,2020-12-04,29367198,False,DEV-0048
PLOT-000130,6842-D,Ras Al Khor,136103,Mixed,Freehold,2016-01-07,2017-03-25,330396856,False,DEV-0003
PLOT-000131,6378-B,Al Quoz,139344,Mixed,Leasehold,2003-12-16,2017-05-16,322825880,True,DEV-0043
PLOT-000132,1534-C,Dubailand,78588,Residential,Freehold,2019-08-22,2017-01-21,436840023,False,DEV-0117
PLOT-000133,5824-B,Al Furjan,137993,Mixed,Leasehold,2001-11-13,2018-09-23,140817904,True,DEV-0154
PLOT-000134,2512-D,Town Square,48235,Industrial,Leasehold,2022-01-14,2015-05-15,375300682,False,DEV-0162
PLOT-000135,3492-C,Discovery Gardens,267830,Mixed,Freehold,2004-07-05,2022-09-14,478857619,False,DEV-0092
PLOT-000136,8027-C,Al Wasl,21435,Mixed,Freehold,2014-02-08,2024-06-16,383144848,False,DEV-0116
PLOT-000137,3622-C,Al Karama,236252,Mixed,Leasehold,2000-07-04,2018-11-02,469313958,True,DEV-0199
PLOT-000138,2969-E,Motor City,200848,Residential,Leasehold,2015-04-07,2018-01-22,252784366,False,DEV-0016
PLOT-000139,2216-E,Umm Suqeim,289160,Mixed,Government,2020-05-11,2015-04-19,40490024,False,DEV-0042
PLOT-000140,9327-B,Al Satwa,55169,Commercial,Leasehold,2012-05-07,2021-02-03,174813131,True,DEV-0159
PLOT-000141,8426-E,DIFC,459599,Industrial,Government,2005-06-06,2016-12-16,211559164,False,DEV-0103
PLOT-000142,3454-B,Dubai Investment Park,316366,Industrial,Leasehold,2021-08-18,2021-08-25,234869664,True,DEV-0111
PLOT-000143,3114-C,Al Barsha,386248,Residential,Freehold,2009-01-17,2022-03-13,466115400,True,DEV-0155
PLOT-000144,4190-D,JLT,263942,Commercial,Freehold,2019-04-07,2020-02-23,414722090,False,DEV-0081
PLOT-000145,4627-C,Umm Suqeim,132484,Commercial,Leasehold,2004-05-25,2024-05-30,492586666,True,DEV-0183
PLOT-000146,5448-B,Downtown Dubai,323344,Residential,Freehold,2018-11-08,2019-02-11,229256119,False,DEV-0027
PLOT-000147,9249-C,Al Safa,104911,Residential,Freehold,2002-02-20,2016-04-21,454504100,False,DEV-0057
PLOT-000148,2637-D,Al Qusais,433206,Residential,Freehold,2022-06-26,2016-04-17,161477252,False,DEV-0074
PLOT-000149,5250-E,Arabian Ranches,12474,Commercial,Freehold,2018-01-25,2018-07-13,59572322,False,DEV-0198
PLOT-000150,7338-B,JVC,203560,Mixed,Freehold,2016-08-27,2023-03-20,442104414,False,DEV-0072
PLOT-000151,8416-A,JLT,331075,Residential,Freehold,2011-04-29,2020-05-22,84564536,True,DEV-0163
PLOT-000152,6179-B,Ras Al Khor,494542,Commercial,Freehold,2023-05-12,2023-01-22,241654764,False,DEV-0143
PLOT-000153,1977-C,Al Barsha,114599,Residential,Leasehold,2019-11-27,2015-08-21,280118368,True,DEV-0169
PLOT-000154,1125-E,JVC,361983,Residential,Freehold,2015-11-20,2016-09-14,480992865,False,DEV-0056
PLOT-000155,1154-A,Town Square,479906,Residential,Leasehold,2018-01-04,2019-10-25,443235723,False,DEV-0135
PLOT-000156,464-E,Arabian Ranches,403694,Mixed,Government,2004-07-20,2024-06-11,35078950,True,DEV-0045
PLOT-000157,317-C,Al Furjan,290896,Residential,Government,2000-06-14,2019-05-27,309055229,False,DEV-0169
PLOT-000158,8922-D,Al Karama,16288,Residential,Freehold,2005-04-27,2017-07-11,51936322,False,DEV-0054
PLOT-000159,579-E,Al Qusais,11066,Mixed,Government,2004-12-05,2019-03-12,340119425,False,DEV-0110
PLOT-000160,1528-A,Dubailand,492516,Commercial,Freehold,2009-08-05,2023-07-10,284881776,False,DEV-0198
PLOT-000161,2977-D,Jebel Ali,490764,Mixed,Leasehold,2020-06-12,2023-12-05,293942733,True,DEV-0080
PLOT-000162,8604-A,JLT,349815,Residential,Freehold,2018-05-26,2023-08-30,485174439,True,DEV-0166
PLOT-000163,560-A,Al Qusais,166404,Residential,Freehold,2001-09-23,2023-06-18,365684323,True,DEV-0103
PLOT-000164,8587-C,Jumeirah,62837,Mixed,Freehold,2014-03-11,2018-06-20,21581885,False,DEV-0141
PLOT-000165,6713-A,Jebel Ali,314031,Commercial,Freehold,2017-01-30,2019-10-01,330962131,False,DEV-0007
PLOT-000166,6771-D,Al Satwa,413165,Residential,Freehold,2005-10-12,2016-09-12,120876382,False,DEV-0170
PLOT-000167,522-E,Palm Jumeirah,347261,Mixed,Freehold,2021-05-27,2023-02-03,247547326,False,DEV-0110
PLOT-000168,3222-A,Al Quoz,479828,Residential,Leasehold,2006-12-31,2021-02-25,220507050,False,DEV-0055
PLOT-000169,1839-B,Al Safa,336304,Residential,Freehold,2005-12-26,2017-05-09,363151285,False,DEV-0115
PLOT-000170,867-A,Dubai Hills Estate,419488,Residential,Freehold,2017-11-20,2015-09-14,108720999,True,DEV-0200
PLOT-000171,6825-A,Dubai Investment Park,213739,Residential,Government,2011-10-29,2018-01-26,439004887,True,DEV-0048
PLOT-000172,1450-C,International City,411672,Mixed,Freehold,2022-07-09,2016-12-27,18254148,False,DEV-0084
PLOT-000173,1423-E,Al Barsha,399786,Commercial,Leasehold,2004-08-16,2016-03-22,317389915,False,DEV-0044
PLOT-000174,2193-B,Arabian Ranches,318371,Mixed,Freehold,2005-01-07,2022-06-02,214791346,False,DEV-0072
PLOT-000175,5169-E,Dubai South,254075,Residential,Government,2009-10-02,2018-10-19,249646182,False,DEV-0017
PLOT-000176,7729-C,Business Bay,395489,Commercial,Leasehold,2002-12-12,2017-11-06,348723947,False,DEV-0112
PLOT-000177,3665-D,Dubai Hills Estate,361478,Commercial,Government,2012-02-22,2019-08-07,220818521,False,DEV-0188
PLOT-000178,1949-B,Al Quoz,388090,Residential,Leasehold,2020-12-10,2021-03-07,476858372,False,DEV-0056
PLOT-000179,8033-E,Al Qusais,67726,Residential,Freehold,2017-06-29,2016-01-27,94245360,False,DEV-0119
PLOT-000180,6789-C,Al Qusais,39492,Industrial,Leasehold,2012-02-15,2022-11-10,63687975,False,DEV-0027
PLOT-000181,7690-E,Al Barsha,377549,Commercial,Freehold,2001-03-22,2021-02-20,91742349,False,DEV-0043
PLOT-000182,1061-E,Al Safa,248533,Residential,Freehold,2002-03-04,2017-04-19,316065262,False,DEV-0079
PLOT-000183,3869-B,Bur Dubai,432389,Mixed,Freehold,2009-06-01,2016-10-01,363148647,False,DEV-0005
PLOT-000184,7022-A,Jumeirah,135580,Green,Freehold,2009-08-18,2015-11-02,428572326,True,DEV-0037
PLOT-000185,1200-D,Umm Suqeim,236810,Mixed,Freehold,2002-10-06,2016-06-06,282834883,False,DEV-0045
PLOT-000186,1862-C,Nad Al Sheba,468422,Residential,Leasehold,2012-07-13,2015-12-25,424617191,True,DEV-0066
PLOT-000187,4906-B,Business Bay,373827,Industrial,Leasehold,2004-01-02,2018-01-08,444604627,False,DEV-0048
PLOT-000188,6186-C,Palm Jumeirah,300245,Mixed,Freehold,2008-02-11,2021-01-16,234624011,False,DEV-0154
PLOT-000189,3076-C,Al Quoz,43036,Commercial,Freehold,2019-08-13,2018-02-01,400815064,True,DEV-0115
PLOT-000190,1174-C,Dubai Marina,309413,Commercial,Freehold,2017-06-02,2022-09-06,123837344,False,DEV-0036
PLOT-000191,33-D,Al Karama,248145,Residential,Government,2011-10-28,2020-07-03,142592782,False,DEV-0194
PLOT-000192,1844-B,Emaar Beachfront,370720,Residential,Leasehold,2008-04-12,2023-06-01,250906440,False,DEV-0158
PLOT-000193,7310-A,Nad Al Sheba,133454,Residential,Government,2006-12-01,2021-09-01,339551820,True,DEV-0075
PLOT-000194,6542-D,JLT,101557,Industrial,Leasehold,2023-08-07,2020-08-26,313717507,False,DEV-0072
PLOT-000195,2974-E,Bur Dubai,484999,Residential,Freehold,2013-06-22,2016-11-16,66111711,False,DEV-0103
PLOT-000196,2987-C,Business Bay,346975,Industrial,Freehold,2019-08-24,2017-07-28,92614754,True,DEV-0153
PLOT-000197,5769-E,Dubai Creek Harbour,453234,Residential,Freehold,2015-01-19,2016-09-14,416195466,True,DEV-0085
PLOT-000198,200-E,Mirdif,344119,Mixed,Leasehold,2006-07-14,2016-12-20,302738283,False,DEV-0050
PLOT-000199,703-D,Al Mizhar,221477,Industrial,Freehold,2003-01-04,2017-10-28,354228627,True,DEV-0148
PLOT-000200,1438-E,Business Bay,424316,Commercial,Leasehold,2002-05-10,2015-12-05,113539649,True,DEV-0078
PLOT-000201,9777-C,Deira,467483,Commercial,Leasehold,2012-05-19,2022-01-28,97971835,False,DEV-0131
PLOT-000202,6939-B,Al Quoz,40212,Residential,Government,2016-08-09,2018-07-09,50067927,False,DEV-0119
PLOT-000203,5220-B,JLT,85128,Commercial,Leasehold,2017-11-13,2021-03-09,7465976,True,DEV-0182
PLOT-000204,1739-E,Warqa,485550,Residential,Freehold,2017-03-04,2015-10-22,392150428,False,DEV-0134
PLOT-000205,3212-E,Umm Suqeim,473746,Commercial,Freehold,2014-01-11,2024-04-13,269760131,False,DEV-0134
PLOT-000206,1697-C,Bur Dubai,212097,Residential,Freehold,2004-12-13,2021-04-13,107963489,False,DEV-0171
PLOT-000207,3625-D,Al Wasl,409663,Commercial,Freehold,2005-02-18,2022-09-08,172468814,True,DEV-0088
PLOT-000208,6025-C,Ras Al Khor,297741,Residential,Government,2015-02-07,2018-03-15,186734836,False,DEV-0166
PLOT-000209,5150-B,Nad Al Sheba,227664,Residential,Freehold,2012-06-23,2021-08-08,349268524,False,DEV-0016
PLOT-000210,728-B,Al Twar,239007,Mixed,Leasehold,2022-10-05,2018-06-06,163831354,False,DEV-0053
PLOT-000211,1708-E,Al Mizhar,463904,Industrial,Leasehold,2006-10-23,2024-12-05,262935789,False,DEV-0037
PLOT-000212,5071-C,Downtown Dubai,265747,Commercial,Freehold,2013-03-17,2022-04-06,4082216,True,DEV-0101
PLOT-000213,8473-A,Deira,163085,Industrial,Leasehold,2009-07-31,2023-06-29,167071431,True,DEV-0154
PLOT-000214,7308-B,Nad Al Sheba,409498,Industrial,Government,2011-05-31,2024-10-30,427691694,False,DEV-0136
PLOT-000215,9022-B,Jebel Ali,292937,Residential,Leasehold,2003-05-30,2021-02-02,167490499,True,DEV-0178
PLOT-000216,9265-B,Dubai Land,313218,Mixed,Leasehold,2005-02-27,2022-01-31,372963177,False,DEV-0132
PLOT-000217,1048-C,Dubai Creek Harbour,390175,Commercial,Leasehold,2003-03-01,2016-03-26,368808715,False,DEV-0163
PLOT-000218,7008-C,Dubai Land,400220,Commercial,Freehold,2008-08-22,2019-03-28,52061201,False,DEV-0032
PLOT-000219,1586-B,Al Barsha,432588,Mixed,Leasehold,2011-06-27,2015-02-11,408649813,True,DEV-0148
PLOT-000220,7313-B,Al Twar,167259,Mixed,Freehold,2009-08-11,2024-04-19,9857767,True,DEV-0078
PLOT-000221,6964-A,Bur Dubai,12902,Commercial,Freehold,2005-07-21,2016-01-22,367154862,False,DEV-0181
PLOT-000222,9868-C,Jebel Ali,438554,Mixed,Leasehold,2008-05-01,2018-06-10,400346149,False,DEV-0062
PLOT-000223,5836-C,Downtown Dubai,335293,Residential,Leasehold,2005-12-24,2023-12-07,323411861,False,DEV-0012
PLOT-000224,4485-A,Dubailand,365533,Industrial,Freehold,2004-04-22,2024-01-03,160897263,False,DEV-0074
PLOT-000225,3940-D,Dubai Marina,441825,Residential,Leasehold,2000-09-13,2024-11-28,242619450,False,DEV-0029
PLOT-000226,4239-A,Al Barsha,6751,Residential,Freehold,2004-02-29,2023-07-07,411069532,False,DEV-0045
PLOT-000227,8692-D,Warqa,358005,Mixed,Freehold,2011-08-25,2020-04-20,408148322,False,DEV-0071
PLOT-000228,5510-B,Al Qusais,394369,Mixed,Freehold,2021-05-01,2020-04-29,55565473,False,DEV-0154
PLOT-000229,6622-A,Motor City,22882,Green,Freehold,2012-10-03,2021-07-10,469676333,True,DEV-0160
PLOT-000230,3406-D,Dubai Creek Harbour,66564,Mixed,Government,2023-08-10,2020-03-26,256259675,True,DEV-0082
PLOT-000231,8790-D,Arabian Ranches,175675,Residential,Freehold,2013-06-03,2023-10-28,11503013,True,DEV-0172
PLOT-000232,9136-E,DIFC,164416,Residential,Freehold,2005-09-28,2021-07-18,270521439,False,DEV-0007
