project_id,project_name,developer,area,project_type,total_units,sold_units,sold_percentage,launch_year,completion_year,status,avg_price_per_sqft_aed,min_price_aed,max_price_aed,floors,has_amenities,is_freehold
PRJ-00066,DAMAC Al Tower 5,DAMAC Properties,Al Karama,Mixed Use,572,374,65.6,2005,2008.0,Completed,1830,1311470,20386699,13,True,True
PRJ-00067,Sports Residences 1,Tiger Properties,Sports City,Residential,467,101,21.7,2017,,Stalled,1125,1386177,3132093,17,True,True
PRJ-00068,Nakheel Ras Tower 6,Nakheel,Ras Al Khor,Hospitality,250,103,41.3,2017,,Under Construction,3783,1399056,21725880,41,True,True
PRJ-00069,International Residences 14,DAMAC Properties,International City,Residential,1859,498,26.8,2023,,Off-Plan,1299,1455618,9151370,29,True,True
PRJ-00070,Binghatti Umm Tower 9,Binghatti,Umm Suqeim,Commercial,1754,694,39.6,2011,,Under Construction,4407,1093938,4154601,62,True,False
PRJ-00071,Dubai Downtown Tower 9,Dubai Properties,Downtown Dubai,Commercial,1851,1516,81.9,2006,,Under Construction,3814,628662,11945794,48,True,False
PRJ-00072,Sobha Emaar Tower 5,Sobha Realty,Emaar Beachfront,Residential,275,124,45.2,2024,,Under Construction,2829,511051,15613156,8,True,True
PRJ-00073,Jumeirah Residences 12,Nakheel,Jumeirah,Residential,1358,1261,92.9,2015,2018.0,Completed,897,1321056,16683672,37,True,True
PRJ-00074,Nad Residences 3,Sobha Realty,Nad Al Sheba,Residential,490,296,60.5,2016,,Under Construction,2296,572546,6487279,38,True,True
PRJ-00075,Town Residences 4,Binghatti,Town Square,Residential,1939,1908,98.4,2011,2014.0,Completed,3804,1482768,11574199,12,True,True
PRJ-00076,DAMAC Bur Tower 3,DAMAC Properties,Bur Dubai,Mixed Use,1385,1281,92.6,2024,2026.0,Completed,4085,500007,3727132,56,False,True
PRJ-00077,Downtown Residences 1,Select Group,Downtown Dubai,Residential,598,260,43.5,2023,,Under Construction,2313,1339978,21446634,68,True,True
PRJ-00078,Al Residences 13,Nakheel,Al Barsha,Residential,1148,697,60.8,2010,2015.0,Completed,2517,1427498,23001912,33,True,False
PRJ-00079,Al Residences 17,Ellington Properties,Al Wasl,Commercial,886,870,98.3,2023,2028.0,Completed,2949,1379819,15498892,53,True,True
PRJ-00080,JLT Residences 15,Aldar,JLT,Commercial,1598,971,60.8,2020,,Under Construction,910,574699,16228719,63,True,False
PRJ-00081,DAMAC Dubai Tower 2,DAMAC Properties,Dubai Marina,Mixed Use,364,299,82.3,2012,,Off-Plan,4239,994580,2204105,76,True,True
PRJ-00082,Dubai Residences 13,Meraas,Dubai Creek Harbour,Residential,1679,1088,64.8,2023,2025.0,Completed,3126,358384,3337613,6,True,True
PRJ-00083,Dubai Al Tower 8,Dubai Properties,Al Qusais,Hospitality,1803,1329,73.7,2017,2019.0,Completed,1364,866690,21516980,50,True,True
PRJ-00084,Deyaar Arabian Tower 3,Deyaar Development,Arabian Ranches,Residential,1340,858,64.1,2012,2015.0,Completed,1672,414092,13721045,30,False,True
PRJ-00085,Business Residences 16,Nakheel,Business Bay,Residential,73,61,83.7,2007,,Off-Plan,3097,484528,18573076,56,False,False
PRJ-00086,MAG International Tower 4,MAG Property Development,International City,Residential,822,724,88.1,2011,,Under Construction,4168,1468465,7242971,21,True,False
PRJ-00087,Dubai Town Tower 9,Dubai Properties,Town Square,Mixed Use,937,280,29.9,2008,,Under Construction,2962,953889,8779066,7,True,False
PRJ-00088,Motor Residences 1,DAMAC Properties,Motor City,Residential,116,32,27.8,2017,,Under Construction,1400,582381,9115784,18,True,True
PRJ-00089,Danube Ras Tower 5,Danube Properties,Ras Al Khor,Residential,1519,1172,77.2,2008,,Off-Plan,1442,1150227,13305849,24,True,True
PRJ-00090,Sobha Deira Tower 5,Sobha Realty,Deira,Mixed Use,226,171,75.7,2019,,Under Construction,3601,1016541,14538325,54,False,True
PRJ-00091,DIFC Residences 8,Meraas,DIFC,Mixed Use,1132,694,61.4,2024,2026.0,Completed,1892,535516,22716623,61,True,True
PRJ-00092,Ellington Al Tower 9,Ellington Properties,Al Safa,Residential,1140,934,82.0,2006,,Under Construction,4263,591173,14136788,10,True,True
PRJ-00093,JVC Residences 7,Azizi Developments,JVC,Residential,925,671,72.6,2006,2011.0,Completed,3682,741526,5733709,62,False,True
PRJ-00094,Sobha Al Tower 4,Sobha Realty,Al Barsha,Residential,1551,620,40.0,2013,,Off-Plan,4312,758858,2935096,67,True,False
PRJ-00095,Motor Residences 7,Tiger Properties,Motor City,Residential,1899,1475,77.7,2007,2011.0,Completed,3029,707905,7074319,75,True,True
PRJ-00096,Deira Residences 1,Nakheel,Deira,Residential,1598,1475,92.3,2013,2015.0,Completed,3528,1288127,11130897,70,False,True
PRJ-00097,Motor Residences 20,Reportage,Motor City,Commercial,1011,791,78.3,2017,,Under Construction,1062,561355,16688750,69,True,True
PRJ-00098,Meraas Al Tower 9,Meraas,Al Satwa,Mixed Use,1140,850,74.6,2005,2009.0,Completed,3262,1385341,14015256,61,True,True
PRJ-00099,Nad Residences 17,Nakheel,Nad Al Sheba,Mixed Use,1724,442,25.7,2011,,Under Construction,1493,1062640,3538484,45,True,True
PRJ-00100,MAG JLT Tower 5,MAG Property Development,JLT,Residential,169,162,96.2,2024,2027.0,Completed,3115,1165864,20103651,53,False,True
PRJ-00101,Seven Al Tower 1,Seven Tides,Al Satwa,Residential,1364,1209,88.6,2016,2020.0,Completed,2160,962561,14339952,5,True,True
PRJ-00102,Discovery Residences 6,Meraas,Discovery Gardens,Mixed Use,1244,1032,83.0,2018,2020.0,Completed,1627,1358978,21471698,29,True,True
PRJ-00103,Azizi Palm Tower 4,Azizi Developments,Palm Jumeirah,Commercial,1378,1280,92.9,2014,2019.0,Completed,3616,689980,19962346,57,False,False
PRJ-00104,Motor Residences 18,MAG Property Development,Motor City,Hospitality,476,248,52.3,2022,,Under Construction,3029,314870,13821306,74,True,True
PRJ-00105,JLT Residences 10,DAMAC Properties,JLT,Residential,1935,1612,83.3,2005,,Off-Plan,4336,308413,7962311,11,True,False
PRJ-00106,Town Residences 16,Arada,Town Square,Residential,294,60,20.4,2020,,Off-Plan,3267,1017921,3397867,49,False,True
PRJ-00107,Al Residences 16,Seven Tides,Al Wasl,Hospitality,1214,356,29.4,2007,,Under Construction,3827,1144038,24355449,5,True,True
PRJ-00108,Al Residences 5,Sobha Realty,Al Qusais,Residential,1708,1441,84.4,2005,,Off-Plan,3194,992768,23594761,33,False,True
PRJ-00109,Al Residences 10,Dubai Properties,Al Qusais,Residential,438,387,88.5,2013,2018.0,Completed,1160,646415,6772609,13,False,True
PRJ-00110,Jumeirah Residences 11,Binghatti,Jumeirah,Mixed Use,546,172,31.5,2015,,Under Construction,4082,347468,24383823,34,True,True
PRJ-00111,Dubai Residences 2,MAG Property Development,Dubai Marina,Residential,1981,965,48.7,2005,,Under Construction,1497,1433882,4314893,24,False,True
PRJ-00112,Nakheel Umm Tower 4,Nakheel,Umm Suqeim,Residential,838,173,20.7,2021,,Off-Plan,3419,1097561,20762676,62,True,True
PRJ-00113,Emaar Residences 16,Emaar Properties,Emaar Beachfront,Residential,1843,573,31.1,2024,,Stalled,3044,1192994,7410065,5,False,True
PRJ-00114,Select Emaar Tower 2,Select Group,Emaar Beachfront,Mixed Use,288,266,92.7,2020,,Under Construction,3353,638301,17118659,9,True,True
PRJ-00115,Bur Residences 17,Danube Properties,Bur Dubai,Residential,1162,909,78.3,2018,2022.0,Completed,1674,598734,23914506,75,False,True
PRJ-00116,Nakheel Dubai Tower 2,Nakheel,Dubai Creek Harbour,Commercial,983,724,73.7,2012,2017.0,Completed,1868,1224494,10316565,70,True,True
PRJ-00117,Select Dubai Tower 2,Select Group,Dubai Marina,Commercial,692,426,61.7,2016,2018.0,Completed,4103,657536,16819651,65,False,True
PRJ-00118,DAMAC Al Tower 6,DAMAC Properties,Al Barsha,Residential,1273,1011,79.4,2023,,Off-Plan,886,1382754,12865191,74,False,True
PRJ-00119,Ellington Dubai Tower 9,Ellington Properties,Dubai Hills Estate,Mixed Use,1349,1178,87.3,2015,2019.0,Completed,1519,888798,16930409,38,True,True
PRJ-00120,Jumeirah Residences 9,Aldar,Jumeirah,Residential,1157,528,45.7,2017,,Under Construction,2419,680876,3323281,51,True,True
PRJ-00121,Umm Residences 12,Nakheel,Umm Suqeim,Residential,259,201,77.6,2016,2021.0,Completed,2443,807278,8301636,75,False,True
PRJ-00122,Jumeirah Residences 6,Select Group,Jumeirah,Mixed Use,705,298,42.4,2017,,Under Construction,3044,902336,20800583,29,True,True
PRJ-00123,Select JLT Tower 9,Select Group,JLT,Mixed Use,1008,806,80.0,2024,,Stalled,4473,604795,18625136,8,False,True
PRJ-00124,Deyaar Downtown Tower 8,Deyaar Development,Downtown Dubai,Residential,1314,663,50.5,2015,,Stalled,833,408823,14612116,23,True,False
PRJ-00125,Al Residences 3,Nakheel,Al Karama,Residential,1200,1084,90.4,2016,2019.0,Completed,1310,594562,20988419,19,True,True
PRJ-00126,Al Residences 14,Arada,Al Satwa,Residential,1147,786,68.5,2006,,Stalled,4472,327293,2052752,38,False,True
PRJ-00127,Omniyat Palm Tower 4,Omniyat,Palm Jumeirah,Residential,100,51,51.7,2016,,Off-Plan,1195,975830,6753130,47,True,True
PRJ-00128,Al Residences 19,Sobha Realty,Al Karama,Residential,209,102,48.9,2017,,Stalled,2025,414882,14399364,41,True,True
PRJ-00129,Motor Residences 16,Arada,Motor City,Mixed Use,1860,1720,92.5,2020,,Under Construction,1954,647385,23991267,60,True,True
PRJ-00130,Sobha International Tower 8,Sobha Realty,International City,Mixed Use,383,356,93.2,2008,,Under Construction,1163,883876,8022630,51,True,True
PRJ-00131,JVC Residences 5,Reportage,JVC,Commercial,1931,702,36.4,2006,,Off-Plan,4349,680541,13310198,73,True,True
PRJ-00132,Emaar Dubai Tower 2,Emaar Properties,Dubai Hills Estate,Residential,540,184,34.2,2024,,Off-Plan,2415,423443,23436475,57,False,True
PRJ-00133,Al Residences 19,Aldar,Al Qusais,Residential,1260,738,58.6,2019,,Under Construction,2650,1333632,10693738,67,True,True
PRJ-00134,DIFC Residences 11,MAG Property Development,DIFC,Mixed Use,1837,1185,64.6,2010,2012.0,Completed,1843,1330799,2505121,30,False,True
PRJ-00135,Mirdif Residences 18,Ellington Properties,Mirdif,Residential,93,64,69.1,2021,,Under Construction,1396,1291037,16241015,10,True,True
PRJ-00136,Umm Residences 18,Ellington Properties,Umm Suqeim,Mixed Use,1121,592,52.8,2009,,Under Construction,2102,567169,4082274,64,True,False
PRJ-00137,Bur Residences 18,Tiger Properties,Bur Dubai,Residential,1234,857,69.5,2017,2022.0,Completed,3596,1443401,9577443,21,False,False
PRJ-00138,Select Nad Tower 2,Select Group,Nad Al Sheba,Mixed Use,1644,1223,74.4,2021,,Off-Plan,2246,719741,11516949,78,True,False
PRJ-00139,Emaar Ras Tower 7,Emaar Properties,Ras Al Khor,Residential,1424,1160,81.5,2013,,Off-Plan,4436,376509,13608281,38,True,True
PRJ-00140,Nakheel Dubai Tower 2,Nakheel,Dubai Creek Harbour,Residential,727,656,90.3,2015,2020.0,Completed,3104,402664,19890143,38,False,True
PRJ-00141,Motor Residences 15,Seven Tides,Motor City,Residential,1343,406,30.2,2024,,Off-Plan,1406,368215,12871460,59,True,True
PRJ-00142,Emaar Dubai Tower 1,Emaar Properties,Dubai Hills Estate,Mixed Use,266,243,91.6,2024,2028.0,Completed,1548,1393497,15903404,55,False,True
PRJ-00143,Town Residences 20,Reportage,Town Square,Mixed Use,719,676,94.1,2023,2025.0,Completed,4456,423253,18576851,18,True,True
PRJ-00144,Bur Residences 15,MAG Property Development,Bur Dubai,Residential,748,172,23.1,2019,,Under Construction,1011,784594,5904185,14,True,True
PRJ-00145,Meraas Dubai Tower 8,Meraas,Dubai Creek Harbour,Residential,162,102,63.3,2007,,Off-Plan,4194,937431,3899946,50,True,True
PRJ-00146,Emaar Residences 2,Ellington Properties,Emaar Beachfront,Residential,1279,1012,79.1,2010,2014.0,Completed,1494,1149839,24197093,52,False,True
PRJ-00147,Select Al Tower 2,Select Group,Al Quoz,Residential,901,801,88.9,2023,2025.0,Completed,1685,955178,21437830,74,True,True
PRJ-00148,Omniyat International Tower 2,Omniyat,International City,Residential,476,323,68.0,2014,2018.0,Completed,841,1440900,12665251,52,True,True
PRJ-00149,Ras Residences 20,Omniyat,Ras Al Khor,Commercial,1226,1048,85.5,2019,,Under Construction,3831,963655,8917545,55,True,False
PRJ-00150,Binghatti Al Tower 9,Binghatti,Al Safa,Commercial,1820,1403,77.1,2024,2028.0,Completed,2302,761016,22188938,65,True,False
PRJ-00151,Al Residences 20,Select Group,Al Quoz,Residential,907,770,85.0,2021,2023.0,Completed,2242,1151552,17321244,58,True,True
PRJ-00152,Town Residences 5,Nakheel,Town Square,Residential,506,264,52.3,2023,,Under Construction,4498,424962,4164189,21,True,True
PRJ-00153,Binghatti Al Tower 7,Binghatti,Al Qusais,Commercial,126,51,40.9,2024,,Under Construction,3164,1437760,4740280,28,True,True
PRJ-00154,MAG Dubai Tower 9,MAG Property Development,Dubai Marina,Residential,1185,986,83.3,2009,2011.0,Completed,4297,326306,8549031,76,True,True
PRJ-00155,Omniyat Arabian Tower 5,Omniyat,Arabian Ranches,Residential,1143,791,69.2,2013,,Off-Plan,1722,876911,13769107,62,True,False
PRJ-00156,Town Residences 15,MAG Property Development,Town Square,Commercial,468,395,84.4,2013,2017.0,Completed,4092,670195,10672212,56,True,True
PRJ-00157,Tiger Arabian Tower 9,Tiger Properties,Arabian Ranches,Hospitality,837,742,88.7,2024,2029.0,Completed,1729,1316192,19874477,16,True,True
PRJ-00158,Al Residences 10,Seven Tides,Al Safa,Commercial,936,544,58.2,2020,,Under Construction,2817,613399,19300570,40,True,False
PRJ-00159,MAG Dubai Tower 7,MAG Property Development,Dubai Creek Harbour,Residential,893,541,60.7,2006,,Under Construction,3258,323359,21638304,72,False,True
PRJ-00160,International Residences 1,Azizi Developments,International City,Residential,698,532,76.2,2018,,Off-Plan,2621,1435871,2509727,13,True,True
PRJ-00161,Arabian Residences 15,Seven Tides,Arabian Ranches,Residential,531,459,86.6,2007,,Under Construction,2496,857472,16444848,25,False,True
PRJ-00162,Ras Residences 2,Omniyat,Ras Al Khor,Commercial,1512,467,30.9,2019,,Under Construction,930,1303722,16492836,14,True,True
PRJ-00163,Aldar Al Tower 6,Aldar,Al Safa,Residential,1290,1125,87.2,2010,,Under Construction,1645,996358,3526381,41,True,False
PRJ-00164,Binghatti Mirdif Tower 7,Binghatti,Mirdif,Commercial,1321,589,44.6,2005,,Off-Plan,2927,322190,22645991,66,True,True
PRJ-00165,Discovery Residences 7,Meraas,Discovery Gardens,Residential,481,440,91.5,2022,2027.0,Completed,4144,779018,16011835,43,True,False
PRJ-00166,JVC Residences 1,Reportage,JVC,Mixed Use,1576,837,53.1,2014,,Under Construction,4041,1197271,23581844,9,False,False
PRJ-00167,Danube Emaar Tower 7,Danube Properties,Emaar Beachfront,Mixed Use,1198,563,47.0,2011,,Under Construction,3448,649925,21732755,54,True,True
PRJ-00168,Arabian Residences 7,Emaar Properties,Arabian Ranches,Residential,723,499,69.2,2017,,Off-Plan,1520,1410149,21517547,25,True,True
PRJ-00169,Seven DIFC Tower 8,Seven Tides,DIFC,Mixed Use,1957,1506,77.0,2007,,Under Construction,4258,1229021,22950944,41,True,True
PRJ-00170,MAG Al Tower 9,MAG Property Development,Al Safa,Residential,1927,1327,68.9,2006,2011.0,Completed,1267,904970,5435363,61,True,True
PRJ-00171,Al Residences 14,Seven Tides,Al Wasl,Residential,1063,446,42.0,2020,,Stalled,2377,1447299,2251577,74,True,True
PRJ-00172,Ellington Jumeirah Tower 7,Ellington Properties,Jumeirah,Residential,113,91,81.0,2005,,Off-Plan,3894,943355,5810678,21,True,False
PRJ-00173,Seven JLT Tower 1,Seven Tides,JLT,Commercial,1817,1325,72.9,2005,2010.0,Completed,1209,970719,16013053,11,True,False
PRJ-00174,Select Downtown Tower 9,Select Group,Downtown Dubai,Residential,784,678,86.5,2008,2010.0,Completed,1936,1313543,20549329,76,True,True
PRJ-00175,DAMAC Al Tower 3,DAMAC Properties,Al Qusais,Residential,856,779,91.1,2018,,Off-Plan,2879,1417181,16918014,16,False,False
PRJ-00176,Emaar Residences 5,Aldar,Emaar Beachfront,Mixed Use,699,646,92.5,2021,2024.0,Completed,2798,805992,5470614,26,True,True
PRJ-00177,Ras Residences 9,Meraas,Ras Al Khor,Residential,504,490,97.4,2018,2021.0,Completed,1906,1151104,12314548,16,True,False
PRJ-00178,Dubai Residences 8,DAMAC Properties,Dubai Marina,Mixed Use,1567,1155,73.7,2014,2018.0,Completed,1929,390737,21831439,68,True,True
PRJ-00179,Deyaar Ras Tower 4,Deyaar Development,Ras Al Khor,Commercial,496,375,75.7,2014,,Under Construction,1238,935816,7651804,67,False,False
PRJ-00180,MAG Motor Tower 4,MAG Property Development,Motor City,Hospitality,189,148,78.7,2018,2021.0,Completed,4491,1014907,7582650,58,True,True
PRJ-00181,Emaar Residences 12,Deyaar Development,Emaar Beachfront,Residential,1553,951,61.2,2007,2011.0,Completed,1420,1254219,4386775,22,True,True
PRJ-00182,Emaar Al Tower 4,Emaar Properties,Al Safa,Commercial,1248,853,68.4,2022,2027.0,Completed,1499,1299814,19269584,9,False,False
PRJ-00183,Umm Residences 9,Arada,Umm Suqeim,Mixed Use,612,556,91.0,2007,2011.0,Completed,2205,473205,7680214,9,True,False
PRJ-00184,JVC Residences 13,Danube Properties,JVC,Hospitality,1074,768,71.6,2016,2019.0,Completed,1822,1205951,3096663,40,True,True
PRJ-00185,Azizi Bur Tower 9,Azizi Developments,Bur Dubai,Residential,1256,658,52.4,2005,,Under Construction,2726,1114620,9871777,76,True,True
PRJ-00186,Discovery Residences 8,Ellington Properties,Discovery Gardens,Mixed Use,439,324,74.0,2015,2019.0,Completed,4082,1339663,24053250,63,True,True
