unit_id,building_id,unit_number,floor,bedrooms,bathrooms,area_sqft,property_type,view,is_furnished,current_status,last_transaction_year,last_sale_price_aed
UNIT-0000061,BLDG-006504,4719,2,0,1,3571,Studio,Pool View,True,Occupied,2022,11943610
UNIT-0000062,BLDG-007364,1118,64,3,1,4302,Penthouse,Pool View,True,Occupied,2022,9936034
UNIT-0000063,BLDG-006881,3203,41,2,2,2616,Studio,Garden View,False,Occupied,2015,9049667
UNIT-0000064,BLDG-006195,319,78,1,3,4672,Apartment,Sea View,True,Vacant,2023,12372336
UNIT-0000065,BLDG-004145,7217,27,3,3,4235,Villa,Garden View,True,Occupied,2022,1255299
UNIT-0000066,BLDG-014896,3511,25,2,2,4482,Apartment,No Preference,True,Occupied,2021,6056081
UNIT-0000067,BLDG-004368,1606,62,3,3,4110,Townhouse,Garden View,True,Occupied,2015,4087151
UNIT-0000068,BLDG-008027,416,17,2,3,2334,Studio,No Preference,False,Occupied,2024,4590292
UNIT-0000069,BLDG-008325,8009,35,4,2,1257,Townhouse,Garden View,False,Vacant,2016,7432181
UNIT-0000070,BLDG-014303,5909,61,2,2,1711,Penthouse,City View,True,Vacant,2022,2145074
UNIT-0000071,BLDG-012678,4112,33,2,3,991,Apartment,No Preference,False,Occupied,2019,3925906
UNIT-0000072,BLDG-011334,2103,17,2,2,1873,Studio,City View,True,Occupied,2018,9210508
UNIT-0000073,BLDG-010505,512,2,2,1,1506,Apartment,Sea View,False,Vacant,2022,12457105
UNIT-0000074,BLDG-009154,5516,57,3,2,536,Penthouse,No Preference,True,Occupied,2021,12122055
UNIT-0000075,BLDG-005984,716,13,3,2,1650,Apartment,City View,True,Occupied,2020,7618038
UNIT-0000076,BLDG-000299,5102,46,2,2,2782,Apartment,City View,True,Occupied,2016,6445436
UNIT-0000077,BLDG-009788,5606,5,0,4,2000,Penthouse,Garden View,True,Occupied,2022,3521310
UNIT-0000078,BLDG-011693,2113,29,3,2,3289,Townhouse,No Preference,True,Occupied,2017,7721537
UNIT-0000079,BLDG-009253,5612,75,4,3,4645,Townhouse,City View,True,Occupied,2024,2789369
UNIT-0000080,BLDG-005769,7114,25,3,3,4708,Apartment,Sea View,True,Occupied,2022,950264
UNIT-0000081,BLDG-006642,5010,9,4,3,491,Villa,City View,False,Occupied,2022,1544404
UNIT-0000082,BLDG-003904,5908,34,1,3,3870,Villa,City View,False,Occupied,2019,11756617
UNIT-0000083,BLDG-013539,2919,42,1,2,4480,Apartment,City View,True,Occupied,2016,12424159
UNIT-0000084,BLDG-011134,7610,30,2,3,3190,Apartment,City View,True,Occupied,2017,10446948
UNIT-0000085,BLDG-005535,7004,41,2,2,3006,Apartment,Sea View,False,Occupied,2017,1005404
UNIT-0000086,BLDG-001584,6915,42,1,4,4218,Townhouse,Sea View,True,Occupied,2017,12715525
UNIT-0000087,BLDG-013424,510,35,1,5,1289,Townhouse,No Preference,False,Occupied,2019,11129982
UNIT-0000088,BLDG-014592,4220,36,1,2,1913,Penthouse,City View,True,Occupied,2015,7149782
UNIT-0000089,BLDG-004853,7718,33,3,2,1882,Apartment,Garden View,False,Occupied,2021,14898981
UNIT-0000090,BLDG-014469,4405,78,0,3,840,Apartment,City View,False,Occupied,2021,4450215
UNIT-0000091,BLDG-008076,7512,11,3,4,1066,Apartment,City View,False,Occupied,2024,933690
UNIT-0000092,BLDG-008088,2302,66,3,2,3959,Apartment,Pool View,False,Occupied,2016,7775878
UNIT-0000093,BLDG-000783,6718,74,3,2,1817,Townhouse,City View,False,Occupied,2022,10409910
UNIT-0000094,BLDG-000816,3319,31,2,4,3909,Studio,Pool View,False,Occupied,2020,11511830
UNIT-0000095,BLDG-005214,4903,42,5,2,655,Apartment,Garden View,True,Occupied,2022,9057706
UNIT-0000096,BLDG-012667,3112,12,2,4,2906,Apartment,Garden View,False,Occupied,2023,12894723
UNIT-0000097,BLDG-014298,2709,63,2,3,1196,Apartment,City View,True,Occupied,2019,1897681
UNIT-0000098,BLDG-013417,202,22,2,4,512,Apartment,Garden View,True,Under Renovation,2019,4395760
UNIT-0000099,BLDG-009494,3515,30,2,2,1115,Apartment,City View,False,Occupied,2017,5297121
UNIT-0000100,BLDG-014886,2308,16,1,1,4926,Apartment,Garden View,True,Occupied,2022,3966766
UNIT-0000101,BLDG-013351,6519,67,3,3,1935,Apartment,Sea View,False,Occupied,2017,12322526
UNIT-0000102,BLDG-007496,5406,27,3,3,1663,Apartment,No Preference,True,Occupied,2015,1721679
UNIT-0000103,BLDG-002845,6717,5,2,3,2311,Penthouse,Pool View,True,Under Renovation,2018,14484838
UNIT-0000104,BLDG-007888,2217,77,1,2,1778,Apartment,Pool View,True,Occupied,2023,13737288
UNIT-0000105,BLDG-014903,7018,50,2,1,1176,Apartment,Sea View,False,Vacant,2016,5034324
UNIT-0000106,BLDG-009016,6710,44,4,1,3281,Apartment,Pool View,True,Vacant,2015,9667117
UNIT-0000107,BLDG-011370,6701,69,0,2,1454,Apartment,No Preference,False,Occupied,2020,5041635
UNIT-0000108,BLDG-008739,5801,21,0,2,612,Apartment,City View,False,Vacant,2023,13750145
UNIT-0000109,BLDG-011220,5804,33,2,4,4402,Townhouse,Sea View,False,Occupied,2024,6328355
UNIT-0000110,BLDG-010757,7916,20,1,2,3988,Studio,No Preference,True,Occupied,2017,9621228
UNIT-0000111,BLDG-013492,2710,49,4,2,2110,Studio,Garden View,False,Vacant,2022,10023394
UNIT-0000112,BLDG-011003,7101,18,1,4,1675,Apartment,Sea View,False,Occupied,2017,14532093
UNIT-0000113,BLDG-007976,4017,11,3,3,4777,Townhouse,Sea View,False,Occupied,2018,7965020
UNIT-0000114,BLDG-001507,3201,14,1,2,2089,Apartment,No Preference,False,Occupied,2017,533594
UNIT-0000115,BLDG-007474,4418,49,3,2,3304,Apartment,Garden View,False,Occupied,2023,2968684
UNIT-0000116,BLDG-014117,6205,16,3,4,3239,Studio,City View,False,Occupied,2024,8423744
UNIT-0000117,BLDG-007101,1817,5,4,4,1131,Apartment,Sea View,True,Occupied,2024,6669508
UNIT-0000118,BLDG-013287,5714,12,2,2,994,Apartment,Sea View,True,Occupied,2021,6433214
UNIT-0000119,BLDG-001272,6919,68,3,2,2477,Apartment,Sea View,False,Occupied,2015,2762743
UNIT-0000120,BLDG-003167,3920,19,3,2,1146,Townhouse,Sea View,True,Occupied,2017,12651459
UNIT-0000121,BLDG-011670,2218,50,1,2,1592,Apartment,No Preference,False,Occupied,2023,9144361
UNIT-0000122,BLDG-014414,6205,16,2,3,2981,Apartment,Sea View,True,Occupied,2017,13861380
UNIT-0000123,BLDG-006735,7909,12,1,2,1225,Penthouse,Pool View,False,Vacant,2017,7034292
UNIT-0000124,BLDG-007992,5418,8,2,2,1768,Apartment,City View,True,Vacant,2021,14684471
UNIT-0000125,BLDG-006688,117,34,4,2,4556,Studio,Sea View,False,Occupied,2024,12538555
UNIT-0000126,BLDG-008943,2113,29,2,4,782,Townhouse,Garden View,False,Vacant,2016,11918411
UNIT-0000127,BLDG-008390,410,44,1,2,2040,Apartment,City View,False,Occupied,2022,3596806
UNIT-0000128,BLDG-002289,1904,24,1,2,1461,Townhouse,City View,False,Vacant,2015,6345583
UNIT-0000129,BLDG-002981,5109,32,1,4,1223,Apartment,City View,False,Vacant,2015,4183549
UNIT-0000130,BLDG-004738,3417,62,2,3,2458,Studio,No Preference,False,Occupied,2024,11066506
UNIT-0000131,BLDG-003806,1812,15,2,3,4225,Villa,Garden View,False,Occupied,2016,13130445
UNIT-0000132,BLDG-005281,3009,67,2,4,1551,Penthouse,City View,False,Occupied,2015,7290717
UNIT-0000133,BLDG-001906,5607,44,1,4,4565,Apartment,City View,False,Occupied,2023,4310838
UNIT-0000134,BLDG-003810,2912,64,1,3,3254,Townhouse,No Preference,False,Occupied,2019,4936182
UNIT-0000135,BLDG-007513,503,9,2,4,2678,Villa,City View,False,Occupied,2017,13714408
UNIT-0000136,BLDG-007448,7503,77,2,2,3912,Townhouse,Garden View,False,Occupied,2023,14328026
UNIT-0000137,BLDG-010213,1908,20,3,2,2400,Apartment,No Preference,False,Vacant,2024,6305103
UNIT-0000138,BLDG-007270,2113,61,2,4,4987,Studio,Sea View,False,Occupied,2017,7547126
UNIT-0000139,BLDG-004148,4815,59,3,2,2854,Studio,Garden View,False,Vacant,2020,11202844
UNIT-0000140,BLDG-001524,7514,34,4,1,4717,Apartment,Garden View,True,Occupied,2020,4851171
UNIT-0000141,BLDG-014272,1110,48,4,2,4226,Studio,City View,True,Occupied,2023,2445215
UNIT-0000142,BLDG-008136,4013,24,3,2,938,Villa,Garden View,False,Vacant,2015,11810600
UNIT-0000143,BLDG-006262,2312,50,0,3,3860,Apartment,Garden View,False,Occupied,2017,9498700
UNIT-0000144,BLDG-004686,1902,45,2,1,4450,Villa,Pool View,True,Occupied,2018,13800335
UNIT-0000145,BLDG-000023,3102,42,2,3,3930,Studio,Sea View,True,Vacant,2021,14309241
UNIT-0000146,BLDG-001643,7812,64,3,2,914,Studio,City View,True,Occupied,2021,11029778
UNIT-0000147,BLDG-014044,2709,61,5,3,3993,Apartment,City View,False,Vacant,2020,11890693
UNIT-0000148,BLDG-001601,4711,71,3,4,4433,Studio,Sea View,False,Vacant,2024,4382055
UNIT-0000149,BLDG-003716,6717,50,1,2,2169,Studio,No Preference,False,Occupied,2021,2675552
UNIT-0000150,BLDG-010520,3114,10,3,4,1238,Apartment,City View,True,Occupied,2015,14404352
UNIT-0000151,BLDG-004081,4117,24,2,3,1602,Townhouse,No Preference,False,Occupied,2020,10890588
UNIT-0000152,BLDG-007372,5906,70,5,2,4787,Apartment,No Preference,False,Vacant,2024,5268354
UNIT-0000153,BLDG-005808,1119,66,1,3,3602,Villa,Pool View,True,Vacant,2021,9887915
UNIT-0000154,BLDG-008038,6611,55,2,2,2523,Apartment,Garden View,False,Occupied,2023,8592270
UNIT-0000155,BLDG-010798,5413,38,4,2,1593,Apartment,City View,False,Vacant,2023,8458281
UNIT-0000156,BLDG-010648,6513,6,5,4,502,Townhouse,No Preference,False,Vacant,2024,1579309
UNIT-0000157,BLDG-005261,5406,47,2,3,3537,Apartment,No Preference,True,Occupied,2021,8396504
UNIT-0000158,BLDG-000371,2515,30,2,1,3151,Penthouse,Garden View,False,Occupied,2020,13276859
UNIT-0000159,BLDG-012297,3808,21,1,2,1289,Apartment,City View,False,Occupied,2020,1777627
UNIT-0000160,BLDG-012756,813,38,1,3,2733,Apartment,City View,True,Occupied,2023,11018089
UNIT-0000161,BLDG-002562,1510,22,2,2,2581,Apartment,Garden View,False,Occupied,2019,14987524
UNIT-0000162,BLDG-014702,2612,26,2,3,2544,Apartment,Pool View,True,Under Renovation,2016,8167655
UNIT-0000163,BLDG-003092,1516,46,5,2,3897,Apartment,Sea View,False,Occupied,2024,2488171
UNIT-0000164,BLDG-007492,4507,30,2,4,838,Studio,Sea View,False,Occupied,2023,2064589
UNIT-0000165,BLDG-012499,2401,43,2,2,4159,Studio,Pool View,False,Occupied,2021,13805194
UNIT-0000166,BLDG-003014,7806,17,1,2,1790,Apartment,Pool View,True,Vacant,2020,11577357
UNIT-0000167,BLDG-002821,2206,59,4,2,4230,Apartment,Sea View,True,Vacant,2024,10188115
UNIT-0000168,BLDG-014679,3102,28,2,3,3183,Apartment,Garden View,False,Occupied,2018,2837603
UNIT-0000169,BLDG-010877,3408,52,4,3,4822,Townhouse,City View,False,Occupied,2021,417827
UNIT-0000170,BLDG-010147,206,29,1,1,3931,Apartment,Garden View,False,Occupied,2017,5276313
UNIT-0000171,BLDG-006806,6505,49,5,2,4132,Apartment,Garden View,False,Vacant,2019,8336227
UNIT-0000172,BLDG-010649,6301,21,2,2,2790,Apartment,City View,False,Occupied,2015,10745014
UNIT-0000173,BLDG-003988,7502,56,4,3,4950,Villa,City View,False,Vacant,2015,1758208
UNIT-0000174,BLDG-004902,518,14,1,3,893,Apartment,Sea View,False,Vacant,2023,5766099
UNIT-0000175,BLDG-013563,1219,15,2,2,843,Apartment,City View,False,Occupied,2016,374126
UNIT-0000176,BLDG-004282,1908,59,3,3,3071,Studio,Pool View,True,Occupied,2017,9684913
UNIT-0000177,BLDG-005076,7806,42,3,3,639,Villa,Garden View,False,Occupied,2023,2637411
UNIT-0000178,BLDG-014119,5818,56,2,3,1625,Apartment,Garden View,False,Occupied,2019,9094472
UNIT-0000179,BLDG-008079,709,66,2,3,3473,Apartment,Pool View,False,Occupied,2019,361710
UNIT-0000180,BLDG-014955,6301,23,2,2,2164,Studio,Pool View,True,Occupied,2018,13867286
UNIT-0000181,BLDG-004764,2409,11,3,2,1102,Villa,Garden View,False,Occupied,2019,3872365
UNIT-0000182,BLDG-011451,702,8,2,4,3329,Studio,City View,False,Vacant,2016,9220015
UNIT-0000183,BLDG-002811,5004,68,0,2,1422,Townhouse,Pool View,False,Occupied,2024,3089452
UNIT-0000184,BLDG-002414,2512,30,1,3,4300,Townhouse,No Preference,False,Vacant,2023,5317533
UNIT-0000185,BLDG-008225,5113,19,2,2,3777,Apartment,City View,False,Vacant,2019,4546722
UNIT-0000186,BLDG-008096,1704,65,1,3,3332,Apartment,Pool View,True,Vacant,2023,2881151
UNIT-0000187,BLDG-001988,5918,42,4,2,1781,Villa,Garden View,True,Vacant,2020,11863776
UNIT-0000188,BLDG-013510,4915,4,1,3,2654,Apartment,No Preference,False,Occupied,2023,1418257
UNIT-0000189,BLDG-001760,3307,22,3,2,2418,Penthouse,City View,True,Occupied,2024,6272554
UNIT-0000190,BLDG-008163,6203,53,2,3,941,Villa,No Preference,False,Vacant,2024,13353093
UNIT-0000191,BLDG-006528,2801,40,1,3,2392,Apartment,Sea View,False,Occupied,2019,8252671
UNIT-0000192,BLDG-013585,712,18,1,2,1092,Villa,No Preference,True,Occupied,2021,7805414
UNIT-0000193,BLDG-014617,2919,45,1,1,3396,Apartment,Pool View,False,Occupied,2020,11086171
UNIT-0000194,BLDG-004016,4518,69,2,2,3476,Apartment,Garden View,False,Vacant,2016,9348122
UNIT-0000195,BLDG-008068,4507,21,3,2,3563,Apartment,Pool View,True,Occupied,2024,11240862
UNIT-0000196,BLDG-012016,915,25,2,2,3121,Townhouse,No Preference,True,Vacant,2023,8686456
UNIT-0000197,BLDG-011176,7604,44,1,2,1696,Townhouse,City View,True,Vacant,2021,12059463
UNIT-0000198,BLDG-013495,6804,70,2,3,576,Apartment,Garden View,True,Occupied,2022,5842854
UNIT-0000199,BLDG-004792,407,24,1,3,610,Penthouse,Garden View,False,Occupied,2016,13712901
UNIT-0000200,BLDG-014421,7115,49,2,3,3157,Villa,Sea View,True,Vacant,2015,13375034
UNIT-0000201,BLDG-006295,4902,77,4,3,3218,Apartment,Garden View,True,Occupied,2023,6855240
UNIT-0000202,BLDG-005116,7914,2,2,4,1847,Apartment,Garden View,False,Occupied,2020,4663146
UNIT-0000203,BLDG-013144,4605,7,1,2,2117,Penthouse,City View,True,Occupied,2015,10913421
UNIT-0000204,BLDG-011265,1801,12,1,2,3489,Apartment,No Preference,False,Occupied,2018,7654901
UNIT-0000205,BLDG-001479,6714,80,1,3,2529,Townhouse,Pool View,False,Vacant,2024,10784548
UNIT-0000206,BLDG-011762,6802,4,1,2,1748,Villa,No Preference,True,Vacant,2022,12963699
UNIT-0000207,BLDG-011374,7816,11,2,4,431,Apartment,Garden View,False,Vacant,2021,12161726
UNIT-0000208,BLDG-010249,801,72,5,2,686,Apartment,City View,False,Occupied,2022,9420261
UNIT-0000209,BLDG-004357,4004,10,1,2,758,Villa,Sea View,False,Occupied,2024,6612208
UNIT-0000210,BLDG-014419,205,9,1,3,4149,Apartment,Pool View,False,Occupied,2021,11003296
UNIT-0000211,BLDG-001884,5307,50,4,3,2370,Apartment,City View,True,Vacant,2021,9771209
UNIT-0000212,BLDG-012314,5205,63,3,3,4981,Apartment,No Preference,False,Occupied,2018,2183850
UNIT-0000213,BLDG-002734,2109,71,0,3,499,Penthouse,Sea View,False,Under Renovation,2024,11835070
UNIT-0000214,BLDG-008286,5117,27,3,2,4714,Apartment,Pool View,False,Occupied,2021,2832367
UNIT-0000215,BLDG-000077,6109,5,2,2,1425,Townhouse,No Preference,True,Occupied,2020,1810940
UNIT-0000216,BLDG-011760,1619,56,2,2,3538,Villa,City View,True,Vacant,2018,5056663
UNIT-0000217,BLDG-011063,6116,55,1,1,1610,Apartment,City View,False,Occupied,2024,6063558
UNIT-0000218,BLDG-001468,4211,7,0,1,2101,Studio,City View,False,Vacant,2016,8944865
UNIT-0000219,BLDG-011678,4917,75,3,3,2964,Apartment,Sea View,True,Occupied,2018,7025852
UNIT-0000220,BLDG-011300,2318,61,2,2,3813,Apartment,City View,True,Occupied,2015,8911604
UNIT-0000221,BLDG-000432,7019,80,0,2,3613,Apartment,No Preference,False,Occupied,2022,14482220
UNIT-0000222,BLDG-008703,6902,73,4,4,1098,Apartment,Garden View,False,Vacant,2015,11738495
UNIT-0000223,BLDG-008102,2206,79,3,2,2297,Villa,Garden View,True,Occupied,2015,3209506
UNIT-0000224,BLDG-011291,1104,51,2,3,922,Apartment,Pool View,False,Occupied,2017,12671720
UNIT-0000225,BLDG-009275,518,41,3,2,665,Apartment,Garden View,False,Occupied,2017,551773
UNIT-0000226,BLDG-014939,7602,54,1,4,3385,Apartment,City View,False,Occupied,2024,1460162
UNIT-0000227,BLDG-014054,2820,16,4,4,3005,Apartment,Garden View,False,Occupied,2021,8888585
UNIT-0000228,BLDG-001145,3909,5,2,3,3581,Villa,No Preference,False,Vacant,2018,13305434
UNIT-0000229,BLDG-007869,3610,18,2,2,1694,Apartment,City View,False,Occupied,2017,14479955
UNIT-0000230,BLDG-004522,4108,63,0,3,4014,Studio,No Preference,False,Occupied,2020,792958
UNIT-0000231,BLDG-005751,6219,74,0,4,4664,Apartment,City View,True,Occupied,2024,10648564
UNIT-0000232,BLDG-010966,3619,32,3,4,4476,Apartment,City View,False,Vacant,2021,5605592
UNIT-0000233,BLDG-003745,7912,69,0,2,1302,Apartment,Pool View,True,Occupied,2015,4229022
UNIT-0000234,BLDG-006129,1703,42,1,4,4729,Apartment,No Preference,True,Occupied,2022,6824087
UNIT-0000235,BLDG-009150,8011,60,3,5,784,Apartment,Garden View,True,Occupied,2022,9527596
UNIT-0000236,BLDG-011356,4902,20,4,2,4711,Apartment,City View,True,Occupied,2021,9276445
UNIT-0000237,BLDG-009504,318,21,3,4,4542,Apartment,Garden View,False,Occupied,2019,13973008
UNIT-0000238,BLDG-000775,1210,27,4,2,3196,Apartment,Sea View,True,Vacant,2020,3064661
UNIT-0000239,BLDG-010965,1108,39,1,2,1796,Villa,City View,False,Vacant,2019,3779011
UNIT-0000240,BLDG-006860,4219,58,4,2,2957,Penthouse,City View,False,Occupied,2020,7717096
UNIT-0000241,BLDG-007935,6805,42,3,4,3375,Townhouse,City View,True,Occupied,2015,932006
UNIT-0000242,BLDG-005576,3715,5,3,2,2664,Studio,City View,True,Occupied,2015,8368824
UNIT-0000243,BLDG-007271,6016,80,2,4,1789,Apartment,City View,False,Occupied,2023,11506122
UNIT-0000244,BLDG-003569,7718,49,3,2,2957,Apartment,Pool View,True,Occupied,2019,9549046
UNIT-0000245,BLDG-014056,4017,76,2,3,3755,Villa,No Preference,False,Vacant,2021,1692292
UNIT-0000246,BLDG-000730,2816,37,2,4,1613,Apartment,No Preference,True,Occupied,2019,14860879
UNIT-0000247,BLDG-013809,2319,21,1,2,2959,Apartment,No Preference,False,Occupied,2017,13487663
UNIT-0000248,BLDG-010246,2416,6,3,4,3830,Townhouse,Sea View,False,Occupied,2024,8727391
UNIT-0000249,BLDG-012241,3514,43,2,2,2166,Apartment,Garden View,False,Occupied,2018,7517675
UNIT-0000250,BLDG-006010,6907,18,4,5,4590,Studio,City View,True,Under Renovation,2016,5261769
UNIT-0000251,BLDG-010811,3015,49,5,1,2302,Villa,No Preference,False,Vacant,2015,9123572
UNIT-0000252,BLDG-003670,5401,68,2,3,4626,Apartment,City View,False,Occupied,2019,12784471
UNIT-0000253,BLDG-012551,6910,39,5,2,4233,Villa,No Preference,True,Occupied,2016,8895403
UNIT-0000254,BLDG-005215,7318,48,4,4,4908,Villa,Garden View,False,Occupied,2017,4941100
UNIT-0000255,BLDG-012369,6619,8,1,5,4031,Apartment,Pool View,False,Vacant,2022,5049688
UNIT-0000256,BLDG-011672,3709,57,1,3,4632,Apartment,No Preference,False,Under Renovation,2019,12916215
UNIT-0000257,BLDG-014251,7102,33,5,3,546,Apartment,No Preference,False,Occupied,2017,3527500
UNIT-0000258,BLDG-013301,905,25,1,3,2715,Villa,City View,False,Occupied,2023,1179969
UNIT-0000259,BLDG-008062,4316,4,1,1,2345,Townhouse,Sea View,False,Occupied,2023,3422994
UNIT-0000260,BLDG-008970,6502,37,1,1,1442,Apartment,City View,True,Vacant,2020,3112088
UNIT-0000261,BLDG-008274,6218,30,1,2,1112,Apartment,Garden View,True,Vacant,2016,8997072
UNIT-0000262,BLDG-011412,5501,10,3,2,2247,Apartment,City View,False,Occupied,2022,8202740
UNIT-0000263,BLDG-002625,610,24,1,4,1757,Apartment,Garden View,False,Occupied,2023,407398
UNIT-0000264,BLDG-005372,5211,48,1,2,4550,Apartment,No Preference,True,Occupied,2018,357037
UNIT-0000265,BLDG-014013,5809,5,1,2,2717,Apartment,City View,False,Occupied,2024,14438589
