building_id,building_name,area,building_type,floors,units_count,built_year,parking_spaces,has_gym,has_pool,has_concierge,service_charge_per_sqft,grade
BLDG-000024,Discovery Tower 50,Discovery Gardens,Residential,85,89,2024,14,True,True,True,27.48,B
BLDG-000025,Al Tower 11,Al Furjan,Mixed,14,167,1999,380,False,True,True,29.14,B
BLDG-000026,Building 26,Emaar Beachfront,Residential,2,412,2015,576,True,True,False,15.41,B
BLDG-000027,Building 27,Al Satwa,Commercial,57,308,2000,63,False,True,True,19.29,C
BLDG-000028,Building 28,Al Furjan,Residential,21,37,2015,449,False,True,True,19.6,B
BLDG-000029,Emaar Tower 19,Emaar Beachfront,Residential,89,100,2022,360,False,False,True,8.74,C
BLDG-000030,Downtown Tower 36,Downtown Dubai,Commercial,48,494,2001,218,True,False,False,14.42,B
BLDG-000031,Al Tower 16,Al Karama,Commercial,49,159,1999,33,True,True,False,20.36,A
BLDG-000032,JVC Tower 41,JVC,Residential,4,290,1991,521,True,False,True,32.74,C
BLDG-000033,Emaar Tower 47,Emaar Beachfront,Residential,12,168,2013,60,True,False,True,20.27,A
BLDG-000034,Nad Tower 42,Nad Al Sheba,Residential,46,384,2019,599,True,True,True,26.2,B
BLDG-000035,Dubai Tower 26,Dubai Land,Residential,82,338,2004,269,True,True,False,14.54,C
BLDG-000036,Building 36,DIFC,Commercial,74,213,1993,328,True,False,True,25.38,B
BLDG-000037,Building 37,Al Karama,Residential,94,375,1997,57,False,True,False,28.65,B
BLDG-000038,Business Tower 30,Business Bay,Commercial,40,10,2024,249,True,True,False,14.96,B
BLDG-000039,Building 39,Town Square,Residential,56,160,2010,32,True,True,True,8.06,B
BLDG-000040,Building 40,Dubai South,Hotel,64,164,1999,252,True,False,True,8.93,B
BLDG-000041,Building 41,Palm Jumeirah,Residential,18,345,2006,218,True,False,False,11.36,A
BLDG-000042,Building 42,Downtown Dubai,Residential,95,245,2020,469,False,False,True,14.44,C
BLDG-000043,JLT Tower 16,JLT,Residential,26,34,1997,563,False,True,True,16.99,B
BLDG-000044,Dubai Tower 12,Dubai Hills Estate,Mixed,90,234,2012,146,False,False,False,12.65,C
BLDG-000045,JLT Tower 26,JLT,Mixed,2,183,2004,408,False,False,True,18.45,B
BLDG-000046,Al Tower 15,Al Wasl,Mixed,94,404,2010,507,True,True,False,23.44,B
BLDG-000047,Al Tower 45,Al Wasl,Residential,78,459,1998,548,True,True,False,28.79,C
BLDG-000048,Building 48,Al Quoz,Residential,42,338,2008,174,True,True,True,33.53,B
BLDG-000049,Building 49,Arabian Ranches,Residential,67,262,2018,198,False,False,False,25.2,C
BLDG-000050,Dubai Tower 49,Dubai Land,Residential,30,61,1994,595,False,True,False,21.11,C
BLDG-000051,Muhaisnah Tower 25,Muhaisnah,Residential,26,179,2012,24,True,False,True,24.68,B
BLDG-000052,JVC Tower 17,JVC,Residential,70,385,1994,274,True,True,True,33.62,B
BLDG-000053,Building 53,Dubai Marina,Mixed,61,133,1998,85,True,False,False,13.34,C
BLDG-000054,Building 54,Downtown Dubai,Residential,90,21,2014,340,True,False,False,34.53,B
BLDG-000055,Al Tower 21,Al Satwa,Hotel,11,154,2016,100,False,True,True,29.29,B
BLDG-000056,Motor Tower 45,Motor City,Residential,75,118,1999,293,True,False,False,21.66,A
BLDG-000057,Arabian Tower 37,Arabian Ranches,Mixed,45,58,2018,390,True,False,False,19.9,B
BLDG-000058,Al Tower 17,Al Wasl,Mixed,82,238,2011,578,True,True,False,24.78,C
BLDG-000059,Palm Tower 2,Palm Jumeirah,Residential,31,259,1998,358,False,True,False,17.52,B
BLDG-000060,Building 60,Jebel Ali,Hotel,75,64,1998,92,False,False,True,25.78,B
BLDG-000061,Building 61,Al Satwa,Commercial,63,177,2019,261,False,True,True,20.97,B
BLDG-000062,Building 62,Emaar Beachfront,Commercial,10,261,1995,585,True,True,True,21.43,B
BLDG-000063,Building 63,Al Quoz,Commercial,20,385,2007,385,True,False,True,29.93,B
BLDG-000064,Arabian Tower 26,Arabian Ranches,Mixed,80,467,2001,24,True,False,False,10.33,A
BLDG-000065,DIFC Tower 19,DIFC,Residential,33,480,1999,378,False,False,False,33.52,C
BLDG-000066,Building 66,Dubai Investment Park,Commercial,5,292,1993,128,False,True,True,10.64,B
BLDG-000067,Al Tower 19,Al Qusais,Residential,5,201,2024,240,True,False,False,9.96,C
BLDG-000068,Al Tower 2,Al Mizhar,Commercial,6,393,2023,596,False,False,False,19.35,B
BLDG-000069,Deira Tower 19,Deira,Residential,67,388,2010,342,False,True,False,15.66,B
BLDG-000070,Building 70,International City,Residential,3,438,2008,175,False,False,False,11.73,B
BLDG-000071,Building 71,DIFC,Mixed,91,475,2014,13,True,True,False,16.61,B
BLDG-000072,Building 72,Mirdif,Commercial,74,349,1995,55,False,True,False,23.29,C
BLDG-000073,Building 73,Ras Al Khor,Commercial,67,55,2009,252,True,True,False,10.73,C
BLDG-000074,Dubai Tower 23,Dubai Creek Harbour,Commercial,9,435,2015,253,False,True,False,27.33,C
BLDG-000075,Building 75,Al Satwa,Commercial,34,92,2008,109,False,False,False,18.59,B
BLDG-000076,Building 76,Umm Suqeim,Residential,18,163,2016,431,False,True,False,10.12,B
BLDG-000077,Business Tower 16,Business Bay,Mixed,2,458,1999,434,False,True,False,11.45,B
BLDG-000078,Building 78,Town Square,Residential,91,24,2005,339,True,True,True,15.85,B
BLDG-000079,Warqa Tower 47,Warqa,Residential,17,410,1994,36,True,False,True,33.63,B
BLDG-000080,Building 80,Palm Jumeirah,Residential,29,421,1999,451,True,True,False,18.83,B
BLDG-000081,Muhaisnah Tower 30,Muhaisnah,Residential,80,468,2004,207,False,False,False,24.22,B
BLDG-000082,Building 82,Al Mizhar,Hotel,77,341,1999,70,False,False,False,25.79,B
BLDG-000083,Al Tower 14,Al Mizhar,Residential,80,111,2004,120,False,True,False,16.67,B
BLDG-000084,Motor Tower 3,Motor City,Commercial,39,56,2021,135,True,False,False,32.36,A
BLDG-000085,Al Tower 34,Al Wasl,Residential,56,229,2021,283,False,True,False,34.57,B
BLDG-000086,Dubai Tower 7,Dubai Land,Mixed,7,261,1991,298,True,False,False,34.45,B
BLDG-000087,Al Tower 17,Al Barsha,Commercial,35,475,2014,177,True,False,True,12.95,C
BLDG-000088,Building 88,Al Wasl,Residential,61,138,2011,16,False,True,False,32.82,A
BLDG-000089,Business Tower 27,Business Bay,Residential,15,55,2011,530,False,True,False,29.94,C
BLDG-000090,Building 90,Mirdif,Residential,47,458,2011,342,True,False,True,20.28,B
BLDG-000091,Al Tower 4,Al Karama,Residential,21,396,1995,252,True,True,True,30.48,B
BLDG-000092,Building 92,Al Wasl,Commercial,37,75,2012,369,False,True,False,13.16,A
BLDG-000093,Deira Tower 22,Deira,Mixed,50,86,2012,471,False,False,False,31.5,B
BLDG-000094,Deira Tower 1,Deira,Mixed,37,236,2006,356,False,True,False,14.62,B
BLDG-000095,JVC Tower 45,JVC,Commercial,48,218,1990,89,True,True,False,29.54,A
BLDG-000096,Building 96,Ras Al Khor,Residential,61,469,1995,553,False,True,False,10.25,C
BLDG-000097,Building 97,Jumeirah,Mixed,10,152,2008,215,False,True,False,19.95,B
BLDG-000098,JVC Tower 7,JVC,Commercial,27,375,2006,220,False,True,False,25.58,A
BLDG-000099,Bur Tower 28,Bur Dubai,Residential,73,410,2001,474,False,False,True,27.21,B
BLDG-000100,Muhaisnah Tower 10,Muhaisnah,Commercial,73,36,2011,339,False,True,True,27.35,B
BLDG-000101,Building 101,Deira,Residential,79,170,2022,137,False,False,False,33.9,C
BLDG-000102,Building 102,Al Karama,Residential,83,75,1998,251,False,True,True,25.98,B
BLDG-000103,Ras Tower 39,Ras Al Khor,Residential,85,82,1998,356,True,True,True,34.4,C
BLDG-000104,Building 104,JVC,Commercial,47,84,2009,296,False,True,False,15.41,B
BLDG-000105,Building 105,Umm Suqeim,Residential,24,178,1998,276,False,False,True,26.38,A
BLDG-000106,Dubai Tower 35,Dubai Hills Estate,Residential,41,139,2022,153,False,False,False,8.28,A
BLDG-000107,Building 107,JLT,Residential,46,320,2001,105,True,False,False,18.98,B
BLDG-000108,Building 108,Business Bay,Residential,72,234,1997,298,False,True,True,29.0,B
BLDG-000109,Dubai Tower 37,Dubai Marina,Residential,15,229,2008,474,False,True,False,32.35,A
BLDG-000110,Building 110,Dubai Marina,Commercial,85,56,2011,368,False,True,False,25.19,A
BLDG-000111,Building 111,Al Qusais,Residential,61,480,2006,330,False,False,False,33.7,B
BLDG-000112,Building 112,Arabian Ranches,Residential,26,299,2001,70,False,False,True,30.31,B
BLDG-000113,Town Tower 35,Town Square,Residential,7,150,1999,352,True,False,True,32.24,C
BLDG-000114,DIFC Tower 38,DIFC,Residential,58,339,1997,541,True,True,True,10.7,B
BLDG-000115,Building 115,Town Square,Residential,88,400,1995,357,True,False,False,30.39,C
BLDG-000116,Al Tower 41,Al Qusais,Mixed,99,271,2010,141,False,True,False,26.53,C
BLDG-000117,Building 117,Muhaisnah,Mixed,23,136,1998,160,True,False,True,21.72,C
BLDG-000118,Building 118,Motor City,Commercial,76,10,2017,563,True,False,False,17.37,C
BLDG-000119,International Tower 37,International City,Residential,7,108,1991,64,False,True,False,34.51,C
BLDG-000120,DIFC Tower 33,DIFC,Residential,63,455,2021,295,True,True,False,16.44,B
BLDG-000121,Sports Tower 41,Sports City,Residential,31,10,2013,11,True,False,False,24.16,A
BLDG-000122,Warqa Tower 34,Warqa,Residential,63,453,1994,263,True,False,False,14.42,C
BLDG-000123,Jebel Tower 14,Jebel Ali,Residential,76,325,2001,293,True,False,False,21.02,B
BLDG-000124,Building 124,Jumeirah,Mixed,77,185,2023,235,False,True,True,29.21,C
BLDG-000125,Emaar Tower 30,Emaar Beachfront,Residential,16,195,2000,105,True,False,False,18.43,C
BLDG-000126,Dubai Tower 7,Dubai Hills Estate,Commercial,15,258,1992,574,True,False,False,8.82,C
BLDG-000127,Building 127,Warqa,Residential,93,105,2000,203,False,True,True,11.31,B
BLDG-000128,DIFC Tower 39,DIFC,Mixed,12,151,2007,567,True,True,False,13.44,B
BLDG-000129,Building 129,Al Karama,Residential,17,49,2008,82,False,False,False,30.86,C
BLDG-000130,International Tower 49,International City,Commercial,78,288,2018,417,True,True,False,25.13,B
BLDG-000131,Dubai Tower 10,Dubai South,Residential,90,416,1992,204,False,True,False,29.07,C
BLDG-000132,Building 132,Sports City,Commercial,71,43,1998,466,True,False,False,31.8,C
BLDG-000133,Building 133,Bur Dubai,Residential,27,460,1996,212,True,False,False,23.34,B
BLDG-000134,Building 134,Dubai Creek Harbour,Mixed,21,130,2017,362,True,False,False,16.31,B
BLDG-000135,Deira Tower 19,Deira,Residential,17,188,2008,520,False,True,True,17.15,A
BLDG-000136,DIFC Tower 7,DIFC,Residential,9,126,2013,54,True,False,True,27.42,C
BLDG-000137,Building 137,Al Twar,Commercial,52,237,2005,486,True,False,True,30.48,A
BLDG-000138,Bur Tower 27,Bur Dubai,Residential,49,445,1993,583,True,False,True,20.03,C
BLDG-000139,Al Tower 4,Al Furjan,Residential,14,292,2021,412,False,True,False,8.56,C
BLDG-000140,Dubai Tower 46,Dubai South,Residential,65,435,1992,40,True,True,True,14.8,B
BLDG-000141,Building 141,Dubai Land,Residential,53,448,1990,377,False,True,True,9.12,B
BLDG-000142,Dubai Tower 47,Dubai Land,Residential,94,201,2009,264,True,True,False,19.64,B
BLDG-000143,JLT Tower 27,JLT,Residential,53,12,1990,536,False,False,False,15.49,A
BLDG-000144,Building 144,Business Bay,Residential,26,439,2018,584,True,True,False,29.44,B
BLDG-000145,Umm Tower 22,Umm Suqeim,Residential,80,210,2007,338,True,True,False,20.29,A
BLDG-000146,Building 146,Al Twar,Residential,11,264,2018,423,False,True,False,29.51,C
BLDG-000147,Ras Tower 42,Ras Al Khor,Residential,64,60,2013,465,False,False,False,23.34,B
BLDG-000148,Al Tower 34,Al Twar,Residential,98,251,2020,341,False,True,False,25.44,A
BLDG-000149,Building 149,Al Karama,Mixed,56,149,2010,98,True,False,False,29.12,B
BLDG-000150,Nad Tower 15,Nad Al Sheba,Residential,65,324,1993,418,True,False,True,15.79,C
BLDG-000151,Dubai Tower 39,Dubai Hills Estate,Mixed,74,302,2008,173,True,True,False,14.22,B
BLDG-000152,Dubai Tower 27,Dubai Investment Park,Residential,34,484,2015,48,True,False,False,17.58,C
BLDG-000153,Ras Tower 38,Ras Al Khor,Residential,82,237,2024,167,False,False,False,27.39,C
BLDG-000154,Dubai Tower 21,Dubai Hills Estate,Commercial,83,386,2017,513,False,True,False,15.31,A
BLDG-000155,JVC Tower 23,JVC,Residential,78,139,2024,292,False,True,False,29.67,A
BLDG-000156,Dubai Tower 22,Dubai Marina,Residential,35,215,2011,132,False,True,False,19.53,B
BLDG-000157,Motor Tower 26,Motor City,Mixed,14,472,2016,251,True,True,True,28.76,C
BLDG-000158,Building 158,Motor City,Mixed,75,95,1990,596,True,True,False,11.19,B
BLDG-000159,DIFC Tower 30,DIFC,Residential,99,389,2015,307,True,False,False,11.05,B
BLDG-000160,Deira Tower 34,Deira,Residential,14,247,1999,359,False,False,True,33.56,B
BLDG-000161,Building 161,Motor City,Mixed,81,441,1994,494,False,True,False,14.96,A
BLDG-000162,Al Tower 37,Al Quoz,Mixed,43,304,1996,475,True,True,True,30.96,C
BLDG-000163,Dubai Tower 4,Dubai South,Hotel,92,336,2018,578,True,False,True,32.21,A
BLDG-000164,Mirdif Tower 11,Mirdif,Mixed,89,222,2000,72,False,True,False,13.42,C
BLDG-000165,Al Tower 39,Al Safa,Residential,51,102,1995,449,True,True,False,15.53,B
BLDG-000166,Downtown Tower 32,Downtown Dubai,Residential,19,199,2004,243,True,True,False,10.42,C
BLDG-000167,Motor Tower 25,Motor City,Residential,52,458,2001,81,False,True,False,16.99,B
BLDG-000168,Dubai Tower 24,Dubai Investment Park,Residential,58,412,2023,100,False,True,False,24.27,C
BLDG-000169,Building 169,Sports City,Residential,64,152,2016,401,True,True,True,32.66,C
BLDG-000170,Motor Tower 47,Motor City,Residential,52,462,2018,81,True,False,False,22.87,C
BLDG-000171,Building 171,Al Barsha,Residential,86,146,1997,323,False,True,False,25.88,C
BLDG-000172,Building 172,Al Furjan,Residential,30,302,2012,205,False,False,True,11.34,B
BLDG-000173,Al Tower 41,Al Furjan,Mixed,77,337,2016,211,False,False,False,29.04,C
BLDG-000174,Building 174,JLT,Residential,69,149,1994,116,True,False,False,13.11,C
BLDG-000175,Al Tower 2,Al Safa,Residential,73,160,2021,299,False,False,False,17.85,C
BLDG-000176,Building 176,DIFC,Residential,69,132,1990,492,False,True,False,30.86,B
BLDG-000177,Dubai Tower 49,Dubai Creek Harbour,Commercial,85,311,2004,191,False,False,False,14.07,B
BLDG-000178,Dubai Tower 14,Dubai Hills Estate,Residential,19,266,1992,519,True,True,True,15.77,B
BLDG-000179,Umm Tower 7,Umm Suqeim,Mixed,77,153,2016,510,False,True,True,32.43,C
BLDG-000180,Building 180,Ras Al Khor,Residential,61,276,2023,568,True,True,True,32.85,C
BLDG-000181,Jumeirah Tower 33,Jumeirah,Residential,88,427,2002,460,False,False,True,14.24,C
BLDG-000182,Building 182,Al Furjan,Commercial,13,13,1995,554,False,True,False,20.17,B
BLDG-000183,Building 183,Dubai Marina,Commercial,71,445,1991,386,False,True,False,14.75,A
BLDG-000184,Business Tower 22,Business Bay,Residential,99,72,2001,166,False,True,False,11.22,C
BLDG-000185,Building 185,Dubai Land,Residential,18,225,2009,416,False,False,False,21.85,B
BLDG-000186,Business Tower 25,Business Bay,Mixed,88,163,2006,156,True,True,False,14.09,A
BLDG-000187,Dubai Tower 26,Dubai Marina,Residential,27,340,2005,304,True,True,False,32.65,C
BLDG-000188,Building 188,Nad Al Sheba,Commercial,94,59,1998,230,True,True,True,15.28,A
BLDG-000189,Umm Tower 19,Umm Suqeim,Mixed,80,343,2019,79,True,True,False,28.1,C
BLDG-000190,Building 190,Motor City,Residential,66,457,2010,263,False,False,False,25.92,C
BLDG-000191,Building 191,JLT,Residential,97,345,2018,375,True,True,False,20.71,C
BLDG-000192,Building 192,Umm Suqeim,Hotel,47,309,2021,375,False,False,False,11.41,B
BLDG-000193,Emaar Tower 45,Emaar Beachfront,Commercial,14,317,2004,493,False,True,False,33.53,B
BLDG-000194,Deira Tower 42,Deira,Mixed,17,56,1993,238,True,False,True,18.6,B
BLDG-000195,Building 195,JVC,Residential,46,399,2014,371,False,False,True,16.11,C
BLDG-000196,Palm Tower 34,Palm Jumeirah,Commercial,37,131,1998,370,False,True,True,32.28,A
BLDG-000197,Dubailand Tower 38,Dubailand,Residential,15,188,2001,548,False,False,False,11.55,C
BLDG-000198,International Tower 33,International City,Commercial,9,248,2007,564,False,True,True,20.81,A
BLDG-000199,Building 199,Al Karama,Residential,4,432,2013,181,True,False,False,18.91,C
BLDG-000200,Building 200,Al Barsha,Commercial,33,154,2024,12,True,True,False,24.62,B
BLDG-000201,Dubai Tower 50,Dubai Marina,Commercial,55,450,2020,12,False,True,False,31.57,B
BLDG-000202,Building 202,Business Bay,Residential,71,164,2010,475,True,False,True,31.05,C
BLDG-000203,Al Tower 28,Al Wasl,Commercial,80,123,1994,171,True,False,False,15.49,B
BLDG-000204,Dubai Tower 29,Dubai Investment Park,Residential,74,185,2003,564,False,False,False,24.85,A
BLDG-000205,Discovery Tower 14,Discovery Gardens,Mixed,28,111,2018,224,True,False,False,20.52,B
BLDG-000206,Discovery Tower 35,Discovery Gardens,Mixed,85,48,2001,459,True,False,True,31.35,C
BLDG-000207,Al Tower 49,Al Wasl,Residential,44,431,2021,108,False,True,False,33.68,C
BLDG-000208,Building 208,Al Quoz,Residential,28,369,2009,476,True,False,False,19.08,A
BLDG-000209,Building 209,Emaar Beachfront,Residential,80,350,2014,130,True,True,True,13.78,B
BLDG-000210,Building 210,Muhaisnah,Residential,19,337,2016,494,False,False,False,15.07,A
BLDG-000211,Al Tower 2,Al Furjan,Residential,30,39,1995,106,True,False,False,8.26,B
BLDG-000212,Business Tower 16,Business Bay,Commercial,19,153,2010,100,True,False,False,30.96,B
BLDG-000213,Discovery Tower 34,Discovery Gardens,Residential,96,210,2003,116,True,True,False,33.96,B
BLDG-000214,Building 214,Bur Dubai,Residential,64,481,1996,118,False,False,False,23.33,B
BLDG-000215,Building 215,Al Qusais,Residential,67,21,1997,380,False,True,False,25.62,C
BLDG-000216,Building 216,Bur Dubai,Commercial,37,145,2013,34,False,False,False,25.32,B
BLDG-000217,Al Tower 45,Al Quoz,Residential,34,474,2010,225,True,False,False,28.15,A
BLDG-000218,Building 218,Dubai Creek Harbour,Residential,28,31,2014,104,False,True,False,16.51,B
BLDG-000219,Al Tower 9,Al Twar,Residential,93,182,2011,252,True,True,True,29.39,B
BLDG-000220,Dubai Tower 10,Dubai Creek Harbour,Residential,65,420,2007,259,False,True,False,34.94,A
BLDG-000221,Building 221,Sports City,Residential,26,417,2007,447,True,True,True,28.15,B
BLDG-000222,Al Tower 15,Al Furjan,Residential,99,487,2021,199,True,True,False,21.64,B
BLDG-000223,Town Tower 36,Town Square,Mixed,81,303,2002,260,False,False,False,23.21,B
BLDG-000224,Building 224,DIFC,Residential,80,448,2002,495,True,True,False,33.32,A
BLDG-000225,Umm Tower 42,Umm Suqeim,Residential,72,39,1997,380,False,True,True,33.72,B
BLDG-000226,Umm Tower 50,Umm Suqeim,Commercial,91,120,2015,414,False,False,True,9.14,B
BLDG-000227,Building 227,International City,Commercial,81,138,1992,324,False,False,True,19.01,B
BLDG-000228,JVC Tower 4,JVC,Commercial,51,56,2004,28,True,True,True,23.18,B
BLDG-000229,Dubailand Tower 29,Dubailand,Commercial,70,97,1995,495,False,False,True,15.35,C
BLDG-000230,Building 230,Al Furjan,Residential,29,177,2024,343,True,False,True,12.79,C
BLDG-000231,Al Tower 13,Al Satwa,Residential,44,461,2018,492,True,False,False,21.74,C
BLDG-000232,Building 232,Downtown Dubai,Residential,37,450,1998,528,True,True,False,13.67,A
BLDG-000233,Discovery Tower 36,Discovery Gardens,Commercial,98,327,2009,410,False,True,False,13.47,A
BLDG-000234,Palm Tower 42,Palm Jumeirah,Commercial,57,415,2002,336,False,False,True,13.39,C
BLDG-000235,Building 235,Arabian Ranches,Residential,33,483,2003,114,True,True,False,29.03,A
BLDG-000236,Building 236,Al Karama,Commercial,7,379,2003,412,True,False,False,12.26,C
BLDG-000237,Building 237,Al Barsha,Commercial,26,443,2020,298,True,False,False,31.67,C
BLDG-000238,Building 238,Dubai Investment Park,Commercial,73,211,2004,401,True,False,False,32.52,B
BLDG-000239,Al Tower 44,Al Barsha,Hotel,20,202,1999,599,True,False,False,28.14,C
BLDG-000240,Building 240,Al Quoz,Residential,68,135,2003,457,False,True,False,12.51,B
BLDG-000241,Motor Tower 38,Motor City,Commercial,38,37,2015,552,False,False,True,10.32,C
BLDG-000242,Building 242,International City,Commercial,29,271,2014,462,False,False,True,18.15,B
BLDG-000243,Al Tower 39,Al Wasl,Mixed,93,246,2001,505,False,False,True,34.71,A
BLDG-000244,Building 244,Emaar Beachfront,Residential,5,247,2005,551,False,True,True,30.92,B
BLDG-000245,Al Tower 31,Al Furjan,Commercial,80,117,1991,201,True,False,False,32.23,A
BLDG-000246,Building 246,Sports City,Residential,22,458,2007,539,True,False,False,18.59,B
BLDG-000247,Al Tower 36,Al Twar,Residential,78,266,2018,592,True,True,False,34.04,A
BLDG-000248,Building 248,Al Barsha,Residential,33,43,2016,579,False,False,False,26.1,B
BLDG-000249,Al Tower 44,Al Karama,Residential,89,433,2002,559,False,True,False,17.47,B
BLDG-000250,Discovery Tower 30,Discovery Gardens,Commercial,86,406,1993,574,False,False,False,32.59,C
BLDG-000251,Building 251,Town Square,Residential,53,137,2007,330,False,False,True,23.23,B
BLDG-000252,JLT Tower 9,JLT,Residential,43,291,2006,478,False,True,True,29.77,A
BLDG-000253,Building 253,DIFC,Residential,77,304,1998,404,False,False,True,16.98,A
BLDG-000254,Building 254,Al Safa,Residential,23,375,1990,281,False,True,False,32.68,C
BLDG-000255,Building 255,Al Mizhar,Mixed,59,301,1997,350,False,True,True,29.71,B
BLDG-000256,Warqa Tower 21,Warqa,Residential,80,193,2022,211,True,True,True,18.33,B
BLDG-000257,Jebel Tower 3,Jebel Ali,Hotel,80,476,2008,532,False,False,False,26.42,C
BLDG-000258,Building 258,Emaar Beachfront,Mixed,93,451,1992,481,False,False,False,10.31,A
BLDG-000259,Sports Tower 24,Sports City,Mixed,75,411,2005,60,False,True,False,29.63,C
BLDG-000260,Building 260,Dubai Land,Residential,77,174,1992,180,False,False,False,18.38,B
BLDG-000261,Al Tower 21,Al Quoz,Mixed,72,235,2000,189,True,False,False,30.59,B
BLDG-000262,Dubai Tower 1,Dubai South,Mixed,7,172,1996,307,False,False,False,30.86,B
BLDG-000263,Umm Tower 27,Umm Suqeim,Commercial,78,495,2012,36,False,False,False,25.31,C
BLDG-000264,Building 264,Al Satwa,Residential,56,128,2010,530,False,True,True,11.11,B
BLDG-000265,Building 265,Al Barsha,Commercial,43,69,1996,311,False,False,False,10.23,A
BLDG-000266,Al Tower 10,Al Twar,Mixed,98,491,2021,130,True,True,True,20.99,B
BLDG-000267,Discovery Tower 42,Discovery Gardens,Commercial,31,327,2016,468,False,False,False,28.54,B
BLDG-000268,Dubai Tower 41,Dubai Hills Estate,Residential,11,223,1995,212,True,True,True,28.11,A
BLDG-000269,Building 269,Sports City,Residential,94,283,2024,294,True,False,False,8.73,B
BLDG-000270,Building 270,Al Karama,Commercial,21,174,2018,114,True,True,False,21.3,C
BLDG-000271,Building 271,JLT,Residential,83,286,1990,557,False,False,False,20.08,A
BLDG-000272,International Tower 31,International City,Residential,89,470,2003,483,False,True,True,31.97,C
BLDG-000273,Building 273,Jumeirah,Residential,65,156,2023,531,False,True,True,14.34,A
BLDG-000274,Building 274,Downtown Dubai,Commercial,51,15,1992,388,True,False,False,9.96,B
BLDG-000275,Al Tower 37,Al Safa,Commercial,94,474,2018,46,False,True,False,19.3,B
BLDG-000276,Bur Tower 44,Bur Dubai,Mixed,47,28,2020,37,True,True,False,32.91,A
BLDG-000277,Jumeirah Tower 3,Jumeirah,Residential,86,406,2000,385,False,True,False,15.7,B
BLDG-000278,Building 278,Motor City,Commercial,7,439,2015,517,False,False,True,25.43,B
BLDG-000279,JVC Tower 13,JVC,Mixed,16,178,1992,504,False,True,False,17.22,B
BLDG-000280,Dubai Tower 16,Dubai South,Commercial,6,43,2010,600,False,False,False,32.01,B
BLDG-000281,Building 281,Dubailand,Residential,37,471,1996,33,True,True,False,17.39,A
BLDG-000282,Al Tower 18,Al Quoz,Commercial,11,115,2006,332,False,True,False,10.48,B
BLDG-000283,Jumeirah Tower 14,Jumeirah,Residential,84,12,1991,476,True,True,True,19.65,B
BLDG-000284,Motor Tower 8,Motor City,Mixed,91,123,2019,584,True,True,False,18.91,C
BLDG-000285,Building 285,Dubai Land,Mixed,62,13,2020,14,True,True,False,20.87,A
BLDG-000286,International Tower 27,International City,Mixed,19,68,2017,393,False,False,True,8.72,B
BLDG-000287,Building 287,Arabian Ranches,Mixed,11,287,2011,25,False,False,False,32.95,C
BLDG-000288,Building 288,Dubai Creek Harbour,Commercial,89,70,2019,421,True,False,False,23.33,A
BLDG-000289,Building 289,Muhaisnah,Mixed,20,246,2017,40,True,True,True,8.76,C
